scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
条件·真实条件,零条件,零条件,"If you heat ice, it melts.",如果你加热冰，它就融化。,L2,零条件：普遍真理。,"[{""en"":""If you heat water, it boils."",""zh"":""如果你加热水，它就沸腾。""}]"
条件·真实条件,零条件,零条件,"If I don't sleep well, I feel tired the next day.",如果我睡不好，第二天就觉得累。,L2,零条件：习惯结果。,"[{""en"":""If I eat too much, I feel sick."",""zh"":""如果我吃太多，就觉得恶心。""}]"
条件·真实条件,零条件,零条件,"If you mix red and blue, you get purple.",如果你把红色和蓝色混合，得到紫色。,L2,零条件：颜色混合。,"[{""en"":""If you mix yellow and blue, you get green."",""zh"":""如果你混合黄和蓝，得到绿色。""}]"
条件·真实条件,零条件,零条件,"If it rains, the ground gets wet.",如果下雨，地面就湿了。,L2,零条件：自然规律。,"[{""en"":""If it snows, everything turns white."",""zh"":""如果下雪，一切变白。""}]"
条件·真实条件,零条件,零条件,"If I am late, my boss gets angry.",如果我迟到，老板会生气。,L2,零条件：因果关系。,"[{""en"":""If I don't call, my mom worries."",""zh"":""如果我不打电话，妈妈会担心。""}]"
条件·真实条件,零条件,零条件,"If you don't water plants, they die.",如果你不给植物浇水，它们就死了。,L2,零条件：必要条件。,"[{""en"":""If you don't eat, you get hungry."",""zh"":""如果你不吃东西，就会饿。""}]"
条件·真实条件,第一条件,第一条件,"If it rains tomorrow, I will stay home.",如果明天下雨，我就待在家。,L2~L3,第一条件：真实可能。,"[{""en"":""If I have time, I will help you."",""zh"":""如果我有时间，我会帮你。""}]"
条件·真实条件,第一条件,第一条件,"If you study hard, you will pass the exam.",如果你努力学习，你会通过考试。,L2~L3,第一条件：鼓励。,"[{""en"":""If you practice daily, you will improve."",""zh"":""如果你每天练习，就会进步。""}]"
条件·真实条件,第一条件,第一条件,I will call you if I need help.,如果我需要帮助，我会打给你。,L2~L3,if从句在后。,"[{""en"":""I will come if I can make it."",""zh"":""如果我能来，我就来。""}]"
条件·真实条件,第一条件,第一条件,"If you don't hurry, you will miss the bus.",如果你不快点，会错过公交。,L2~L3,否定条件。,"[{""en"":""If you don't leave now, you'll be late."",""zh"":""如果你现在不走，会迟到。""}]"
条件·真实条件,第一条件,第一条件,She won't get the job if she doesn't prepare well.,如果她不好好准备，就得不到工作。,L2~L3,否定结果。,"[{""en"":""He won't succeed if he doesn't try."",""zh"":""如果他不尝试，就不会成功。""}]"
条件·真实条件,第一条件,第一条件,"If he arrives early, we can start the meeting sooner.",如果他早到，我们可以早点开会。,L2~L3,情态+条件。,"[{""en"":""If everyone is ready, we can begin."",""zh"":""如果大家都准备好了，我们可以开始。""}]"
条件·虚拟条件,第二条件,第二条件,"If I had more money, I would travel around the world.",如果我有更多钱，我会环游世界。,L3,第二条件：与现在相反。,"[{""en"":""If I had a car, I would drive to work."",""zh"":""如果我有车，我就开车上班。""}]"
条件·虚拟条件,第二条件,第二条件,"If I were you, I would accept the offer.",如果我是你，我会接受这个提议。,L3,第二条件：建议。,"[{""en"":""If I were you, I would take the job."",""zh"":""如果我是你，我会接受这份工作。""}]"
条件·虚拟条件,第二条件,第二条件,"If she knew the truth, she would be very sad.",如果她知道真相，她会很伤心。,L3,第二条件：假设结果。,"[{""en"":""If he knew, he would be angry."",""zh"":""如果他知道，他会生气。""}]"
条件·虚拟条件,第二条件,第二条件,I would buy a house if I had enough money.,如果我有足够的钱，我会买房子。,L3,if从句在后。,"[{""en"":""I would travel if I had more vacation."",""zh"":""如果我有更多假期，我会去旅行。""}]"
条件·虚拟条件,第二条件,第二条件,"If he lived closer, he could visit us more often.",如果他住得近，他可以更常来看我们。,L3,could+可能。,"[{""en"":""If we had a car, we could go camping."",""zh"":""如果我们有车，可以去露营。""}]"
条件·虚拟条件,第二条件,第二条件,"If I had a better job, I might move to a bigger city.",如果我有更好的工作，我可能会搬到大城市。,L3,might+可能。,"[{""en"":""If I knew the answer, I might tell you."",""zh"":""如果我知道答案，我可能会告诉你。""}]"
