scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
基础③·描述家人,他/她是谁,father,父亲,noun,/ˈfɑːðər/,/ˈfɑːðə/,L1,爸爸。口语常称dad。,"[{""en"":""My father is a doctor."",""zh"":""我爸爸是医生。""}]",0
基础③·描述家人,他/她是谁,mother,母亲,noun,/ˈmʌðər/,/ˈmʌðə/,L1,妈妈。口语常称mom。,"[{""en"":""Her mother is a teacher."",""zh"":""她妈妈是老师。""}]",1
基础③·描述家人,他/她是谁,has,有(三单),verb,/hæz/,/hæz/,L1,have的第三人称单数形式。,"[{""en"":""He has a car."",""zh"":""他有一辆车。""}]",2
基础③·描述家人,他/她是谁,his,他的,pron,/hɪz/,/hɪz/,L1,he的所有格。,"[{""en"":""His name is Tom."",""zh"":""他的名字是Tom。""}]",3
基础③·描述家人,他/她是谁,her,她的,pron,/hɜːr/,/hɜː/,L1,she的所有格。,"[{""en"":""Her phone is new."",""zh"":""她的手机是新的。""}]",4
基础③·描述家人,他/她喜欢什么,likes,喜欢(三单),verb,/laɪks/,/laɪks/,L1,like的第三人称单数形式。,"[{""en"":""He likes coffee."",""zh"":""他喜欢咖啡。""}]",0
基础③·描述家人,他/她喜欢什么,doesn't,不(三单助动词),aux,/ˈdʌznt/,/ˈdʌznt/,L1,does not缩写。第三人称否定助动词。,"[{""en"":""She doesn't like meat."",""zh"":""她不喜欢肉。""}]",1
基础③·描述家人,他/她喜欢什么,does,做(三单)/助动词,verb,/dʌz/,/dʌz/,L1,do的第三人称单数形式。也用作疑问句助动词。,"[{""en"":""Does he like sports?"",""zh"":""他喜欢运动吗？""}]",2
基础③·他/她的日常,他每天做什么,gets up,起床,phrase,/ɡets ʌp/,/ɡets ʌp/,L1,get up的第三人称形式。,"[{""en"":""He gets up at 7."",""zh"":""他7点起床。""}]",0
基础③·他/她的日常,他每天做什么,goes,去(三单),verb,/ɡoʊz/,/ɡəʊz/,L1,go的第三人称单数形式。,"[{""en"":""She goes to school by bus."",""zh"":""她坐公交上学。""}]",1
基础③·他/她的日常,他每天做什么,watches,看(三单),verb,/ˈwɒtʃɪz/,/ˈwɒtʃɪz/,L1,watch的第三人称单数(加es)。,"[{""en"":""He watches TV after dinner."",""zh"":""他晚饭后看电视。""}]",2
基础③·他/她的日常,他每天做什么,studies,学习(三单),verb,/ˈstʌdiz/,/ˈstʌdiz/,L1,study的第三人称单数(y→ies)。,"[{""en"":""She studies English."",""zh"":""她学英语。""}]",3
基础③·他/她的日常,他/她做什么工作,works,工作(三单),verb,/wɜːrks/,/wɜːks/,L1,work的第三人称单数形式。,"[{""en"":""He works in a hospital."",""zh"":""他在医院工作。""}]",0
基础③·他/她的日常,他/她做什么工作,teaches,教(三单),verb,/ˈtiːtʃɪz/,/ˈtiːtʃɪz/,L1,teach的第三人称单数(加es)。,"[{""en"":""She teaches English."",""zh"":""她教英语。""}]",1
基础③·对比你我他,我和你 vs 他/她,but,但是,conj,/bʌt/,/bʌt/,L1,表示转折对比。,"[{""en"":""I like coffee but she likes tea."",""zh"":""我喜欢咖啡但是她喜欢茶。""}]",0
基础③·对比你我他,他们的生活,their,他们的,pron,/ðer/,/ðeə/,L1,they的所有格。,"[{""en"":""Their house is big."",""zh"":""他们的房子很大。""}]",0
基础③·对比你我他,他们的生活,everyone,每个人,pron,/ˈevriwʌn/,/ˈevriwʌn/,L1,everyone = everybody 不定代词。,"[{""en"":""Everyone likes him."",""zh"":""大家都喜欢他。""}]",1
基础③·描述家人,他/她是谁,brother,兄弟,noun,/ˈbrʌðər/,/ˈbrʌðə/,L1,兄弟。He is my brother。,"[{""en"":""He is my brother."",""zh"":""他是我的兄弟。""}]",5
基础③·描述家人,他/她是谁,sister,姐妹,noun,/ˈsɪstər/,/ˈsɪstə/,L1,姐妹。She is my sister。,"[{""en"":""She is my sister."",""zh"":""她是我的姐妹。""}]",6
基础③·描述家人,他/她是谁,son,儿子,noun,/sʌn/,/sʌn/,L1,儿子。He has a son。,"[{""en"":""He has a son."",""zh"":""他有一个儿子。""}]",7
基础③·描述家人,他/她是谁,daughter,女儿,noun,/ˈdɔːtər/,/ˈdɔːtə/,L1,女儿。She has a daughter。,"[{""en"":""She has a daughter."",""zh"":""她有一个女儿。""}]",8
基础③·描述家人,他/她是谁,uncle,叔叔/舅舅,noun,/ˈʌŋkəl/,/ˈʌŋkəl/,L1,叔叔/舅舅。His uncle is tall。,"[{""en"":""His uncle is a doctor."",""zh"":""他的叔叔是医生。""}]",9
基础③·描述家人,他/她是谁,aunt,阿姨/姑姑,noun,/ænt/,/ɑːnt/,L1,阿姨/姑姑。Her aunt is kind。,"[{""en"":""Her aunt is a teacher."",""zh"":""她的阿姨是老师。""}]",10
基础③·描述家人,他/她是谁,grandfather,爷爷/外公,noun,/ˈɡrænfɑːðər/,/ˈɡrænfɑːðə/,L1,爷爷/外公。His grandfather is old。,"[{""en"":""His grandfather is 80."",""zh"":""他爷爷80岁了。""}]",11
基础③·描述家人,他/她是谁,grandmother,奶奶/外婆,noun,/ˈɡrænmʌðər/,/ˈɡrænmʌðə/,L1,奶奶/外婆。Her grandmother is kind。,"[{""en"":""Her grandmother is kind."",""zh"":""她奶奶很慈祥。""}]",12
基础③·描述家人,他/她是谁,tall,高的,adj,/tɔːl/,/tɔːl/,L1,高的。He is very tall。,"[{""en"":""He is very tall."",""zh"":""他很高。""}]",13
基础③·描述家人,他/她是谁,kind,善良的,adj,/kaɪnd/,/kaɪnd/,L1,善良的/好心的。She is kind。,"[{""en"":""She is very kind."",""zh"":""她很善良。""}]",14
基础③·描述家人,他/她喜欢什么,loves,爱/非常喜欢(三单),verb,/lʌvz/,/lʌvz/,L1,love的第三人称。比likes程度更强。,"[{""en"":""He loves music."",""zh"":""他热爱音乐。""}]",3
