scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
基础⑤·此刻正在做,我正在...,I am eating,I eat breakfast every day. / Im eating breakfast right now.,我每天吃早餐。/ 我正在吃早餐。,L1,习惯vs此刻：每天 vs 现在。,"[{""en"":""I eat lunch at noon. / Im eating lunch right now."",""zh"":""我中午吃午饭。/ 我正在吃午饭。""}]"
基础⑤·此刻正在做,我正在...,I am drinking,I drink coffee in the morning. / Im drinking coffee right now.,我早上喝咖啡。/ 我正在喝咖啡。,L1,习惯vs此刻：早上习惯 vs 现在。,"[{""en"":""I drink water after exercise. / Im drinking water now."",""zh"":""我运动后喝水。/ 我正在喝水。""}]"
基础⑤·此刻正在做,我正在...,I am reading,I read books at night. / Im reading a great book.,我晚上看书。/ 我正在读一本好书。,L1,习惯vs此刻：每晚 vs 此刻。,"[{""en"":""I read news in the morning. / Im reading an interesting article."",""zh"":""我早上看新闻。/ 我正在读一篇有趣的文章。""}]"
基础⑤·此刻正在做,我正在...,I am cooking,I cook dinner at home. / Im cooking pasta right now.,我在家做晚饭。/ 我正在煮意面。,L1,习惯vs此刻：在家做饭 vs 此刻。,"[{""en"":""I cook on weekends. / Im cooking soup right now."",""zh"":""我周末做饭。/ 我正在煮汤。""}]"
基础⑤·此刻正在做,我正在...,I am studying,I study English every day. / Im studying for a test now.,我每天学英语。/ 我正在备考。,L1,习惯vs此刻：每天学 vs 此刻。,"[{""en"":""I study in the library. / Im studying for an exam now."",""zh"":""我在图书馆学习。/ 我正在备考。""}]"
基础⑤·此刻正在做,此刻场景描述,It is raining,It rains a lot in summer. / Its raining outside right now.,夏天多雨。/ 外面正在下雨。,L1,季节特征 vs 此刻天气。,"[{""en"":""It rains in spring. / Its raining heavily now."",""zh"":""春天多雨。/ 现在正在下大雨。""}]"
基础⑤·此刻正在做,此刻场景描述,People are waiting,People wait for the bus here. / People are waiting in line.,人们在这等公交。/ 人们正在排队。,L1,一般情况 vs 眼前场景。,"[{""en"":""People wait here every day. / People are waiting for the doors to open."",""zh"":""人们每天在这等。/ 人们正在等开门。""}]"
基础⑤·此刻正在做,他/她正在...,He is working,He works in an office. / Hes working from home today.,他在办公室工作。/ 他今天在家办公。,L1,长期 vs 临时。,"[{""en"":""He works in a hospital. / Hes working from home this week."",""zh"":""他在医院工作。/ 他这周在家办公。""}]"
基础⑤·此刻正在做,他/她正在...,He is driving,He drives to work every day. / Hes driving to the airport now.,他每天开车上班。/ 他正开往机场。,L1,日常 vs 此刻。,"[{""en"":""He drives to school. / Hes driving to the station now."",""zh"":""他开车上学。/ 他正开往车站。""}]"
基础⑤·此刻正在做,他/她正在...,She is teaching,She teaches English. / Shes teaching a class right now.,她教英语。/ 她正在上课。,L1,职业 vs 此刻。,"[{""en"":""She teaches math. / Shes teaching a lesson right now."",""zh"":""她教数学。/ 她正在上课。""}]"
