scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
基础④·Yes/No问句,一般疑问句,question,问题,noun,/ˈkwestʃən/,/ˈkwestʃən/,L1,问题。ask a question = 问问题。,"[{"en":"Do you have a question?","zh":"你有问题吗？"}]",0
基础④·Yes/No问句,一般疑问句,answer,回答,noun/verb,/ˈænsər/,/ˈɑːnsə/,L1,回答。answer the question。,"[{"en":"Please answer my question.","zh":"请回答我的问题。"}]",1
基础④·Yes/No问句,一般疑问句,yes,是,adv,/jes/,/jes/,L1,肯定回答。,"[{"en":"Yes, I am.","zh":"是的，我是。"}]",2
基础④·Yes/No问句,一般疑问句,no,不/不是,adv,/noʊ/,/nəʊ/,L1,否定回答。,"[{"en":"No, I'm not.","zh":"不，我不是。"}]",3
基础④·Yes/No问句,一般疑问句,ask,问,verb,/æsk/,/ɑːsk/,L1,问问题。ask a question。,"[{"en":"Can I ask you something?","zh":"我能问你点事吗？"}]",4
基础④·Yes/No问句,一般疑问句,sure,当然/确定,adj/adv,/ʃʊr/,/ʃɔː/,L1,确定。Are you sure?,"[{"en":"Are you sure about that?","zh":"你确定吗？"}]",5
基础④·Yes/No问句,一般疑问句,maybe,也许,adv,/ˈmeɪbi/,/ˈmeɪbi/,L1,也许。不确定的回答。,"[{"en":"Maybe later.","zh":"也许晚点。"}]",6
基础④·Yes/No问句,一般疑问句,really,真的,adv,/ˈriːəli/,/ˈrɪəli/,L1,真的。表示惊讶或强调。,"[{"en":"Really? Is that true?","zh":"真的吗？那是真的吗？"}]",7
基础④·Yes/No问句,一般疑问句,correct,正确的,adj,/kəˈrekt/,/kəˈrekt/,L1,正确的。That's correct。,"[{"en":"Is that correct?","zh":"对吗？"}]",8
基础④·Yes/No问句,一般疑问句,wrong,错误的,adj,/rɔːŋ/,/rɒŋ/,L1,错误的。wrong answer。,"[{"en":"Is it wrong?","zh":"它错了吗？"}]",9
基础④·Yes/No问句,一般疑问句,understand,理解,verb,/ˌʌndərˈstænd/,/ˌʌndəˈstænd/,L1,理解。Do you understand?,"[{"en":"Do you understand me?","zh":"你明白我的意思吗？"}]",10
基础④·Yes/No问句,一般疑问句,explain,解释,verb,/ɪkˈspleɪn/,/ɪkˈspleɪn/,L1,解释。Can you explain?,"[{"en":"Can you explain that again?","zh":"你能再解释一遍吗？"}]",11
基础④·Yes/No问句,一般疑问句,repeat,重复,verb,/rɪˈpiːt/,/rɪˈpiːt/,L1,重复。Please repeat。,"[{"en":"Can you repeat that?","zh":"你能重复一遍吗？"}]",12
基础④·Yes/No问句,过去疑问句,did,做(过去助动词),verb,/dɪd/,/dɪd/,L1,do的过去式。构成过去疑问句。,"[{"en":"Did you eat?","zh":"你吃了吗？"}]",0
基础④·Yes/No问句,过去疑问句,yesterday,昨天,adv,/ˈjestərdeɪ/,/ˈjestədeɪ/,L1,昨天。过去时间表达。,"[{"en":"Did you go to school yesterday?","zh":"你昨天上学了吗？"}]",1
基础④·Yes/No问句,过去疑问句,ago,…以前,adv,/əˈɡoʊ/,/əˈɡəʊ/,L1,…以前。two days ago。,"[{"en":"Did you see him two days ago?","zh":"你两天前看到他了吗？"}]",2
基础④·Yes/No问句,过去疑问句,last,上一个/最后的,adj,/læst/,/lɑːst/,L1,上一个的。last week。,"[{"en":"Did you work last weekend?","zh":"你上周周末工作了吗？"}]",3
基础④·Yes/No问句,过去疑问句,before,之前,prep/adv,/bɪˈfɔːr/,/bɪˈfɔː/,L1,在…之前。Have you been here before?,"[{"en":"Did you come here before?","zh":"你之前来过这里吗？"}]",4
基础④·Yes/No问句,过去疑问句,after,之后,prep,/ˈæftər/,/ˈɑːftə/,L1,在…之后。after work。,"[{"en":"Did you eat after the meeting?","zh":"你开完会后吃了吗？"}]",5
基础④·Yes/No问句,过去疑问句,already,已经,adv,/ɔːlˈredi/,/ɔːlˈredi/,L1,已经。用于疑问句表惊讶。,"[{"en":"Did you finish already?","zh":"你已经完成了吗？"}]",6
