scene_title,topic_title,word,sort_order
常用英语500句 · 基础篇,澄清、确认与补充问题,mean,1
常用英语500句 · 基础篇,澄清、确认与补充问题,pardon,2
常用英语500句 · 基础篇,澄清、确认与补充问题,miss,3
常用英语500句 · 基础篇,澄清、确认与补充问题,serious,4
常用英语500句 · 基础篇,澄清、确认与补充问题,kidding,5
常用英语500句 · 基础篇,澄清、确认与补充问题,sure,6
常用英语500句 · 基础篇,澄清、确认与补充问题,depend,7
常用英语500句 · 基础篇,澄清、确认与补充问题,gotcha,8
常用英语500句 · 基础篇,澄清、确认与补充问题,question,9
常用英语500句 · 基础篇,澄清、确认与补充问题,possible,10
常用英语500句 · 基础篇,澄清、确认与补充问题,confirm,11
常用英语500句 · 基础篇,澄清、确认与补充问题,detail,12
常用英语500句 · 基础篇,澄清、确认与补充问题,clarify,13
常用英语500句 · 基础篇,澄清、确认与补充问题,follow-up,14
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,invite,1
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,drink,2
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,tonight,3
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,prefer,4
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,accept,5
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,decline,6
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,reschedule,7
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,chance,8
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,bother,9
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,wish,10
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,means,11
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,flexible,12
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,pickup,13
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,call,14
常用英语500句 · 基础篇,酒店、课程与服务预约,reservation,1
常用英语500句 · 基础篇,酒店、课程与服务预约,credit,2
常用英语500句 · 基础篇,酒店、课程与服务预约,card,3
常用英语500句 · 基础篇,酒店、课程与服务预约,unpack,4
常用英语500句 · 基础篇,酒店、课程与服务预约,settled,5
常用英语500句 · 基础篇,酒店、课程与服务预约,pack,6
常用英语500句 · 基础篇,酒店、课程与服务预约,reasonable,7
常用英语500句 · 基础篇,酒店、课程与服务预约,price,8
常用英语500句 · 基础篇,酒店、课程与服务预约,guest,9
常用英语500句 · 基础篇,酒店、课程与服务预约,wake,10
常用英语500句 · 基础篇,酒店、课程与服务预约,check,11
常用英语500句 · 基础篇,酒店、课程与服务预约,service,12
