scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown_file,ink_script_key
日常动词用法：从会认到会用,01 做事：do 与 make,Describe chores work and things you create or decide.,描述日常事务、工作以及创造或决定出来的结果。,720,L1,区分 do 的活动过程与 make 的产出结果并掌握高频固定搭配。,"do; make; collocations; activity versus result",01 做事：do 与 make.md,
日常动词用法：从会认到会用,02 获得与变化：get,Use get for receiving obtaining arriving and changing states.,用 get 表达收到、获得、到达和状态变化。,720,L1,建立 get 的核心概念并理解 get to、get from、get + adjective 和常见小品词。,"get; obtain; become; arrive; phrasal verbs",02 获得与变化：get.md,
日常动词用法：从会认到会用,03 拿走与花费：take,Use take for carrying choosing consuming time and accepting.,用 take 表达拿走、选择、耗时、服用和接受。,720,L1,掌握 take 的移动核心与 take time、take medicine、take part 等搭配。,"take; carry; time; transport; collocations",03 拿走与花费：take.md,
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,Talk about possession experiences storage and physical control.,谈论拥有、经历、保留和手中控制。,720,L1,区分 have、keep、hold 并掌握 have to、keep doing、hold on。,"have; keep; hold; possession; continuation",04 拥有与保持：have keep hold.md,
日常动词用法：从会认到会用,05 给予与传递：give bring send show,Choose the right verb when something moves between people.,在物品或信息在人之间传递时选择准确动词。,720,L1,区分给、带来、发送和展示并练习双宾语结构。,"give; bring; send; show; ditransitive verbs",05 给予与传递：give bring send show.md,
日常动词用法：从会认到会用,06 说话：say tell speak talk,Report words tell stories and have conversations.,转述话语、讲述故事并进行交谈。,720,L1,根据宾语和交流方式区分 say、tell、speak、talk 及其介词。,"say; tell; speak; talk; communication",06 说话：say tell speak talk.md,
日常动词用法：从会认到会用,07 看：look see watch read,Describe intentional looking noticing and watching over time.,描述主动看、自然看见、持续观看和阅读。,720,L1,区分 look at、see、watch、read 和 look for、look after。,"look; see; watch; read; visual verbs",07 看：look see watch read.md,
日常动词用法：从会认到会用,08 听：hear listen sound,Describe hearing paying attention and impressions from sound.,描述自然听见、主动倾听和听起来的印象。,600,L1,区分 hear、listen to 和 sound 并练习 hear about、hear from。,"hear; listen; sound; perception",08 听：hear listen sound.md,
日常动词用法：从会认到会用,09 来去与到达：go come arrive reach,Describe movement relative to the speaker and arrival at destinations.,根据说话者位置描述来去并表达抵达目的地。,720,L1,区分 go 与 come 以及 arrive in/at、reach、get to。,"go; come; arrive; reach; destination",09 来去与到达：go come arrive reach.md,
日常动词用法：从会认到会用,10 放置与留下：put set leave,Place objects prepare arrangements and leave things behind.,放置物品、设置安排并表达把东西留下。,720,L2,掌握 put + 地点、set 的设置含义和 leave 的离开或保留含义。,"put; set; leave; placement; causative result",10 放置与留下：put set leave.md,
日常动词用法：从会认到会用,11 找与发现：find look for discover,Talk about searching locating and learning something new.,谈论寻找过程、找到结果和首次发现。,600,L1,区分 look for 的过程、find 的结果和 discover 的新发现。,"find; look for; discover; search",11 找与发现：find look for discover.md,
日常动词用法：从会认到会用,12 学与知道：know learn study teach,Describe knowledge learning processes and instruction.,描述已经知道、学会过程、系统学习和教授别人。,720,L1,区分状态 know、获得 learn、过程 study 与传授 teach。,"know; learn; study; teach; knowledge",12 学与知道：know learn study teach.md,
日常动词用法：从会认到会用,13 想与决定：think consider decide choose,Express opinions reflection options and final decisions.,表达观点、认真考虑、作出决定和选择。,720,L2,区分 think、think about/of、consider、decide on/to 和 choose between。,"think; consider; decide; choose; complements",13 想与决定：think consider decide choose.md,
日常动词用法：从会认到会用,14 尝试与成功：try manage practice,Describe attempts experiments skill practice and successful outcomes.,描述努力尝试、试试看、技能练习和最终成功。,720,L2,区分 try to do、try doing、manage to do 和 practice doing。,"try; manage; practice; gerund versus infinitive",14 尝试与成功：try manage practice.md,
日常动词用法：从会认到会用,15 开始继续与停止,Control the stages of an activity and explain interruptions.,控制活动的开始、继续、停止和完成。,720,L2,比较 start/begin、continue/keep、stop doing/to do 和 finish doing。,"start; continue; stop; finish; verb patterns",15 开始继续与停止.md,
日常动词用法：从会认到会用,16 请求等待与支付：ask wait pay apply,Use common verbs that require for or to in practical situations.,在请求、等待、付款和申请场景中使用正确介词。,720,L2,掌握 ask for、ask someone to、wait for、pay for 和 apply for/to。,"ask for; wait for; pay for; apply for; dependent prepositions",16 请求等待与支付：ask wait pay apply.md,
日常动词用法：从会认到会用,17 关系与处理：care depend deal belong,Talk about concern dependence problem handling and ownership.,表达关心、依赖、问题处理和归属关系。,720,L2,掌握 care about/for、depend on、deal with 和 belong to。,"care; depend on; deal with; belong to",17 关系与处理：care depend deal belong.md,
日常动词用法：从会认到会用,18 高频短语动词综合,Use everyday phrasal verbs with turn pick cut break take and work.,综合使用由常见动词和小品词组成的高频短语动词。,900,L2,理解 up、down、on、off、out 等小品词带来的方向和结果并掌握可分结构。,"phrasal verbs; particles; separability; integrated practice",18 高频短语动词综合.md,
