scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
基础⑩·表达想法,I think (that)...,我认为…,I think (that) you are right.,我认为你是对的。,L2,,
基础⑩·表达想法,I don't think...,我认为…,I don't think (that) it's a good idea.,我认为这不是个好主意。,L2,,
基础⑩·表达想法,I think (that)...,我认为…,I believe (that) he is telling the truth.,我相信他说的是实话。,L2,,
基础⑩·表达想法,I know / I'm sure,我知道…,I know (that) you are busy.,我知道你很忙。,L2,,
基础⑩·表达想法,I know / I'm sure,我知道…,I'm sure (that) everything will be fine.,我确定一切都会好的。,L2,,
基础⑩·表达想法,I know / I'm sure,我知道…,I'm sorry (that) I'm late.,抱歉我迟到了。,L2,,
基础⑩·表达想法,He said (that)...,转述他人,He said (that) he would come.,他说他会来。,L2,,
基础⑩·表达想法,He said (that)...,转述他人,She told me (that) she liked it.,她告诉我她喜欢。,L2,,
基础⑩·表达想法,He said (that)...,转述他人,I heard (that) the store is closing.,我听说那家店要关了。,L2,,
基础⑩·表达想法,I think (that)...,不确定,I'm not sure (that) I can go.,我不确定我能去。,L2,,
基础⑩·表达想法,wh- 宾语从句,不确定,I don't know what he wants.,我不知道他想要什么。,L2,,
基础⑩·表达想法,I think (that)...,不确定,Can you tell me where the station is?,你能告诉我车站在哪吗？,L2,,
基础⑩·表达想法,wh- 宾语从句,不确定,I wonder why he is late.,我想知道他为什么迟到。,L2,,
基础⑩·描述人物事物,that 定语从句（物）,描述物品,The book that I read is very interesting.,我读的那本书很有趣。,L2,,
基础⑩·描述人物事物,that 定语从句（物）,描述物品,Is this the food that you like?,这是你喜欢的食物吗？,L2,,
基础⑩·描述人物事物,that 定语从句（物）,描述物品,I like the one that you showed me.,我喜欢你给我看的那一个。,L2,,
基础⑩·描述人物事物,who 定语从句（人）,描述人,The person who called is my boss.,打电话的那个人是我老板。,L2,,
基础⑩·描述人物事物,who 定语从句（人）,描述人,Do you know the girl who is talking to Tom?,你认识和汤姆说话的那个女孩吗？,L2,,
基础⑩·描述人物事物,who 定语从句（人）,描述人,He is the kind of person who never gives up.,他是那种永不放弃的人。,L2,,
基础⑩·描述人物事物,where/when/why 定语从句,描述地点,The restaurant where we met is still there.,我们见面的那家餐厅还在那里。,L2,,
