chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
ch_like_01,我喜欢什么,1,食物饮品,喜好与选择,L1,1,5,10,3,5,"[""说出三种喜欢的吃喝"",""听懂别人的选择""]",2,3,2,Mia,同学,true,practice_foundation-daily-life_喜欢的吃喝,"{""xp"":10}"
ch_like_01,我喜欢什么,2,活动与喜好问答,喜好与选择,L1,1,5,10,3,5,"[""完成6轮喜好交流"",""表达喜欢和不喜欢""]",2,3,2,Alex,搭档,false,practice_foundation-daily-life_喜欢的活动,"{""xp"":10}"
ch_want_02,我想要与我需要,1,want表达,想要与需要,L1,1,5,10,3,5,"[""用want表达三个想要的事物""]",2,3,2,Emma,售票员,true,practice_foundation-daily-life_我想要什么,"{""xp"":10}"
ch_want_02,我想要与我需要,2,need表达,想要与需要,L1,1,5,10,3,5,"[""正确区分want和need""]",2,3,2,Mia,助教,false,practice_foundation-daily-life_我真正需要什么,"{""xp"":10}"
ch_order_03,简单点单,1,礼貌选择,饮食与点单,L1,1,5,10,3,5,"[""完成一段点单对话""]",2,3,2,Emma,店员,true,practice_foundation-daily-life_礼貌点单,"{""xp"":10}"
ch_order_03,简单点单,2,追加拒绝与结账,饮食与点单,L1,1,5,10,3,5,"[""接受一次和拒绝一次""]",2,3,2,Ben,服务员,false,practice_foundation-daily-life_追加与结账,"{""xp"":10}"
ch_day_04,我的一天,1,早晨与白天,我的一天,L1,1,5,10,3,5,"[""用8句介绍日常""]",2,3,2,Alex,同学,true,practice_foundation-daily-life_早晨,"{""xp"":10}"
ch_day_04,我的一天,2,晚上与周末,我的一天,L1,1,5,10,3,5,"[""对比工作日晚上和周末""]",2,3,2,Ben,朋友,false,practice_foundation-daily-life_晚上与周末,"{""xp"":10}"
ch_shop_05,日常购物,1,询问有没有,日常用品与购物,L1,1,5,10,3,5,"[""完成询问-确认-借用""]",2,3,2,Sofia,同桌,true,practice_foundation-daily-life_我有什么,"{""xp"":10}"
ch_shop_05,日常购物,2,价格颜色和决定,日常用品与购物,L1,1,5,10,3,5,"[""完成购买一件用品""]",2,3,2,Mia,店员,false,practice_foundation-daily-life_选择与决定,"{""xp"":10}"
ch_meetup_06,联系朋友,1,电话与消息,联系与约见,L1,1,5,10,3,5,"[""处理不便通话的情况""]",2,3,2,Alex,朋友,true,practice_foundation-daily-life_打电话与发消息,"{""xp"":10}"
ch_meetup_06,联系朋友,2,确认见面与迟到,联系与约见,L1,1,5,10,3,5,"[""商定见面时间地点"",""表达在路上和迟到""]",2,3,2,Sofia,朋友,false,practice_foundation-daily-life_在路上与迟到,"{""xp"":10}"
