scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
基础①·自我介绍,我是谁,Practice introducing yourself with I am. Say your name age nationality.,练习用I am自我介绍：姓名、年龄、国籍、身份。,45,L1,掌握I am+名字/年龄/国籍/身份的基本句型，以及否定句I am not。,be动词 自我介绍 I am 否定句,"## 开口顺序

先说 Hello/Hi，再说 I am+名字。
- I am a student.
- I am from China.
- I am 20 years old.

注意：不能说 I student，必须有 am。",practice_foundation-beginner_基础①_自我介绍_我是谁
基础①·自我介绍,你是谁,Practice asking and answering with You are/Are you?.,练习用You are/Are you?询问和回答对方身份和状态。,45,L1,掌握You are+描述/Are you?疑问句，以及How are you?问候。,You are Are you How are you,"## 问候三步

1. Hello/Hi
2. How are you? → I'm fine thanks.
3. Are you a student? → Yes I am./No I'm not.

You后总是用are，不论单数复数。",practice_foundation-beginner_基础①_自我介绍_你是谁
基础①·自我介绍,我的信息,Learn to share personal info: name nationality age job.,练习说出自己的基本信息：姓名、国籍、年龄、职业。,45,L1,综合运用I am/My name is/I'm from/I'm+年龄说出完整自我介绍。,综合输出 个人信息,"## 完整模板

Hi! I'm+名字. I'm from+国家. I'm+年龄 years old. I'm a+职业. Nice to meet you!

am不能漏，years要加s。",practice_foundation-beginner_基础①_自我介绍_我的信息
基础①·自我介绍,问候与礼貌,Master greetings and polite expressions: hello hi nice to meet you please thank you.,掌握问候语和礼貌用语：hello/hi/nice to meet you/please/thank you。,45,L1,掌握日常问候和基本礼貌用语。,问候 礼貌 感谢,"## 见面三步

1. Hi!/Hello!
2. Nice to meet you.
3. Nice to meet you too.

感谢：Thank you.→You're welcome.
礼貌请求：Please sit down./Can you help me please?",practice_foundation-beginner_基础①_自我介绍_问候与礼貌
基础①·自我介绍,年龄与数字,Learn numbers 1-20 and saying your age.,学习数字1到20和表达年龄。,45,L1,掌握数字1-20和年龄表达：I am+数字+years old。,数字 年龄,"## 数字1-10

one two three four five six seven eight nine ten

## 年龄表达

How old are you?→I am 20 (years old).

1 year不加s，2及以上加s：2 years old。",practice_foundation-beginner_基础①_自我介绍_年龄与数字
基础①·描述事物,它是什么,Learn to describe things with It is+noun/adj.,练习用It is+名词/形容词描述事物。,45,L1,掌握It is+名词/形容词描述事物，以及What is this?问句。,It is 描述,"## 描述格式

What is this?→It is a book.
加颜色：It is red.
加大小：It is very big.

It is=It's。a/an不能省。",practice_foundation-beginner_基础①_描述事物_它是什么
基础①·描述事物,颜色与大小,Learn colors and sizes: red blue big small long short.,学习颜色词和大小词。,45,L1,掌握基本颜色和大小的形容词，描述物品外观。,颜色 大小 形容词,"## 颜色

red blue green yellow black white

## 大小

big small long short

顺序：大小+颜色+名词：a big red bag。",practice_foundation-beginner_基础①_描述事物_颜色与大小
基础①·描述事物,位置与方向,Learn location words: here there on in under next to.,学习位置词：这里、那里、在上面、在里面、在下面、在旁边。,45,L1,掌握基本位置介词和There/Where问答。,位置 介词,"## 位置词

here/there/on/in/under/next to

## 问答

Where is the book?→It is on the table.
Where are you?→I'm here.

英语位置必须加介词。",practice_foundation-beginner_基础①_描述事物_位置与方向
基础①·描述事物,天气描述,Learn to describe weather: hot cold sunny rainy warm.,学习描述天气：热、冷、晴、雨、暖。,45,L1,掌握基本天气词，用It is+天气词描述天气。,天气,"## 天气表达

How is the weather?→It is sunny.
It is hot today./It is very cold.

天气词：sunny rainy cloudy windy hot cold warm

It is+天气词比The weather is更自然。",practice_foundation-beginner_基础①_描述事物_天气描述
基础①·描述事物,数量表达,Learn to express quantity: one two many few a lot of.,学习数量表达：一、二、很多、一些、少量。,45,L1,掌握基本数量词和There be句型。,数量 There be,"## There be

There is a book./There are two pens.
There are many students.

There is+单数，There are+复数。",practice_foundation-beginner_基础①_描述事物_数量表达
基础①·描述他人,他/她是谁,Learn to introduce others: He is/She is+name job nationality.,学习介绍他人：他/她是+名字/职业/国籍。,45,L1,掌握He/She is+身份描述，以及His/Her物主代词。,第三人称 介绍,"## 介绍他人

He is my friend./She is a teacher.
His name is Tom./Her name is Mary.

he=他(男)，she=她(女)，his=他的，her=她的。",practice_foundation-beginner_基础①_描述他人_他她是谁
基础①·描述他人,家庭关系,Learn family members: father mother brother sister son daughter.,学习家庭关系：爸爸、妈妈、哥哥、姐姐、儿子、女儿。,45,L1,掌握基本家庭称谓，用He/She is my...描述家人。,家庭 亲属,"## 家庭成员

father/dad 爸爸 / mother/mom 妈妈
brother 兄弟 / sister 姐妹

介绍：He is my father./She is my mother.
brother/sister不分大小，需加older/younger区分。",practice_foundation-beginner_基础①_描述他人_家庭关系
基础①·描述他人,职业身份,Learn jobs: teacher doctor student worker nurse.,学习职业身份：老师、医生、学生、工人、护士等。,45,L1,掌握常见职业词，用He/She is a+职业描述他人。,职业 身份,"## 常见职业

teacher/doctor/student/nurse/worker/driver

描述：He is a doctor./She is a teacher.

职业前要加a/an：He is doctor ❌→He is a doctor ✅",practice_foundation-beginner_基础①_描述他人_职业身份
基础①·描述他人,外表描述,Learn to describe appearance: tall short thin young old pretty.,学习描述外表：高矮胖瘦、年轻年老、漂亮。,45,L1,掌握基本外表形容词，用He/She is+外表词描述。,外表 形容词,"## 外表词

tall 高/short 矮/thin 瘦/young 年轻/old 老/pretty 漂亮

He is tall and thin./She is very pretty.

形容人时He is tall描述身高。",practice_foundation-beginner_基础①_描述他人_外表描述
