scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
机场出发,办理值机,办理值机,I'd like to check in for my flight.,我要办理值机。,L1,值机柜台的标准开场白。,"[{""en"":""Hi, I'd like to check in for my flight to London."",""zh"":""你好，我要办理去伦敦的值机。""}]"
机场出发,办理值机,办理值机,Can I have a window seat please?,能给我靠窗座位吗？,L1,选座位。window seat = 靠窗，aisle seat = 靠走道。,"[{""en"":""Can I have a window seat, please?"",""zh"":""能给我靠窗座位吗？""}]"
机场出发,办理值机,办理值机,How many bags can I check in?,我能托运几件行李？,L1,询问托运行李件数和限额。,
机场出发,办理值机,办理值机,Is my luggage overweight?,我的行李超重了吗？,L2,超重要付费。overweight = 超重，extra fee = 额外费用。,"[{""en"":""Is my luggage overweight? I can take some things out."",""zh"":""我的行李超重了吗？我可以拿出一些东西。""}]"
机场出发,办理值机,办理值机,What gate does my flight depart from?,我的航班在哪个登机口？,L1,确认登机口。登机口可能在起飞前变更。,"[{""en"":""What gate does my flight depart from?"",""zh"":""我的航班在哪个登机口？""}]"
机场出发,过安检,过安检,Do I need to take my laptop out?,我需要把笔记本电脑拿出来吗？,L1,安检时电脑、平板等电子产品需单独放托盘。,"[{""en"":""Do I need to take my laptop out of the bag?"",""zh"":""我需要把笔记本电脑从包里拿出来吗？""}]"
机场出发,过安检,过安检,Can I bring this in my carry-on?,这个能带随身行李吗？,L1,确定物品是否符合随身行李规定。液体限100ml。,"[{""en"":""Can I bring this bottle in my carry-on?"",""zh"":""这个瓶子能带随身行李吗？""}]"
机场出发,过安检,过安检,Please put your bag on the belt.,请把包放在传送带上。,L1,安检人员指示把行李放进扫描机。,"[{""en"":""Please put your bag on the belt and walk through."",""zh"":""请把包放上传送带，然后走过去。""}]"
机场出发,登机口候机,登机口候机,When does boarding start?,什么时候开始登机？,L1,确认登机时间。boarding time = 登机时间。,"[{""en"":""When does boarding start for flight BA168?"",""zh"":""BA168航班什么时候开始登机？""}]"
机场出发,登机口候机,登机口候机,Is the flight on time?,航班准时吗？,L1,确认航班是否延误。on time = 准时，delayed = 延误。,"[{""en"":""Is the flight to Tokyo on time?"",""zh"":""去东京的航班准时吗？""}]"
机场出发,登机口候机,登机口候机,Has the gate changed?,登机口变了吗？,L2,登机口变更很常见，随时注意显示屏和广播。,"[{""en"":""Has the gate changed? I heard an announcement."",""zh"":""登机口变了吗？我听到广播了。""}]"
机场入境,入境问答,入境问答,I'm here for tourism.,我来旅游的。,L1,说明来访目的最常见回答。tourism/business/study。,"[{""en"":""I'm here for tourism. I'm staying for a week."",""zh"":""我来旅游的，待一周。""}]"
机场入境,入境问答,入境问答,I'll be staying for a week.,我待一周。,L1,说明停留时间。入境官员关心的是你什么时候离境。,"[{""en"":""I'll be staying for a week."",""zh"":""我待一周。""}]"
