episode_chapter,episode_order,chunk_text_match,sort_order
ch_pinlv,1,I always brush my teeth.,0
ch_pinlv,1,I usually have breakfast at 8.,1
ch_pinlv,1,I often read before bed.,2
ch_pinlv,1,Sometimes I go jogging.,3
ch_pinlv,1,I never smoke.,4
ch_pinlv,1,I always read before bed.,5
ch_pinlv,1,I usually exercise in the morning.,6
ch_pinlv,1,I often relax on weekends.,7
ch_pinlv,1,I never skip breakfast.,8
ch_chengdu,1,She is very smart.,0
ch_chengdu,1,The movie is quite good.,1
ch_chengdu,1,It's rather cold today.,2
ch_chengdu,1,That's extremely kind.,3
ch_chengdu,1,This coffee is too hot.,4
ch_chengdu,1,The scenery is very beautiful.,5
ch_chengdu,1,The trail is quite steep.,6
ch_chengdu,1,The summit is rather cold.,7
ch_chengdu,1,The view is extremely breathtaking.,8
ch_fangshi,1,Please read carefully.,0
ch_fangshi,1,He quickly finished his homework.,1
ch_fangshi,1,The children played happily.,2
ch_fangshi,1,She easily solved the problem.,3
ch_fangshi,1,She speaks English well.,4
ch_fangshi,1,I carefully read the recipe.,5
ch_fangshi,1,I quickly prepare the ingredients.,6
ch_fangshi,1,She happily helps me in the kitchen.,7
ch_fangshi,1,I easily follow each step.,8
ch_fangshi,1,We work together well.,9
ch_pinglun,1,Luckily no one was hurt.,0
ch_pinglun,1,Frankly I don't care.,1
ch_pinglun,1,Honestly that's the best option.,2
ch_pinglun,1,Surprisingly he agreed with us.,3
ch_pinglun,1,Obviously she was lying.,4
ch_pinglun,1,Luckily she proved her innocence.,5
ch_pinglun,1,Frankly the rumor was wrong.,6
ch_pinglun,1,Obviously they leaked the data.,7
ch_pinglun,1,Surprisingly she got promoted.,8
