scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
情态动词：能力、建议与推测,情态动词的基本结构,基本结构,can do,能够做,L1,情态动词后直接接动词原形。,"[{""en"":""I can do it today."",""zh"":""我今天能做这件事。""}]"
情态动词：能力、建议与推测,情态动词的基本结构,基本结构,cannot do,不能做,L1,否定词直接接在情态动词后。,"[{""en"":""We cannot enter this room."",""zh"":""我们不能进入这个房间。""}]"
情态动词：能力、建议与推测,情态动词的基本结构,基本结构,Should I do it?,我应该做吗？,L1,把情态动词放到主语前构成疑问。,"[{""en"":""Should I call them now?"",""zh"":""我现在应该给他们打电话吗？""}]"
情态动词：能力、建议与推测,能力：can could be able to,能力表达,I can handle it.,我能处理。,L1,用 can 表达现在的一般能力。,"[{""en"":""I can handle this task alone."",""zh"":""我能独自处理这项任务。""}]"
情态动词：能力、建议与推测,能力：can could be able to,能力表达,I couldn't do it before.,我以前做不到。,L1,用 could not 表达过去缺乏一般能力。,"[{""en"":""I couldn't speak English before."",""zh"":""我以前不会说英语。""}]"
情态动词：能力、建议与推测,能力：can could be able to,能力表达,be able to,能够,L2,可配合更多时态表达能力。,"[{""en"":""I will be able to help tomorrow."",""zh"":""我明天能帮忙。""}]"
情态动词：能力、建议与推测,可能性：may might could,可能性,It may happen.,这可能会发生。,L2,may 表达现实可能性。,"[{""en"":""The meeting may finish early."",""zh"":""会议可能提前结束。""}]"
情态动词：能力、建议与推测,可能性：may might could,可能性,It might be true.,这或许是真的。,L2,might 表达把握不高的可能性。,"[{""en"":""His explanation might be true."",""zh"":""他的解释或许是真的。""}]"
情态动词：能力、建议与推测,可能性：may might could,可能性,It could work.,这办法可能行得通。,L2,could 也可表示一种可能方案或结果。,"[{""en"":""This plan could work."",""zh"":""这个计划可能行得通。""}]"
情态动词：能力、建议与推测,义务：must have to need to,义务与需要,You must wear a badge.,你必须佩戴证件。,L2,must 强调明确规则或说话者要求。,"[{""en"":""Visitors must wear a badge."",""zh"":""访客必须佩戴证件。""}]"
情态动词：能力、建议与推测,义务：must have to need to,义务与需要,I have to leave.,我不得不离开。,L1,have to 常说明外部情况带来的义务。,"[{""en"":""I have to leave before six."",""zh"":""我必须在六点前离开。""}]"
情态动词：能力、建议与推测,义务：must have to need to,义务与需要,You don't have to wait.,你不必等待。,L2,don't have to 表示没有必要而非禁止。,"[{""en"":""You don't have to wait outside."",""zh"":""你不必在外面等。""}]"
情态动词：能力、建议与推测,建议：should ought to had better,建议,You should get some rest.,你应该休息一下。,L1,should 给出一般建议。,"[{""en"":""You should get some rest tonight."",""zh"":""你今晚应该休息一下。""}]"
情态动词：能力、建议与推测,建议：should ought to had better,建议,You ought to check.,你应该检查一下。,L2,ought to 与 should 意义接近且稍正式。,"[{""en"":""You ought to check the address."",""zh"":""你应该核对地址。""}]"
情态动词：能力、建议与推测,建议：should ought to had better,建议,You had better hurry.,你最好快点。,L2,had better 常暗示不这样做会有后果。,"[{""en"":""You had better hurry before it closes."",""zh"":""你最好在关门前快点。""}]"
情态动词：能力、建议与推测,请求与许可,请求与许可,Could you please help me?,可以请你帮我吗？,L1,could 让请求听起来较委婉。,"[{""en"":""Could you please help me with this bag?"",""zh"":""可以请你帮我拿这个包吗？""}]"
情态动词：能力、建议与推测,请求与许可,请求与许可,May I come in?,我可以进来吗？,L1,may 用于较正式地询问许可。,"[{""en"":""May I come in and sit down?"",""zh"":""我可以进来坐下吗？""}]"
情态动词：能力、建议与推测,请求与许可,请求与许可,Would you like me to help?,需要我帮忙吗？,L2,用 would you like me to 主动提供帮助。,"[{""en"":""Would you like me to carry that?"",""zh"":""需要我拿那个吗？""}]"
情态动词：能力、建议与推测,推测：must might can't,逻辑推测,It must be true.,这一定是真的。,L2,must 表示根据证据高度确信。,"[{""en"":""The lights are on so someone must be home."",""zh"":""灯亮着所以一定有人在家。""}]"
情态动词：能力、建议与推测,推测：must might can't,逻辑推测,It might be possible.,这也许有可能。,L2,might 保留不确定性。,"[{""en"":""A later train might be possible."",""zh"":""也许可以坐晚一点的火车。""}]"
情态动词：能力、建议与推测,推测：must might can't,逻辑推测,It can't be right.,这不可能是对的。,L2,can't 表示根据判断认为不可能。,"[{""en"":""This total can't be right."",""zh"":""这个总数不可能是对的。""}]"
情态动词：能力、建议与推测,过去情态与综合运用,过去情态,should have done,本应该做,L3,评价过去本应发生但没有发生的行动。,"[{""en"":""I should have checked the time."",""zh"":""我本应该核对时间。""}]"
情态动词：能力、建议与推测,过去情态与综合运用,过去情态,might have done,可能已经做了,L3,推测过去可能发生的事情。,"[{""en"":""They might have missed the bus."",""zh"":""他们可能错过公交车了。""}]"
情态动词：能力、建议与推测,过去情态与综合运用,过去情态,must have done,一定已经做了,L3,根据证据高度确信过去发生了某事。,"[{""en"":""She must have left early."",""zh"":""她一定是提前离开了。""}]"
