scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
动词短语·UP 篇,UP 基础短语,UP 基础短语,Don't give up!,不要放弃！,L1,鼓励他人继续努力的标准表达。,"[{""en"":""Don't give up! You can do it."",""zh"":""不要放弃！你能做到的。""}]"
动词短语·UP 篇,UP 基础短语,UP 基础短语,I wake up at...,我...点醒来。,L1,描述起床时间。,"[{""en"":""I wake up at 7 every morning."",""zh"":""我每天早上7点醒来。""}]"
动词短语·UP 篇,UP 基础短语,UP 基础短语,Please clean up...,请收拾...,L1,请求打扫某处。,"[{""en"":""Please clean up the kitchen."",""zh"":""请把厨房收拾干净。""}]"
动词短语·UP 篇,UP 在对话中,UP 在对话中,Can you pick me up?,你能来接我吗？,L1,请求搭车或接送。,"[{""en"":""Can you pick me up after work?"",""zh"":""你下班后能来接我吗？""}]"
动词短语·UP 篇,UP 在对话中,UP 在对话中,He didn't show up.,他没来。,L2,表示某人未到场。,"[{""en"":""He didn't show up for the party."",""zh"":""他没来参加聚会。""}]"
动词短语·DOWN 篇,DOWN 基础短语,DOWN 基础短语,Please sit down.,请坐。,L1,请对方坐下的礼貌用语。,"[{""en"":""Please sit down and make yourself comfortable."",""zh"":""请坐，别客气。""}]"
动词短语·DOWN 篇,DOWN 基础短语,DOWN 基础短语,Calm down!,冷静！,L1,劝人冷静。,"[{""en"":""Calm down! Everything will be fine."",""zh"":""冷静！一切都会好的。""}]"
动词短语·DOWN 篇,DOWN 基础短语,DOWN 基础短语,My car broke down.,我的车抛锚了。,L2,描述车辆故障。,"[{""en"":""My car broke down on the way to work."",""zh"":""我的车在上班路上抛锚了。""}]"
动词短语·DOWN 篇,DOWN 在对话中,DOWN 在对话中,He turned down the offer.,他拒绝了提议。,L2,拒绝工作机会或提议。,"[{""en"":""He turned down the job offer because of the low salary."",""zh"":""因为薪水低他拒绝了那份工作。""}]"
动词短语·DOWN 篇,DOWN 在对话中,DOWN 在对话中,Write down your ideas.,把你的想法写下来。,L1,建议记录。,"[{""en"":""Write down your ideas before you forget."",""zh"":""把你的想法写下来免得忘了。""}]"
动词短语·OUT 篇,OUT 基础短语,OUT 基础短语,I need to find out...,我需要查明...,L2,表达需要了解某事。,"[{""en"":""I need to find out what happened."",""zh"":""我需要查明发生了什么。""}]"
动词短语·OUT 篇,OUT 基础短语,OUT 基础短语,I work out every day.,我每天锻炼。,L1,描述锻炼习惯。,"[{""en"":""I work out at the gym every day."",""zh"":""我每天在健身房锻炼。""}]"
动词短语·OUT 篇,OUT 基础短语,OUT 基础短语,I've run out of...,我用光了...,L2,表达某物用完。,"[{""en"":""I've run out of money."",""zh"":""我没钱了。""}]"
动词短语·OUT 篇,OUT 在对话中,OUT 在对话中,I can't figure it out.,我弄不明白。,L2,表示无法理解或解决。,"[{""en"":""I can't figure out this math problem."",""zh"":""我弄不明白这道数学题。""}]"
动词短语·OUT 篇,OUT 在对话中,OUT 在对话中,Check this out!,看看这个！,L1,让人注意看某物。,"[{""en"":""Check out this cool video!"",""zh"":""看看这个酷视频！""}]"
动词短语·OFF 篇,OFF 基础短语,OFF 基础短语,The plane takes off at...,飞机在...起飞。,L1,描述飞机起飞时间。,"[{""en"":""The plane takes off at 8 PM."",""zh"":""飞机晚上8点起飞。""}]"
动词短语·OFF 篇,OFF 基础短语,OFF 基础短语,Please turn off...,请关掉...,L1,请求关闭电器。,"[{""en"":""Please turn off your phone."",""zh"":""请关掉你的手机。""}]"
动词短语·OFF 篇,OFF 基础短语,OFF 基础短语,Don't put off...,别拖延...,L2,劝人不要拖延。,"[{""en"":""Don't put off your homework until the last minute."",""zh"":""别把作业拖到最后一分钟。""}]"
动词短语·OFF 篇,OFF 在对话中,OFF 在对话中,Hard work pays off.,努力终有回报。,L2,表达付出会有回报。,"[{""en"":""Hard work always pays off in the end."",""zh"":""努力最终总有回报。""}]"
动词短语·ON 篇,ON 基础短语,ON 基础短语,Put on your coat.,穿上你的外套。,L1,建议穿某件衣物。,"[{""en"":""Put on your coat. It's cold outside."",""zh"":""穿上外套，外面冷。""}]"
动词短语·ON 篇,ON 基础短语,ON 基础短语,Can you turn on...?,你能打开...吗？,L1,请求打开某设备。,"[{""en"":""Can you turn on the light?"",""zh"":""你能打开灯吗？""}]"
动词短语·ON 篇,ON 基础短语,ON 基础短语,Carry on with your work.,继续你的工作。,L2,鼓励继续做某事。,"[{""en"":""Carry on with your work. Don't stop."",""zh"":""继续你的工作，别停。""}]"
动词短语·ON 篇,ON 在对话中,ON 在对话中,They get on well.,他们相处融洽。,L2,描述人际关系。,"[{""en"":""My colleagues and I get on well."",""zh"":""我和同事们相处融洽。""}]"
动词短语·ON 篇,ON 在对话中,ON 在对话中,What's going on?,怎么了？,L1,询问发生了什么。,"[{""en"":""What's going on here?"",""zh"":""这里怎么了？""}]"
动词短语·IN/OVER/BACK 篇,IN/OVER/BACK 基础短语,IN/OVER/BACK 基础短语,He finally gave in.,他终于让步了。,L2,表示妥协/屈服。,"[{""en"":""After hours of discussion, he finally gave in."",""zh"":""几个小时的讨论后他终于让步了。""}]"
动词短语·IN/OVER/BACK 篇,IN/OVER/BACK 基础短语,IN/OVER/BACK 基础短语,Come over!,过来玩！,L1,邀请人来家里或某处。,"[{""en"":""Come over this weekend!"",""zh"":""这周末过来玩！""}]"
