scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
口语万能造句：50 个高频句式,01 介绍自己与近况,I'm [adjective / noun].,我是…… / 我现在感觉……。,"[{""hint"":""身份、心情或状态"",""name"":""adjective / noun"",""examples"":[""a designer"",""a little tired"",""new here""]}]","I'm new here, so I don't know many people yet.",L1,0
口语万能造句：50 个高频句式,01 介绍自己与近况,I'm from [place].,我来自……。,"[{""hint"":""城市、国家或地区"",""name"":""place"",""examples"":[""Shanghai"",""a small town near Chengdu"",""Canada""]}]","I'm from Shanghai, but I live in Hangzhou now.",L1,1
口语万能造句：50 个高频句式,01 介绍自己与近况,I'm into [noun / V-ing].,我很喜欢…… / 我对……很感兴趣。,"[{""hint"":""兴趣、活动或内容"",""name"":""noun / V-ing"",""examples"":[""coffee"",""hiking"",""watching documentaries""]}]",I'm really into street photography these days.,L1,2
口语万能造句：50 个高频句式,02 日常计划与待办,I need to [verb].,我得…… / 我需要……。,"[{""hint"":""动词原形"",""name"":""verb"",""examples"":[""leave soon"",""call my mom"",""pick up some groceries""]}]",I need to leave in about ten minutes.,L1,0
口语万能造句：50 个高频句式,02 日常计划与待办,I'm going to [verb].,我打算…… / 我马上要……。,"[{""hint"":""动词原形"",""name"":""verb"",""examples"":[""make dinner"",""take a break"",""see a doctor""]}]",I'm going to make dinner when I get home.,L1,1
口语万能造句：50 个高频句式,02 日常计划与待办,I'm thinking of [V-ing].,我在考虑……。,"[{""hint"":""动名词"",""name"":""V-ing"",""examples"":[""taking a class"",""getting a new phone"",""going away this weekend""]}]",I'm thinking of taking a class this fall.,L1,2
口语万能造句：50 个高频句式,03 想做与不想做,I'd like to [verb].,我想……。,"[{""hint"":""动词原形"",""name"":""verb"",""examples"":[""try this"",""book a table"",""know more""]}]",I'd like to try the chicken sandwich.,L1,0
口语万能造句：50 个高频句式,03 想做与不想做,I feel like [V-ing].,我想…… / 我有点想……。,"[{""hint"":""动名词"",""name"":""V-ing"",""examples"":[""staying in"",""getting coffee"",""watching something funny""]}]",I feel like staying in tonight.,L1,1
口语万能造句：50 个高频句式,03 想做与不想做,I don't feel like [V-ing].,我不太想……。,"[{""hint"":""动名词"",""name"":""V-ing"",""examples"":[""cooking"",""going out"",""talking about work""]}]",I don't feel like cooking tonight.,L1,2
口语万能造句：50 个高频句式,04 礼貌请求,Can I [verb]?,我可以……吗？,"[{""hint"":""动词原形"",""name"":""verb"",""examples"":[""sit here"",""pay by card"",""ask a question""]}]",Can I sit here?,L1,0
