scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
六级·社会发展,城市化进程,Analyze the impact of urbanization on society and the environment.,分析城市化对社会和环境的影响。,60,L3,六级常考：讨论城市化的驱动力、利弊和可持续城市发展策略。,CET6 城市化 城市发展 可持续,practice_exam-cet-6_六级_社会发展_城市化进程
六级·社会发展,人口老龄化,Discuss the challenges and opportunities of an aging population.,讨论人口老龄化的挑战与机遇。,60,L3~L4,六级常考：分析老龄化对医疗、养老金和劳动力市场的影响及应对策略。,CET6 老龄化 养老 劳动力,practice_exam-cet-6_六级_社会发展_人口老龄化
六级·社会发展,收入差距,Examine the causes and consequences of income inequality.,分析收入不平等的原因和后果。,65,L4,六级常考：讨论贫富差距对社会流动性和社会稳定的影响，提出解决方案。,CET6 收入差距 公平 社会,practice_exam-cet-6_六级_社会发展_收入差距
六级·经济就业,就业市场竞争,Discuss the challenges of the current job market for graduates.,讨论当前就业市场对毕业生带来的挑战。,55,L3~L4,六级常考：分析学历贬值、技能需求和校企合作的重要性。,CET6 就业 竞争 技能,practice_exam-cet-6_六级_经济就业_就业市场竞争
六级·经济就业,零工经济,Analyze the rise of the gig economy and its implications.,分析零工经济的兴起及其影响。,60,L3~L4,六级常考：讨论零工经济的灵活性、就业保障缺失和政策应对。,CET6 零工经济 灵活就业 保障,practice_exam-cet-6_六级_经济就业_零工经济
六级·经济就业,职业转型与终身学习,Discuss career changes and the importance of lifelong learning.,讨论职业转型和终身学习的重要性。,60,L4,六级常考：讨论职业变化趋势、技能更新和终身学习的必要性。,CET6 职业转型 终身学习 技能,practice_exam-cet-6_六级_经济就业_职业转型与终身学习
六级·文化教育,文化交流与全球化,Discuss the impact of globalization on cultural exchange.,讨论全球化对文化交流的影响。,60,L3~L4,六级常考：讨论文化融合、文化多样性和全球化与文化认同的平衡。,CET6 文化交流 全球化 多样性,practice_exam-cet-6_六级_文化教育_文化交流与全球化
六级·文化教育,教育改革,Evaluate the strengths and weaknesses of current education reforms.,评价当前教育改革的优缺点。,60,L3~L4,六级常考：讨论应试教育问题、素质教育理念和教育改革方向。,CET6 教育改革 素质教育 创新,practice_exam-cet-6_六级_文化教育_教育改革
六级·文化教育,阅读与深度思考,Discuss the decline of deep reading and its impact on critical thinking.,讨论深度阅读的减少及其对批判性思维的影响。,55,L3~L4,六级常考：分析碎片化阅读趋势、深度阅读的价值和培养阅读习惯的策略。,CET6 阅读 深度思考 批判性思维,practice_exam-cet-6_六级_文化教育_阅读与深度思考
六级·科技前沿,人工智能与伦理,Discuss the ethical challenges posed by artificial intelligence.,讨论人工智能带来的伦理挑战。,65,L4,六级常考：讨论AI的伦理边界、算法偏见、就业影响和监管框架。,CET6 人工智能 AI 伦理 监管,practice_exam-cet-6_六级_科技前沿_人工智能与伦理
六级·科技前沿,数字化转型,Analyze the impact of digital transformation on society and business.,分析数字化转型对社会和商业的影响。,60,L3~L4,六级常考：讨论数字化趋势、数字鸿沟和数字化转型的本质。,CET6 数字化转型 数字鸿沟 变革,practice_exam-cet-6_六级_科技前沿_数字化转型
六级·科技前沿,信息安全与隐私,Discuss the challenges of data privacy and cybersecurity.,讨论数据隐私和网络安全的挑战。,60,L4,六级常考：讨论数据泄露、隐私保护、科技公司责任和网络安全策略。,CET6 信息安全 隐私 数据 网络,practice_exam-cet-6_六级_科技前沿_信息安全与隐私
六级·生态环境,气候变化,Discuss the global impact of climate change and possible solutions.,讨论气候变化的全球影响和可能的解决方案。,65,L3~L4,六级常考：讨论气候变化影响、低碳转型和集体行动的重要性。,CET6 气候变化 低碳 环保,practice_exam-cet-6_六级_生态环境_气候变化
六级·生态环境,绿色经济,Analyze the transition to a green economy and its implications.,分析向绿色经济转型及其影响。,60,L4,六级常考：讨论绿色能源、碳定价、公正转型和可持续经济增长。,CET6 绿色经济 可持续 能源,practice_exam-cet-6_六级_生态环境_绿色经济
六级·生态环境,城市污染治理,Discuss strategies for controlling urban pollution.,讨论城市污染治理的策略。,55,L3~L4,六级常考：讨论空气/水污染治理、环境政策和经济发展与环保的平衡。,CET6 污染治理 环保政策 城市,practice_exam-cet-6_六级_生态环境_城市污染治理
六级·社会热点,社交媒体与心理健康,Discuss the impact of social media on mental health.,讨论社交媒体对心理健康的影响。,60,L3~L4,六级常考：讨论社交媒体使用与焦虑/抑郁的关系、数字素养和平台责任。,CET6 社交媒体 心理健康 数字素养,practice_exam-cet-6_六级_社会热点_社交媒体与心理健康
六级·社会热点,工作与生活平衡,Discuss the challenges of achieving work-life balance in modern society.,讨论现代社会中实现工作生活平衡的挑战。,55,L3~L4,六级常考：讨论过劳文化、远程工作影响和企业创造健康工作文化的策略。,CET6 工作生活平衡 过劳 弹性工作,practice_exam-cet-6_六级_社会热点_工作与生活平衡
六级·社会热点,高等教育普及化,Discuss the implications of the massification of higher education.,讨论高等教育普及化的影响。,60,L4,六级常考：讨论大学扩招的影响、学历通胀、教育质量和高等教育改革。,CET6 高等教育 普及 学历 质量,practice_exam-cet-6_六级_社会热点_高等教育普及化
