scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"连接词·并列与转折",并列连词,and,和/而且,conjunction,/ænd/,/ænd/,L1,连接两个对等的单词或句子。,"[{""en"":""I like coffee and tea."",""zh"":""我喜欢咖啡和茶。""}]",0
"连接词·并列与转折",并列连词,but,但是,conjunction,/bʌt/,/bʌt/,L1,表示转折。,"[{""en"":""He is rich but unhappy."",""zh"":""他富有但不快乐。""}]",1
"连接词·并列与转折",并列连词,or,或者/否则,conjunction,/ɔːr/,/ɔː/,L1,表示选择或警告。,"[{""en"":""Do you want coffee or tea?"",""zh"":""你想要咖啡还是茶？""}]",2
"连接词·并列与转折",并列连词,so,所以,conjunction,/soʊ/,/səʊ/,L1,表示结果。,"[{""en"":""I was tired so I went home."",""zh"":""我累了所以回家了。""}]",3
"连接词·并列与转折",对比与选择,however,然而,conjunction,/haʊˈevər/,/haʊˈevə/,L2,正式转折。常放句首用逗号隔开。,"[{""en"":""It's raining; however we'll go out."",""zh"":""下雨了；然而我们还是要去。""}]",0
"连接词·并列与转折",对比与选择,whereas,而/反之,conjunction,/werˈæz/,/weərˈæz/,L3,用于对比两个事物。,"[{""en"":""She likes pop whereas I prefer rock."",""zh"":""她喜欢流行而我更喜欢摇滚。""}]",1
"连接词·并列与转折",对比与选择,yet,然而/却,conjunction,/jet/,/jet/,L2,表示转折，语气比but稍强。,,"[{""en"":""She is tired yet she keeps working."",""zh"":""她累了却还在工作。""}]",2
"连接词·因果与让步",因果关系,because,因为,conjunction,/bɪˈkɔːz/,/bɪˈkɒz/,L1,直接原因。后接从句。,"[{""en"":""I stayed home because I was sick."",""zh"":""我待在家里因为我病了。""}]",0
"连接词·因果与让步",因果关系,since,既然/由于,conjunction,/sɪns/,/sɪns/,L2,已知原因，常放句首。,,"[{""en"":""Since you're here let's start."",""zh"":""既然你来了我们开始吧。""}]",1
"连接词·因果与让步",因果关系,therefore,因此,adverb,/ˈðerfɔːr/,/ˈðeəfɔː/,L3,正式因果关系。,"[{""en"":""He was late; therefore he missed the bus."",""zh"":""他迟到了因此错过了公交车。""}]",2
"连接词·因果与让步",让步关系,although,虽然,conjunction,/ɔːlˈðoʊ/,/ɔːlˈðəʊ/,L2,后接从句表示让步。,"[{""en"":""Although it rained we had fun."",""zh"":""虽然下雨了但我们玩得很开心。""}]",0
"连接词·因果与让步",让步关系,even though,即使/尽管,conjunction,/ˈiːvən ðoʊ/,/ˈiːvən ðəʊ/,L2,比although语气更强。,"[{""en"":""Even though she was scared she spoke."",""zh"":""尽管害怕她还是发言了。""}]",1
"连接词·因果与让步",让步关系,despite,尽管(不接从句),preposition,/dɪˈspaɪt/,/dɪˈspaɪt/,L2,后接名词或动名词。,"[{""en"":""Despite the rain we went out."",""zh"":""尽管下雨我们还是出去了。""}]",2
"连接词·从句连接",时间与条件从句,when,当...时,conjunction,/wen/,/wen/,L1,引导时间从句。,"[{""en"":""When I arrived they were eating."",""zh"":""我到达时他们正在吃饭。""}]",0
"连接词·从句连接",时间与条件从句,if,如果,conjunction,/ɪf/,/ɪf/,L1,引导条件从句。,"[{""en"":""If it rains we'll stay home."",""zh"":""如果下雨我们就待在家。""}]",1
"连接词·从句连接",时间与条件从句,unless,除非,conjunction,/ʌnˈles/,/ʌnˈles/,L2,引导否定条件。,"[{""en"":""You won't pass unless you study."",""zh"":""除非你学习否则不会通过。""}]",2
"连接词·从句连接",定语从句,who,谁(关系代词),pronoun,/huː/,/huː/,L2,引导定语从句修饰人。,"[{""en"":""The girl who sang is my sister."",""zh"":""唱歌的女孩是我妹妹。""}]",0
"连接词·从句连接",定语从句,which,哪个(关系代词),pronoun,/wɪtʃ/,/wɪtʃ/,L2,引导定语从句修饰物。,"[{""en"":""The book which I read was great."",""zh"":""我读的那本书很棒。""}]",1
"连接词·从句连接",定语从句,that,那(关系代词),pronoun,/ðæt/,/ðæt/,L1,可替代who/which引导限定性定语从句。,"[{""en"":""The movie that I saw was boring."",""zh"":""我看的那部电影很无聊。""}]",2
