scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
"健康·预约看病",电话预约,Call the clinic to make an appointment.,打电话到诊所预约。,45,L2,打电话说明症状和需求，预约就诊时间。,电话预约 说明症状,
"健康·预约看病",改期取消,Call to reschedule or cancel an appointment.,打电话改期或取消预约。,40,L2,说明需要改期/取消、重新约时间。,改期 取消 重新预约,
"健康·预约看病",前台登记,Check in at the clinic reception.,到诊所前台登记报到。,35,L1,告诉前台你来了、出示证件、确认信息。,前台登记 确认信息,
"健康·看医生",描述症状,Describe your symptoms to the doctor.,向医生描述你的症状。,60,L2,说明哪里不舒服、持续多久、程度如何。,症状描述 持续时间 疼痛程度,
"健康·看医生",回答问诊,Answer the doctor's questions about your condition.,回答医生对你的病情的询问。,50,L2,回答何时开始、是否有过敏史、吃过什么药。,问诊回答 病史 过敏史,
"健康·看医生",理解诊断,Listen to the doctor's diagnosis and ask questions.,听医生的诊断并提出疑问。,50,L3,理解医生的诊断、询问不明白的术语。,诊断理解 医学术语,
"健康·看医生",治疗方案,Ask about treatment options and follow the doctor's advice.,询问治疗方案并遵从医嘱。,45,L3,询问治疗方案、用药建议、注意事项。,治疗方案 医嘱 注意事项,
"健康·药房买药",询问药品,Ask the pharmacist for medicine for your symptoms.,向药剂师咨询适合你症状的药。,40,L1,描述症状、询问非处方药、获取建议。,非处方药 症状描述,
"健康·药房买药",理解用法,Ask the pharmacist to explain how to take the medicine.,请药剂师解释药品用法。,40,L2,询问用法用量、服用时间、注意事项。,用法用量 注意事项,
"健康·药房买药",处方取药,Pick up a prescription medication at the pharmacy.,在药房凭处方取药。,45,L2,出示处方、确认药品、支付取药。,处方取药 药品确认,
"健康·医院急诊",急诊求助,Call emergency services or go to the ER.,呼叫急救或去急诊室求助。,50,L3,说明紧急情况、提供基本信息、听从指示。,紧急求助 急救电话,
"健康·医院急诊",急诊分诊,Answer triage questions at the emergency room.,在急诊室回答分诊护士的问题。,50,L3,回答症状、疼痛程度、个人信息。,分诊流程 紧急分级,
