scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
计划与预测,我打算…,"I'm going to ___.","打算","travel / study / buy / move","Im going to travel next month.",L1~L2,0
计划与预测,我打算…,"What are you going to ___?","问打算","do / eat / wear / buy","What are you going to do this weekend?",L1~L2,1
计划与预测,我打算…,"Are you going to ___? — Yes, I am.","确认计划","come / stay / join","Are you going to join us?",L1~L2,2
计划与预测,我打算…,"I'll ___.","即时决定","call you / be right back / see you","Ill call you later.",L1~L2,3
计划与预测,我打算…,"I will ___.","决心","study harder / try my best","I will study harder.",L1~L2,4
计划与预测,我打算…,"She's going to ___.","即将发生","have a baby / start a job / graduate","Shes going to have a baby.",L1~L2,5
计划与预测,我打算…,"It will ___ tomorrow.","预测","rain / snow / be hot","It will rain tomorrow.",L1~L2,6
计划与预测,我打算…,"It's going to ___. Look at ___.","迹象预测","rain / those clouds / snow / the sky","Its going to rain.",L1~L2,7
计划与预测,我打算…,"I will be ___.","将来状态","25 / there / ready / on time","I will be 25 next month.",L1~L2,8
计划与预测,我打算…,"Everything will be ___.","安慰","okay / fine / great / better","Everything will be okay.",L1~L2,9
计划与预测,我打算…,"The ___ will start at ___.","安排","meeting / 3 pm / class / 9 am","The meeting will start at 3 pm.",L1~L2,10
计划与预测,我打算…,"He will probably ___.","不确定预测","be late / come / call","He will probably be late.",L1~L2,11
计划与预测,我打算…,"There will be ___.","将来存在","people / a test / free food","There will be a lot of people.",L1~L2,12
能力与请求,我能/会,"I can ___.","能力","swim / speak English / drive","I can swim.",L1~L2,13
能力与请求,我能/会,"I can't ___.","不会","speak French / sing / dance","I can't speak French.",L1~L2,14
能力与请求,我能/会,"She can ___ very ___.","程度","sing / well / draw / fast","She can sing very well.",L1~L2,15
能力与请求,请求帮助,"Can you ___? — Sure.","请求帮助","help / open / pass / wait","Can you help me?",L1~L2,16
能力与请求,请求许可,"Can I ___? — Yes, of course.","请求许可","use / sit / come in / borrow","Can I use your phone?",L1~L2,17
能力与请求,请求许可,"Can I have ___? — Here you go.","请求物品","water / menu / time","Can I have a glass of water?",L1~L2,18
能力与请求,Can/Could礼貌程度,"You can ___.","鼓励/许可","do it / park / sit","You can do it!",L1~L2,19
能力与请求,Can/Could礼貌程度,"Could you tell me how to get to ___?","礼貌问路","museum / airport / station","Could you tell me how to get to the museum?",L1~L2,20
能力与请求,Can/Could礼貌程度,"Could I have ___, please?","极礼貌请求","bill / water / menu / receipt","Could I have the bill, please?",L1~L2,21
能力与请求,Can/Could礼貌程度,"Could you ___?","礼貌请求","speak slowly / repeat / wait","Could you speak more slowly?",L1~L2,22
能力与请求,Can/Could礼貌程度,"Can I try ___ on?","试穿","jacket / shoes / dress / hat","Can I try this on?",L1~L2,23
建议与义务,你应该/必须,"You should ___.","建议","see a doctor / rest / study","You should see a doctor.",L1~L2,24
建议与义务,你应该/必须,"You shouldn't ___.","不建议","eat junk / stay up / worry","You shouldn't eat so much junk food.",L1~L2,25
建议与义务,你应该/必须,"You must ___.","强制","wear seatbelt / stop / follow","You must wear a seatbelt.",L1~L2,26
建议与义务,你应该/必须,"You mustn't ___.","禁止","park / smoke / be late","You mustn't park here.",L1~L2,27
建议与义务,你应该/必须,"We must be ___.","必须状态","there by 8 / on time / quiet","We must be there by 8.",L1~L2,28
建议与义务,客观义务,"I have to ___.","客观必须","work / go / finish / wake up","I have to work tomorrow.",L1~L2,29
建议与义务,客观义务,"She has to ___.","第三人称必须","take medicine / wear glasses","She has to take medicine.",L1~L2,30
建议与义务,客观义务,"I don't have to ___.","不必","work on Sundays / cook / pay","I don't have to work on Sundays.",L1~L2,31
建议与义务,客观义务,"Do I have to ___? — Yes, you do.","询问义务","bring / sign / stay / wear","Do I have to bring my passport?",L1~L2,32
