episode_chapter,episode_order,chunk_text_match,sort_order
found_foundation_social_express_0,1,Hello! How are you?,0
found_foundation_social_express_0,1,Hi! Long time no see.,1
found_foundation_social_express_0,1,Nice to meet you!,2
found_foundation_social_express_0,1,How's it going?,3
found_foundation_social_express_0,1,Pretty good, thanks!,4
found_foundation_social_express_0,1,What have you been up to?,5
found_foundation_social_express_0,1,Good morning!,6
found_foundation_social_express_0,1,Good afternoon!,7
found_foundation_social_express_0,1,Good evening!,8
found_foundation_social_express_0,1,It's been a while!,9
found_foundation_social_express_0,1,How have you been?,10
found_foundation_social_express_0,1,I'm doing great!,11
found_foundation_social_express_0,1,Not bad, how about you?,12
found_foundation_social_express_0,1,Same as always.,13
found_foundation_social_express_0,1,Glad to see you again!,14
found_foundation_social_express_0,2,My name is...,0
found_foundation_social_express_0,2,I'm from China.,1
found_foundation_social_express_0,2,I live in Beijing.,2
found_foundation_social_express_0,2,I'm a student.,3
found_foundation_social_express_0,2,I work as a teacher.,4
found_foundation_social_express_0,2,I'm 25 years old.,5
found_foundation_social_express_0,2,I have two brothers.,6
found_foundation_social_express_0,2,This is my friend, Tom.,7
found_foundation_social_express_0,2,We're classmates.,8
found_foundation_social_express_0,2,I'm from a small town.,9
found_foundation_social_express_0,2,I study at university.,10
found_foundation_social_express_0,2,My major is English.,11
found_foundation_social_express_0,2,I like traveling and reading.,12
found_foundation_social_express_0,2,I'm here on vacation.,13
found_foundation_social_express_0,2,I'm happy to be here.,14
found_foundation_social_express_1,1,Thank you very much!,0
found_foundation_social_express_1,1,You're welcome.,1
found_foundation_social_express_1,1,I'm sorry.,2
found_foundation_social_express_1,1,That's okay.,3
found_foundation_social_express_1,1,Excuse me.,4
found_foundation_social_express_1,1,No problem!,5
found_foundation_social_express_1,1,I appreciate your help.,6
found_foundation_social_express_1,1,Thanks for your time.,7
found_foundation_social_express_1,1,Sorry to bother you.,8
found_foundation_social_express_1,1,That's very kind of you!,9
found_foundation_social_express_1,1,Please.,10
found_foundation_social_express_1,1,After you.,11
found_foundation_social_express_1,1,Bless you! (after sneeze),12
found_foundation_social_express_1,1,My apologies.,13
found_foundation_social_express_1,1,Don't worry about it.,14
found_foundation_social_express_1,2,Can you help me?,0
found_foundation_social_express_1,2,Could you please open the door?,1
found_foundation_social_express_1,2,May I come in?,2
found_foundation_social_express_1,2,Would you mind helping me?,3
found_foundation_social_express_1,2,Is it okay if I sit here?,4
found_foundation_social_express_1,2,Can I borrow your pen?,5
found_foundation_social_express_1,2,Could you speak more slowly?,6
found_foundation_social_express_1,2,Do you need a hand?,7
found_foundation_social_express_1,2,Let me help you!,8
found_foundation_social_express_1,2,Can I get you something?,9
found_foundation_social_express_1,2,Would you like some water?,10
found_foundation_social_express_1,2,Please come in.,11
found_foundation_social_express_1,2,Take a seat, please.,12
found_foundation_social_express_1,2,Make yourself at home.,13
found_foundation_social_express_1,2,Let me know if you need anything.,14
