scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"健康·预约看病",电话预约,appointment,预约,noun,/əˈpɔɪntmənt/,/əˈpɔɪntmənt/,L2,make an appointment = 预约。看病前必须先预约。,"[{""en"":""I'd like to make an appointment with Dr. Williams."",""zh"":""我想约威廉姆斯医生。""}]",0
"健康·预约看病",电话预约,clinic,诊所,noun,/ˈklɪnɪk/,/ˈklɪnɪk/,L2,社区诊所，比hospital小。海外看常见病先去clinic。,"[{""en"":""I need to find a clinic near my house."",""zh"":""我需要在附近找一家诊所。""}]",1
"健康·预约看病",电话预约,receptionist,前台,noun,/rɪˈsepʃənɪst/,/rɪˈsepʃənɪst/,L2,诊所前台接待人员。负责预约和登记。,"[{""en"":""The receptionist asked for my name and date of birth."",""zh"":""前台问了我的姓名和出生日期。""}]",2
"健康·预约看病",电话预约,available,有空的/可预约的,adj,/əˈveɪləbəl/,/əˈveɪləbəl/,L2,询问医生是否有空位。Is Dr. Williams available?,"[{""en"":""Is Dr. Williams available this afternoon?"",""zh"":""威廉姆斯医生今天下午有空吗？""}]",3
"健康·预约看病",电话预约,patient,病人,noun,/ˈpeɪʃənt/,/ˈpeɪʃənt/,L2,患者。fill out patient information form = 填写病人信息表。,"[{""en"":""I'm a new patient. Do I need to fill out a form?"",""zh"":""我是新患者，需要填表吗？""}]",4
"健康·预约看病",改期取消,reschedule,改期,verb,/riːˈskedʒuːl/,/riːˈʃedjuːl/,L2,改变预约时间。I need to reschedule = 我需要改期。,"[{""en"":""I need to reschedule my appointment for next week."",""zh"":""我需要把预约改到下周。""}]",0
"健康·预约看病",改期取消,cancel,取消,verb,/ˈkænsəl/,/ˈkænsəl/,L2,取消预约。cancel an appointment = 取消预约。,"[{""en"":""I'm sorry, I need to cancel my appointment tomorrow."",""zh"":""抱歉，我需要取消明天的预约。""}]",1
"健康·预约看病",改期取消,confirm,确认,verb,/kənˈfɜːrm/,/kənˈfɜːm/,L2,确认预约。有些诊所会发confirmation短信。,"[{""en"":""Can you confirm my appointment for Friday?"",""zh"":""能确认一下我周五的预约吗？""}]",2
"健康·预约看病",前台登记,registration,登记,noun,/ˌredʒɪˈstreɪʃən/,/ˌredʒɪˈstreɪʃən/,L2,首次就诊需要registration(登记)个人信息和保险。,"[{""en"":""I'm here for my appointment. I need to register first."",""zh"":""我来就诊的，需要先登记。""}]",0
"健康·预约看病",前台登记,insurance card,保险卡,noun,/ɪnˈʃʊrəns kɑːrd/,/ɪnˈʃʊərəns kɑːd/,L2,海外看病必备。每次就诊都要出示。,"[{""en"":""Please show your insurance card at registration."",""zh"":""登记时请出示保险卡。""}]",1
