scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
基础⑩·喜好与活动,我喜欢做...,doing,做(动名词),noun,/ˈduːɪŋ/,/ˈduːɪŋ/,L2,动词+ing变名词。like doing。,"[{"en":"I like swimming.","zh":"我喜欢游泳。"}]",0
基础⑩·喜好与活动,我喜欢做...,practice,练习,verb,/ˈpræktɪs/,/ˈpræktɪs/,L2,practice+doing。,"[{"en":"I practice speaking every day.","zh":"我每天练习说。"}]",4
基础⑩·喜好与活动,我喜欢做...,avoid,避免,verb,/əˈvɔɪd/,/əˈvɔɪd/,L2,avoid+doing。avoid eating。,"[{"en":"I avoid eating late at night.","zh":"我避免深夜吃东西。"}]",5
基础⑩·喜好与活动,我喜欢做...,consider,考虑,verb,/kənˈsɪdər/,/kənˈsɪdə/,L2,consider+doing。,"[{"en":"I'm considering moving abroad.","zh":"我在考虑搬到国外。"}]",8
基础⑩·喜好与活动,我喜欢做...,imagine,想象,verb,/ɪˈmædʒɪn/,/ɪˈmædʒɪn/,L2,imagine+doing。,"[{"en":"Can you imagine living in space?","zh":"你能想象住在太空吗？"}]",10
基础⑩·喜好与活动,我想做/需要做,would like,想要(委婉),phrase,/wʊd laɪk/,/wʊd laɪk/,L2,比want更礼貌。,"[{"en":"I would like to order now.","zh":"我想现在点餐。"}]",1
基础⑩·喜好与活动,我想做/需要做,pretend,假装,verb,/prɪˈtend/,/prɪˈtend/,L2,pretend+to do。,"[{"en":"He pretended to be asleep.","zh":"他假装睡着了。"}]",11
基础⑩·礼貌与请求,请你帮我...,could,可以(委婉),modal,/kʊd/,/kʊd/,L2,can的委婉用法。Could you...?,"[{"en":"Could you help me?","zh":"你能帮我吗？"}]",0
基础⑩·礼貌与请求,请你帮我...,would,愿意(委婉),modal,/wʊd/,/wʊd/,L2,Will的委婉用法。Would you...?,"[{"en":"Would you mind waiting?","zh":"你介意等一下吗？"}]",1
基础⑩·礼貌与请求,请你帮我...,may,可以(正式),modal,/meɪ/,/meɪ/,L2,正式请求。May I...?,"[{"en":"May I use your phone?","zh":"我可以用你的电话吗？"}]",2
基础⑩·礼貌与请求,请你帮我...,trouble,麻烦,noun/verb,/ˈtrʌbəl/,/ˈtrʌbəl/,L2,麻烦。Sorry to trouble you。,"[{"en":"Sorry to trouble you.","zh":"抱歉麻烦你。"}]",4
基础⑩·礼貌与请求,请你帮我...,bother,打扰,verb,/ˈbɑːðər/,/ˈbɒðə/,L2,打扰。Sorry to bother。,"[{"en":"Sorry to bother you.","zh":"抱歉打扰。"}]",5
基础⑩·礼貌与请求,请你帮我...,excuse me,打扰一下,phrase,/ɪkˈskjuːz mi/,/ɪkˈskjuːz mi/,L2,打扰一下。引起注意。,"[{"en":"Excuse me, could you help?","zh":"打扰一下，能帮忙吗？"}]",6
基础⑩·礼貌与请求,请你帮我...,please,请,adv,/pliːz/,/pliːz/,L2,请。礼貌用词。,"[{"en":"Could you please open the window?","zh":"请你开窗好吗？"}]",7
