episode_chapter,episode_order,chunk_text_match,sort_order
found_foundation_opinion_basics_0,1,I like this very much.,0
found_foundation_opinion_basics_0,1,I love playing basketball.,1
found_foundation_opinion_basics_0,1,I enjoy reading books.,2
found_foundation_opinion_basics_0,1,I'm interested in music.,3
found_foundation_opinion_basics_0,1,I don't like coffee.,4
found_foundation_opinion_basics_0,1,I hate being late.,5
found_foundation_opinion_basics_0,1,I prefer tea over coffee.,6
found_foundation_opinion_basics_0,1,My favorite food is pizza.,7
found_foundation_opinion_basics_0,1,I'm crazy about dogs.,8
found_foundation_opinion_basics_0,1,I can't stand the noise.,9
found_foundation_opinion_basics_0,1,It's okay, I guess.,10
found_foundation_opinion_basics_0,1,I don't mind waiting.,11
found_foundation_opinion_basics_0,1,I feel happy when I sing.,12
found_foundation_opinion_basics_0,1,This is amazing!,13
found_foundation_opinion_basics_0,1,That's terrible!,14
found_foundation_opinion_basics_0,2,I feel great today!,0
found_foundation_opinion_basics_0,2,I'm so happy!,1
found_foundation_opinion_basics_0,2,I'm tired after work.,2
found_foundation_opinion_basics_0,2,I feel bored.,3
found_foundation_opinion_basics_0,2,I'm excited about the trip!,4
found_foundation_opinion_basics_0,2,I'm worried about the exam.,5
found_foundation_opinion_basics_0,2,That makes me sad.,6
found_foundation_opinion_basics_0,2,I'm surprised to see you!,7
found_foundation_opinion_basics_0,2,I feel nervous.,8
found_foundation_opinion_basics_0,2,I'm really angry!,9
found_foundation_opinion_basics_0,2,Take it easy.,10
found_foundation_opinion_basics_0,2,Don't worry, be happy!,11
found_foundation_opinion_basics_0,2,I feel much better now.,12
found_foundation_opinion_basics_0,2,That's wonderful news!,13
found_foundation_opinion_basics_0,2,I'm proud of you!,14
found_foundation_opinion_basics_1,1,I think so too.,0
found_foundation_opinion_basics_1,1,I agree with you.,1
found_foundation_opinion_basics_1,1,That's a good idea!,2
found_foundation_opinion_basics_1,1,You're right.,3
found_foundation_opinion_basics_1,1,I don't think so.,4
found_foundation_opinion_basics_1,1,I'm not sure about that.,5
found_foundation_opinion_basics_1,1,That's true.,6
found_foundation_opinion_basics_1,1,I disagree.,7
found_foundation_opinion_basics_1,1,In my opinion...,8
found_foundation_opinion_basics_1,1,From my point of view...,9
found_foundation_opinion_basics_1,1,I believe that's correct.,10
found_foundation_opinion_basics_1,1,That makes sense.,11
found_foundation_opinion_basics_1,1,I see what you mean.,12
found_foundation_opinion_basics_1,1,Not exactly.,13
found_foundation_opinion_basics_1,1,Let's agree to disagree.,14
found_foundation_opinion_basics_1,2,Let's go to the park.,0
found_foundation_opinion_basics_1,2,How about having coffee?,1
found_foundation_opinion_basics_1,2,What do you think?,2
found_foundation_opinion_basics_1,2,Why don't we go together?,3
found_foundation_opinion_basics_1,2,Do you want to join us?,4
found_foundation_opinion_basics_1,2,That sounds great!,5
found_foundation_opinion_basics_1,2,I'd love to!,6
found_foundation_opinion_basics_1,2,Maybe next time.,7
found_foundation_opinion_basics_1,2,Count me in!,8
found_foundation_opinion_basics_1,2,I'm afraid I can't.,9
found_foundation_opinion_basics_1,2,Let me think about it.,10
found_foundation_opinion_basics_1,2,Good idea!,11
found_foundation_opinion_basics_1,2,I'd rather not.,12
found_foundation_opinion_basics_1,2,It's up to you.,13
found_foundation_opinion_basics_1,2,Whatever you think is fine.,14
