scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"神话·希腊神话","奥林匹斯众神","Zeus","宙斯","noun","/zeus/","/zeus/","L2","希腊神话中的众神之王。","[{""en"":""Zeus was the king of the Greek gods."",""zh"":""宙斯是希腊众神之王。""}]",0
"神话·希腊神话","奥林匹斯众神","Olympus","奥林匹斯山","noun","/olympus/","/olympus/","L2","希腊众神的居所。","[{""en"":""The gods lived on Mount Olympus."",""zh"":""众神住在奥林匹斯山上。""}]",1
"神话·希腊神话","奥林匹斯众神","thunderbolt","雷电","noun","/thunderbolt/","/thunderbolt/","L2","宙斯的武器。","[{""en"":""Zeus used his thunderbolt to punish the wicked."",""zh"":""宙斯用他的雷电惩罚恶人。""}]",2
"神话·希腊神话","奥林匹斯众神","Poseidon","波塞冬","noun","/poseidon/","/poseidon/","L2","海神，宙斯的兄弟。","[{""en"":""Poseidon ruled the seas with his trident."",""zh"":""波塞冬用三叉戟统治海洋。""}]",3
"神话·希腊神话","奥林匹斯众神","Athena","雅典娜","noun","/athena/","/athena/","L2","智慧与战争女神。","[{""en"":""Athena was the goddess of wisdom and war."",""zh"":""雅典娜是智慧与战争女神。""}]",4
"神话·希腊神话","奥林匹斯众神","immortal","不朽的","adj","/immortal/","/immortal/","L3","永远不会死去的。","[{""en"":""The Greek gods were believed to be immortal."",""zh"":""希腊众神被认为是不朽的。""}]",5
"神话·希腊神话","奥林匹斯众神","temple","神庙","noun","/temple/","/temple/","L2","供奉神祇的建筑。","[{""en"":""The Parthenon was a temple dedicated to Athena."",""zh"":""帕特农神庙是献给雅典娜的神庙。""}]",6
"神话·希腊神话","奥林匹斯众神","myth","神话","noun","/myth/","/myth/","L2","关于神和英雄的传统故事。","[{""en"":""Greek myths explain natural phenomena."",""zh"":""希腊神话解释自然现象。""}]",7
"神话·希腊神话","英雄传奇","Hercules","赫拉克勒斯","noun","/hercules/","/hercules/","L3","希腊神话中最著名的英雄。","[{""en"":""Hercules completed twelve impossible labors."",""zh"":""赫拉克勒斯完成了十二项不可能的任务。""}]",0
"神话·希腊神话","英雄传奇","hero","英雄","noun","/hero/","/hero/","L2","做出伟大事迹的人。","[{""en"":""Every Greek hero had to overcome great challenges."",""zh"":""每个希腊英雄都必须克服巨大挑战。""}]",1
"神话·希腊神话","英雄传奇","monster","怪物","noun","/monster/","/monster/","L1","可怕的神话生物。","[{""en"":""The hero had to fight many monsters."",""zh"":""英雄必须与许多怪物战斗。""}]",2
