scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"校园·图书馆借书",借书,library card,借书证,noun,/ˈlaɪbreri kɑːrd/,/ˈlaɪbreri kɑːd/,L1,学生证通常就是借书证。办 card 需要带学生证。,"[{""en"":""I need a library card to borrow books."",""zh"":""我需要借书证才能借书。""}]",0
"校园·图书馆借书",借书,borrow,借,verb,/ˈbɑːroʊ/,/ˈbɒrəʊ/,L1,borrow a book = 借书。return = 还书。,"[{""en"":""How many books can I borrow at once?"",""zh"":""我一次能借几本书？""}]",1
"校园·图书馆借书",续借与归还,renew,续借,verb,/rɪˈnuː/,/rɪˈnjuː/,L1,续借已借的书。可以在网上或到柜台办理。,"[{""en"":""Can I renew this book online?"",""zh"":""我能在网上续借这本书吗？""}]",0
"校园·图书馆借书",续借与归还,overdue,逾期的,adj,/ˌoʊvərˈduː/,/ˌəʊvəˈdjuː/,L1,超过还书日期的。overdue book / overdue fine。,"[{""en"":""This book is overdue. You need to pay a fine."",""zh"":""这本书逾期了，需要交罚款。""}]",1
"校园·图书馆借书",续借与归还,due date,到期日,noun,/duː deɪt/,/djuː deɪt/,L1,还书截止日期。due = 到期的。,"[{""en"":""The due date is March 15th."",""zh"":""到期日是3月15日。""}]",2
"校园·图书馆借书",查找资料,catalogue,目录,noun,/ˈkætəlɔːɡ/,/ˈkætəlɒɡ/,L2,图书馆目录系统。网上或电脑查询。,"[{""en"":""You can search the library catalogue online."",""zh"":""你可以在网上查图书馆目录。""}]",0
"校园·图书馆借书",查找资料,reference book,参考书,noun,/ˈrefərəns bʊk/,/ˈrefərəns bʊk/,L2,只能在馆内阅读不能外借的书。,"[{""en"":""Reference books cannot be taken out of the library."",""zh"":""参考书不能带出图书馆。""}]",1
"校园·社团活动",咨询社团信息,club,社团,noun,/klʌb/,/klʌb/,L1,学生社团。join a club = 加入社团。,"[{""en"":""How many clubs are there on campus?"",""zh"":""校园里有多少个社团？""}]",0
"校园·社团活动",咨询社团信息,activity,活动,noun,/ækˈtɪvəti/,/ækˈtɪvəti/,L1,社团活动。extracurricular activity = 课外活动。,"[{""en"":""What kind of activities does your club have?"",""zh"":""你们社团有什么活动？""}]",1
"校园·社团活动",报名加入,registration form,报名表,noun,/ˌredʒɪˈstreɪʃən fɔːrm/,/ˌredʒɪˈstreɪʃən fɔːm/,L1,加入社团需要填写的表格。,"[{""en"":""Please fill out this registration form."",""zh""::请填写这张报名表。""}]",0
"校园·社团活动",参加社团活动,membership,会员资格,noun,/ˈmembərʃɪp/,/ˈmembəʃɪp/,L2,会员身份。membership fee = 会费。,"[{""en"":""Is there a membership fee to join the club?"",""zh"":""加入社团需要会费吗？""}]",0
"校园·食堂就餐",点餐,meal card,餐卡,noun,/miːl kɑːrd/,/miːl kɑːd/,L1,校园餐卡。充值后刷卡用餐。,"[{""en"":""You can pay with your meal card."",""zh"":""你可以用餐卡支付。""}]",0
"校园·食堂就餐",点餐,cafeteria,食堂,noun,/ˌkæfəˈtɪriə/,/ˌkæfəˈtɪəriə/,L1,大学食堂/自助餐厅。和美式校园生活紧密相关。,"[{""en"":""The cafeteria has a good selection of food."",""zh"":""食堂有很多菜品选择。""}]",1
"校园·食堂就餐",询问菜品,special,特供/noun,/ˈspeʃəl/,/ˈspeʃəl/,L1,今日特供/特色菜。today's special = 今日特供。,"[{""en"":""What's today's special at the cafeteria?"",""zh"":""食堂今日特供是什么？""}]",0
"校园·食堂就餐",餐卡充值,balance,余额,noun,/ˈbæləns/,/ˈbæləns/,L1,餐卡余额。check balance = 查余额。,"[{""en"":""My balance is running low. I need to top up."",""zh"":""我余额不多了，需要充值。""}]",0
"校园·食堂就餐",餐卡充值,top up,充值,phrase,/tɑːp ʌp/,/tɒp ʌp/,L1,给餐卡充值。top up your meal card。,"[{""en"":""Where can I top up my meal card?"",""zh"":""我在哪可以给餐卡充值？""}]",1
"校园·选课咨询",咨询课程,course,课程,noun,/kɔːrs/,/kɔːs/,L2,大学课程。选课/退课的核心词汇。,"[{""en"":""This course is about modern Chinese history."",""zh"":""这门课关于中国现代史。""}]",0
"校园·选课咨询",咨询课程,credit,学分,noun,/ˈkredɪt/,/ˈkredɪt/,L2,大学课程学分。一门课通常 2-4 学分。,"[{""en"":""How many credits is this course worth?"",""zh"":""这门课几个学分？""}]",1
"校园·选课咨询",选课操作,register,注册/选课,verb,/ˈredʒɪstər/,/ˈredʒɪstə/,L2,注册课程。registration period = 选课期。,"[{""en"":""I need to register for my courses before Friday."",""zh"":""我需要在周五前选课。""}]",0
"校园·选课咨询",选课操作,semester,学期,noun,/sɪˈmestər/,/sɪˈmestə/,L1,学期。fall/spring semester = 秋/春季学期。,"[{""en"":""What courses are you taking this semester?"",""zh"":""你这学期选了什么课？""}]",1
"校园·选课咨询",退课调整,drop,退课,verb,/drɑːp/,/drɒp/,L2,退课。drop a course = 退一门课。withdraw = 退出。,"[{""en"":""You can drop a course within the first two weeks."",""zh"":""你可以在前两周内退课。""}]",0
"校园·选课咨询",退课调整,deadline,截止日期,noun,/ˈdedlaɪn/,/ˈdedlaɪn/,L2,退课/选课的截止日期。,"[{""en"":""The drop deadline is next Friday."",""zh"":""退课截止日期是下周五。""}]",1
"旅行·机场入境",duty-free,免税,adj,/ˈduːti friː/,/ˈdjuːti friː/,L2,,"[{""en"":""You can buy duty-free items at the airport."",""zh"":""你可以在机场买免税商品。""}]",9
"旅行·机场入境",baggage claim,行李提取处,noun,/ˈbæɡɪdʒ kleɪm/,/ˈbæɡɪdʒ kleɪm/,L1,,"[{""en"":""The baggage claim area is downstairs."",""zh"":""行李提取处在一楼。""}]",10
"旅行·机场入境",arrival hall,到达大厅,noun,/əˈraɪvəl hɔːl/,/əˈraɪvəl hɔːl/,L1,,"[{""en"":""I'll meet you in the arrival hall."",""zh"":""我会在到达大厅接你。""}]",11
"旅行·机场入境",transit,中转,noun,/ˈtrænzɪt/,/ˈtrænsɪt/,L2,,"[{""en"":""I have a transit flight in Dubai."",""zh"":""我在迪拜中转。""}]",12
"旅行·机场入境",connecting flight,转机航班,noun,/kəˈnektɪŋ flaɪt/,/kəˈnektɪŋ flaɪt/,L2,,"[{""en"":""Your connecting flight is at gate 15."",""zh"":""你的转机航班在15号登机口。""}]",13
"旅行·机场入境",departure lounge,候机厅,noun,/dɪˈpɑːrtʃər laʊndʒ/,/dɪˈpɑːtʃə laʊndʒ/,L2,,"[{""en"":""Wait in the departure lounge until boarding."",""zh"":""在候机厅等候登机。""}]",14
"旅行·机场入境",carry-on,随身行李,noun,/ˈkæri ɑːn/,/ˈkæri ɒn/,L1,,"[{""en"":""You can only take one carry-on bag."",""zh"":""你只能带一件随身行李。""}]",15
