scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"方位·方位介词",基本方位介词,基本方位介词,The book is in my bag.,书在我的书包里。,L1,用in表达在内部。,"[{""en"":""The milk is in the fridge."",""zh"":""牛奶在冰箱里。""}]"
"方位·方位介词",基本方位介词,基本方位介词,The cat is on the table.,猫在桌子上。,L1,用on表达在表面。,"[{""en"":""Put the cup on the desk."",""zh"":""把杯子放在桌上。""}]"
"方位·方位介词",基本方位介词,基本方位介词,She is at the bus stop.,她在公交站。,L1,用at表达位置点。,"[{""en"":""I'll meet you at the entrance."",""zh"":""我在入口处等你。""}]"
"方位·方位介词",基本方位介词,基本方位介词,The dog is under the bed.,狗在床底下。,L1,用under表达下方。,"[{""en"":""Your keys are under the pillow."",""zh"":""你的钥匙在枕头下面。""}]"
"方位·方位介词",基本方位介词,基本方位介词,The car is behind the house.,车在房子后面。,L1,用behind表达后方。,"[{""en"":""There is a garden behind the house."",""zh"":""房子后面有一个花园。""}]"
"方位·方位介词",相对位置,相对位置,The school is next to the park.,学校在公园旁边。,L1,用next to表达紧邻。,"[{""en"":""I sit next to my best friend."",""zh"":""我坐在最好的朋友旁边。""}]"
"方位·方位介词",相对位置,相对位置,The bank is between the cafe and the library.,银行在咖啡厅和图书馆之间。,L1,用between表达两者之间。,"[{""en"":""The restaurant is between the hotel and the theater."",""zh"":""餐厅在酒店和剧院之间。""}]"
"方位·方位介词",相对位置,相对位置,The supermarket is opposite the station.,超市在车站对面。,L2,用opposite表达对面。,"[{""en"":""She sat opposite me at the table."",""zh"":""她坐在桌子对面。""}]"
"方位·方位介词",相对位置,相对位置,He lives across from me.,他住在我对面。,L2,用across from表达对面。,"[{""en"":""The library is across from the school."",""zh"":""图书馆在学校对面。""}]"
"方位·指路与位置描述",指路指令,指路指令,Go straight for two blocks.,直走两个街区。,L1,用go straight指示直行。,"[{""en"":""Go straight until you see the church."",""zh"":""一直走到你看到教堂。""}]"
"方位·指路与位置描述",指路指令,指路指令,Turn left at the traffic light.,在红绿灯处左转。,L1,用turn left指示左转。,"[{""en"":""Turn left at the next street."",""zh"":""在下条街左转。""}]"
"方位·指路与位置描述",指路指令,指路指令,Turn right after the bridge.,过桥后右转。,L1,用turn right指示右转。,"[{""en"":""Turn right when you see the bank."",""zh"":""看到银行后右转。""}]"
"方位·指路与位置描述",指路指令,指路指令,The pharmacy is at the corner.,药房在拐角处。,L1,用at the corner描述位置。,"[{""en"":""There's a cafe at the corner."",""zh"":""拐角处有家咖啡厅。""}]"
"方位·指路与位置描述",描述路线,描述路线,Go past the hospital.,经过医院。,L2,用past表示经过某地。,"[{""en"":""Walk past the bank and turn left."",""zh"":""走过银行然后左转。""}]"
"方位·指路与位置描述",描述路线,描述路线,The museum is on your left.,博物馆在你的左边。,L1,用on your left指示左侧。,"[{""en"":""The post office is on your left."",""zh"":""邮局在你的左边。""}]"
"方位·指路与位置描述",描述路线,描述路线,The bookstore is on your right.,书店在你的右边。,L1,用on your right指示右侧。,"[{""en"":""The entrance is on your right."",""zh"":""入口在你的右边。""}]"
