scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
动作、状态与整理,起身与开口,"What do you do in the morning?","你早上做什么？",900,L1,"学习用 up 表达向上、开始和提高声音","wake up, stand up, sit up, hurry up, speak up","## 起身与开口

wake up, stand up, sit up, hurry up, speak up — 不带宾语。",practice_foundation-essential-phrases_基础_动作状态整理_起身与开口
动作、状态与整理,整理与完成,"How do you clean up?","你怎么整理？",900,L1,"学习用 up 表达整理干净、全部用完、改善情绪","clean up, tidy up, use up, eat up, cheer up (可分)","## 整理与完成

clean up, tidy up, use up, eat up, cheer up — 可分短语，代词放中间。",practice_foundation-essential-phrases_基础_动作状态整理_整理与完成
动作、状态与整理,坐下与放慢,"How do you rest?","你怎么休息？",900,L1,"学习用 down 表达向下、降低速度、平静和记录","sit down, lie down, slow down, calm down, write down","## 坐下与放慢

sit down, lie down, slow down, calm down — 不带宾语；write down — 可分。",practice_foundation-essential-phrases_基础_动作状态整理_坐下与放慢
动作、状态与整理,降低与停止,"How do you turn things down or off?","你怎么降低或关掉东西？",900,L1,"学习放低、调小、关闭、冷却和停止运转","put down, turn down, shut down, cool down, break down","## 降低与停止

put down, turn down, shut down — 可分；cool down, break down — 不带宾语。",practice_foundation-essential-phrases_基础_动作状态整理_降低与停止
进出、开关与移动,进入与加入,"How do you enter and join?","你怎么进入和加入？",900,L1,"学习用 in 表达进入空间、车辆、填写和参加","come in, go in, get in, fill in, join in","## 进入与加入

come in, go in, get in — 不带宾语；fill in — 可分；join in — 不可分。",practice_foundation-essential-phrases_基础_进出开关移动_进入与加入
进出、开关与移动,外出与发现,"How do you go out and find things?","你怎么外出和发现信息？",900,L1,"学习用 out 表达出去、拿出、查明和外出用餐","go out, get out, take out, find out, eat out","## 外出与发现

go out, get out, eat out — 不带宾语；take out, find out — 可分。",practice_foundation-essential-phrases_基础_进出开关移动_外出与发现
进出、开关与移动,打开与继续,"How do you turn things on and continue?","你怎么打开和继续？",900,L1,"学习用 on 表达打开、穿上、登上、继续和等待","turn on, put on, get on, carry on, hold on","## 打开与继续

turn on, put on — 可分；get on, carry on — 不可分；hold on — 不带宾语。",practice_foundation-essential-phrases_基础_进出开关移动_打开与继续
进出、开关与移动,关闭与离开,"How do you turn things off and leave?","你怎么关闭和离开？",900,L1,"学习用 off 表达关闭、脱下、下车、送达和出发","turn off, take off, get off, drop off, set off","## 关闭与离开

turn off, take off, drop off — 可分；get off — 不可分；set off — 不带宾语。",practice_foundation-essential-phrases_基础_进出开关移动_关闭与离开
返回、重新处理与物品操作,返回与归还,"How do you come back and return things?","你怎么回来和归还？",900,L1~L2,"学习用 back 表达回来、回去、取回、带回和偿还","come back, go back, get back, bring back, pay back","## 返回与归还

come back, go back, get back — 不带宾语；bring back, pay back — 可分。",practice_foundation-essential-phrases_基础_返回处理物品_返回与归还
返回、重新处理与物品操作,拜访与重新处理,"How do you come over and start over?","你怎么过来和重新开始？",900,L1~L2,"学习用 over 表达过来、让位、重新开始、考虑和检查","come over, move over, start over, think over, go over","## 拜访与重新处理

come over, move over, start over — 不带宾语；think over — 可分；go over — 不可分。",practice_foundation-essential-phrases_基础_返回处理物品_拜访与重新处理
返回、重新处理与物品操作,收纳与四处活动,"How do you put things away and look around?","你怎么收纳和四处看？",900,L1~L2,"学习用 away/around 表达收好、丢弃、离开和在周围活动","put away, throw away, move away, look around, walk around","## 收纳与四处活动

put away, throw away — 可分；move away — 不可分；look around, walk around — 不带宾语。",practice_foundation-essential-phrases_基础_返回处理物品_收纳与四处活动
返回、重新处理与物品操作,拿取与组合,"How do you pick up and put things together?","你怎么拿取和组合物品？",900,L1~L2,"学习拿起、放回、拆开、组合和交出物品","pick up, put back, take apart, put together, hand over","## 拿取与组合

5个短语都可带宾语；代词必须放在可分短语中间。",practice_foundation-essential-phrases_基础_返回处理物品_拿取与组合
信息、沟通与问题处理,查看与留意,"What do you look at and look for?","你看什么、找什么？",900,L1~L2,"学习查看、寻找、照看、浏览和提醒注意","look at, look for, look after, look through, watch out","## 查看与留意

look at, look for, look after, look through — 不可分；watch out — 可单独或接 for。",practice_foundation-essential-phrases_基础_信息沟通_查看与留意
信息、沟通与问题处理,日常沟通,"How do you talk and ask on the phone?","你怎么在电话中交谈和询问？",900,L1~L2,"学习结束通话、谈论、请求、交谈和收到消息","hang up, talk about, ask for, speak to, hear from","## 日常沟通

hang up — 不带宾语；其余不可分，介词与宾语保持在一起。",practice_foundation-essential-phrases_基础_信息沟通_日常沟通
信息、沟通与问题处理,工作与学习,"How do you hand in and look up information?","你怎么提交和查阅信息？",900,L1~L2,"学习提交、分发、查阅、通读和弄明白信息","hand in, hand out, look up, read over, figure out","## 工作与学习

hand in, hand out, look up — 可分；read over, figure out — 练习代词位置。",practice_foundation-essential-phrases_基础_信息沟通_工作与学习
信息、沟通与问题处理,社交与解决问题,"How do you get along and work things out?","你怎么相处和解决问题？",900,L1~L2,"学习与人相处、一起活动、到场、放弃和解决问题","get along, hang out, show up, give up, work out","## 社交与解决问题

get along — 不可分；hang out, show up — 不带宾语；give up, work out — 可分。",practice_foundation-essential-phrases_基础_信息沟通_社交与解决问题
