chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
chapter_1,图书馆,1,借书,校园·图书馆借书,L1,1,2,3,2,3,"[""询问借书流程"",""问借阅期限"",""确认证件""]",2,2,2,Librarian,图书管理员,true,practice_daily-campus_校园_图书馆借书_借书,"{""xp"":15}"
chapter_1,图书馆,2,续借与归还,校园·图书馆借书,L1,1,2,3,2,3,"[""说明要续借"",""问逾期费"",""归还书籍""]",2,2,2,Librarian,图书管理员,false,practice_daily-campus_校园_图书馆借书_续借与归还,"{""xp"":15}"
chapter_1,图书馆,3,查找资料,校园·图书馆借书,L2,1,2,2,2,3,"[""说想找什么书"",""问如何查目录"",""请求帮助找期刊""]",2,2,2,Librarian,图书管理员,false,practice_daily-campus_校园_图书馆借书_查找资料,"{""xp"":20}"
chapter_2,社团活动,1,咨询社团信息,校园·社团活动,L1,1,2,2,2,2,"[""问社团类型"",""问活动频率""]",2,2,2,Club Member,社团成员,true,practice_daily-campus_校园_社团活动_咨询社团信息,"{""xp"":15}"
chapter_2,社团活动,2,报名加入,校园·社团活动,L1,1,2,2,2,2,"[""问加入方式"",""表达加入意愿""]",2,2,2,Club Leader,社团负责人,false,practice_daily-campus_校园_社团活动_报名加入,"{""xp"":15}"
chapter_2,社团活动,3,参加社团活动,校园·社团活动,L1,1,2,2,2,2,"[""问下次活动"",""问能否带朋友""]",2,2,2,Club Member,社团成员,false,practice_daily-campus_校园_社团活动_参加社团活动,"{""xp"":15}"
chapter_3,食堂就餐,1,点餐,校园·食堂就餐,L1,1,2,2,2,2,"[""选择菜品"",""确认价格""]",2,2,2,Cafeteria Staff,食堂工作人员,true,practice_daily-campus_校园_食堂就餐_点餐,"{""xp"":15}"
chapter_3,食堂就餐,2,询问菜品,校园·食堂就餐,L1,1,2,2,2,2,"[""问今日特供"",""问食材成分""]",2,2,2,Cafeteria Staff,食堂工作人员,false,practice_daily-campus_校园_食堂就餐_询问菜品,"{""xp"":15}"
chapter_3,食堂就餐,3,餐卡充值,校园·食堂就餐,L1,1,2,2,2,2,"[""要求充值"",""查询余额""]",2,2,2,Cafeteria Staff,食堂工作人员,false,practice_daily-campus_校园_食堂就餐_餐卡充值,"{""xp"":15}"
chapter_4,选课咨询,1,咨询课程,校园·选课咨询,L2,1,2,2,2,2,"[""问课程内容"",""问考核方式""]",2,2,2,Academic Advisor,教务老师,false,practice_daily-campus_校园_选课咨询_咨询课程,"{""xp"":20}"
chapter_4,选课咨询,2,选课操作,校园·选课咨询,L2,1,2,2,2,2,"[""问怎么选课"",""问选课时间""]",2,2,2,Academic Advisor,教务老师,false,practice_daily-campus_校园_选课咨询_选课操作,"{""xp"":20}"
chapter_4,选课咨询,3,退课调整,校园·选课咨询,L2,1,2,2,2,2,"[""说想退课"",""问能否换班""]",2,2,2,Academic Advisor,教务老师,false,practice_daily-campus_校园_选课咨询_退课调整,"{""xp"":20}"
