chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
1,计划与预测,1,我打算…/将会怎样,计划与预测,L1~L2,beginner,15,30,7,14,"[""计划与预测""]",1,5,4,Emma,老师,false,fx_p1,"{""xp"":50}"
1,计划与预测,2,将来时间与预测迹象,计划与预测,L1~L2,beginner,15,30,7,14,"[""时间表达预测""]",1,5,4,Lin,学员,false,fx_p2,"{""xp"":50}"
2,能力与请求,1,我能/会+请求帮助,能力与请求,L1~L2,beginner,15,30,7,14,"[""can能力""]",1,5,4,Mia,朋友,false,fx_a1,"{""xp"":50}"
2,能力与请求,2,请求许可和礼貌程度,能力与请求,L1~L2,beginner,15,30,7,14,"[""Can/Could""]",1,5,4,Ben,同事,false,fx_a2,"{""xp"":50}"
3,建议与义务,1,你应该/必须,建议与义务,L1~L2,beginner,15,30,7,14,"[""should/must""]",1,5,4,Emma,老师,false,fx_d1,"{""xp"":50}"
3,建议与义务,2,禁止、不必和推荐,建议与义务,L1~L2,beginner,15,30,7,14,"[""mustnt/dont""]",1,5,4,Lin,学员,false,fx_d2,"{""xp"":50}"
4,情态综合与礼貌,1,可能/邀请/提议,情态综合与礼貌表达,L1~L2,beginner,15,30,7,14,"[""may/would""]",1,5,4,Mia,朋友,false,fx_m1,"{""xp"":50}"
4,情态综合与礼貌,2,主动提供和回应,情态综合与礼貌表达,L1~L2,beginner,15,30,7,14,"[""Shall/How""]",1,5,4,Ben,同事,false,fx_m2,"{""xp"":50}"
5,祝愿与承诺,1,祝福与鼓励,祝愿与承诺,L1~L2,beginner,15,30,7,14,"[""祝福鼓励""]",1,5,4,Emma,老师,false,fx_w1,"{""xp"":50}"
5,祝愿与承诺,2,承诺与意愿,祝愿与承诺,L1~L2,beginner,15,30,7,14,"[""承诺意愿""]",1,5,4,Mia,朋友,false,fx_w2,"{""xp"":80}"
