scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
频率与现在进行时,用频率支持观点,核心句块,"I always review after class.","I always... — 句块A",L1,,"[]"
频率与现在进行时,用频率支持观点,核心句块,"I always write down new phrases.","I always... — 句块B",L1,,"[]"
频率与现在进行时,用频率支持观点,核心句块,"I usually practice in the morning.","I usually... — 句块A",L1,,"[]"
频率与现在进行时,用频率支持观点,核心句块,"I usually study for twenty minutes.","I usually... — 句块B",L1,,"[]"
频率与现在进行时,用频率支持观点,核心句块,"I often speak with a partner.","I often... — 句块A",L1,,"[]"
频率与现在进行时,用频率支持观点,核心句块,"I often use short dialogues.","I often... — 句块B",L1,,"[]"
频率与现在进行时,用频率支持观点,核心句块,"The practice is never boring.","...is never... — 句块A",L1,,"[]"
频率与现在进行时,用频率支持观点,核心句块,"Emma is never late for class.","...is never... — 句块B",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"How often do you practice speaking?","How often do you...? — 句块A",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"How often do you review your notes?","How often do you...? — 句块B",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"I practice speaking twice a week.","I...once/twice a... — 句块A",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"I review my notes once a day.","I...once/twice a... — 句块B",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"Emma is always ready for class.","...is always... — 句块A",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"The weekly meeting is always useful.","...is always... — 句块B",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"The bus is sometimes late.","...is sometimes... — 句块A",L1,,"[]"
频率与现在进行时,频率副词的位置与频率问句,核心句块,"The afternoon class is sometimes noisy.","...is sometimes... — 句块B",L1,,"[]"
频率与现在进行时,现在进行时肯定句,核心句块,"I am reading the activity guide.","I am...ing — 句块A",L1~L2,,"[]"
频率与现在进行时,现在进行时肯定句,核心句块,"I am waiting by the front desk.","I am...ing — 句块B",L1~L2,,"[]"
频率与现在进行时,现在进行时肯定句,核心句块,"Ben is talking to the teacher.","He/She is...ing — 句块A",L1~L2,,"[]"
频率与现在进行时,现在进行时肯定句,核心句块,"Mia is writing down the time.","He/She is...ing — 句块B",L1~L2,,"[]"
