scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"中世纪·骑士与城堡","骑士精神与受封","knight","骑士","noun","/knight/","/knight/","L2","中世纪的骑马战士。","[{""en"":""The knight swore an oath of loyalty."",""zh"":""骑士宣誓效忠。""}]",0
"中世纪·骑士与城堡","骑士精神与受封","chivalry","骑士精神","noun","/chivalry/","/chivalry/","L3","骑士的道德准则。","[{""en"":""Chivalry required knights to protect the weak."",""zh"":""骑士精神要求骑士保护弱者。""}]",1
"中世纪·骑士与城堡","骑士精神与受封","armor","盔甲","noun","/armor/","/armor/","L1","战斗中穿的保护装备。","[{""en"":""The knight wore heavy armor into battle."",""zh"":""骑士穿着厚重的盔甲上战场。""}]",2
"中世纪·骑士与城堡","骑士精神与受封","sword","剑","noun","/sword/","/sword/","L1","骑士的主要武器。","[{""en"":""He drew his sword and prepared to fight."",""zh"":""他拔出剑准备战斗。""}]",3
"中世纪·骑士与城堡","骑士精神与受封","ceremony","仪式","noun","/ceremony/","/ceremony/","L2","正式的典礼。","[{""en"":""The knighting ceremony was very solemn."",""zh"":""封爵仪式非常庄严。""}]",4
"中世纪·骑士与城堡","骑士精神与受封","oath","誓言","noun","/oath/","/oath/","L2","庄严的承诺。","[{""en"":""Knights took an oath to serve the king."",""zh"":""骑士宣誓效忠国王。""}]",5
"中世纪·骑士与城堡","骑士精神与受封","noble","贵族","noun","/noble/","/noble/","L2","有高贵血统的人。","[{""en"":""Only nobles could become knights."",""zh"":""只有贵族才能成为骑士。""}]",6
"中世纪·骑士与城堡","骑士精神与受封","squire","侍从","noun","/squire/","/squire/","L3","骑士的助手和学徒。","[{""en"":""The squire helped the knight put on his armor."",""zh"":""侍从帮骑士穿上盔甲。""}]",7
"中世纪·骑士与城堡","城堡攻防战","castle","城堡","noun","/castle/","/castle/","L1","中世纪的防御建筑。","[{""en"":""The castle had thick stone walls for protection."",""zh"":""城堡有厚厚的石墙用来防御。""}]",0
"中世纪·骑士与城堡","城堡攻防战","siege","围攻","noun","/siege/","/siege/","L3","长时间包围攻击城堡。","[{""en"":""The siege of the castle lasted for months."",""zh"":""对城堡的围攻持续了数月。""}]",1
"中世纪·骑士与城堡","城堡攻防战","catapult","投石机","noun","/catapult/","/catapult/","L3","投掷石块的攻城器械。","[{""en"":""The catapult hurled huge stones at the walls."",""zh"":""投石机向城墙投掷巨大的石头。""}]",2
"中世纪·骑士与城堡","城堡攻防战","moat","护城河","noun","/moat/","/moat/","L2","城堡周围的水道防御。","[{""en"":""A deep moat surrounded the castle."",""zh"":""一条深深的护城河环绕着城堡。""}]",3
"中世纪·骑士与城堡","城堡攻防战","drawbridge","吊桥","noun","/drawbridge/","/drawbridge/","L2","可以升降的桥梁。","[{""en"":""The drawbridge was raised at night for safety."",""zh"":""吊桥在夜间升起以保证安全。""}]",4
"中世纪·骑士与城堡","城堡攻防战","archer","弓箭手","noun","/archer/","/archer/","L2","使用弓箭的战士。","[{""en"":""Archers fired arrows from the castle towers."",""zh"":""弓箭手从城堡塔楼射出箭矢。""}]",5
"中世纪·骑士与城堡","城堡攻防战","battlement","城垛","noun","/battlement/","/battlement/","L3","城墙上锯齿状的防御结构。","[{""en"":""Soldiers hid behind the battlements during attacks."",""zh"":""攻击时士兵躲在城垛后面。""}]",6
"中世纪·骑士与城堡","城堡攻防战","trebuchet","重型投石机","noun","/trebuchet/","/trebuchet/","L3","大型攻城投石器械。","[{""en"":""The trebuchet could throw stones weighing hundreds of pounds."",""zh"":""重型投石机能投掷数百磅重的石头。""}]",7
"中世纪·骑士与城堡","亚瑟王与圆桌骑士","Excalibur","王者之剑","noun","/excalibur/","/excalibur/","L3","亚瑟王的神剑。","[{""en"":""King Arthur pulled Excalibur from the stone."",""zh"":""亚瑟王从石头中拔出王者之剑。""}]",0
"中世纪·骑士与城堡","亚瑟王与圆桌骑士","round table","圆桌","noun","/roundtable/","/roundtable/","L2","亚瑟王骑士们的会议桌。","[{""en"":""The Round Table represented equality among knights."",""zh"":""圆桌代表骑士之间的平等。""}]",1
