scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
不规则动词专项,日常起居,"This morning, I ___.","今天早上，我___。","woke up / got up / awoke / slept in","This morning, I woke up.",L2,0
不规则动词专项,日常起居,"At breakfast, I ___.","吃早餐时，我___。","ate some bread / drank a cup of tea / fed the cat / bit into an apple","At breakfast, I ate some bread.",L2,1
不规则动词专项,日常起居,"In the living room, I ___.","在客厅里，我___。","sat down / stood up / lay on the sofa / laid the book aside","In the living room, I sat down.",L2,2
不规则动词专项,日常起居,"In the kitchen, I ___.","在厨房里，我___。","put the milk away / set the table / shut the window / lit the stove","In the kitchen, I put the milk away.",L2,3
不规则动词专项,来去与移动,"Last weekend, I ___.","上周末，我___。","went to the beach / came home late / rode a bike / drove to work","Last weekend, I went to the beach.",L2,4
不规则动词专项,来去与移动,"On the trip, we ___.","旅途中，我们___。","flew to Japan / swam in the sea / slid down the sand / sped along the road","On the trip, we flew to Japan.",L2,5
不规则动词专项,来去与移动,"Suddenly, I ___.","突然，我___。","fell down / sank into the water / leaped over the puddle / left the station","Suddenly, I fell down.",L2,6
不规则动词专项,来去与移动,"In the end, everything ___.","最后，一切___。","became better / rose slowly / arose naturally / spread quickly / led to success","In the end, everything became better.",L2,7
不规则动词专项,感知与思考,"In class, I ___.","课堂上，我___。","saw the answer / heard the question / learned a new word / taught my friend","In class, I saw the answer.",L2,8
不规则动词专项,感知与思考,"After class, I ___.","课后，我___。","read a book / wrote a report / spelled the word / found the meaning","After class, I read a book.",L2,9
不规则动词专项,感知与思考,"Honestly, I ___.","说实话，我___。","thought about the plan / understood the reason / forgot the name / meant what I said","Honestly, I thought about the plan.",L2,10
不规则动词专项,感知与思考,"Outside, I ___.","在外面，我___。","smelled the flowers / felt the wind / knew the answer / dreamed about the future","Outside, I smelled the flowers.",L2,11
不规则动词专项,说话与沟通,"At the meeting, she ___.","会议上，她___。","said hello / told the truth / spoke slowly / gave a report","At the meeting, she said hello.",L2,12
不规则动词专项,说话与沟通,"Afterwards, I ___.","之后，我___。","met Ben / showed him around / sent a message / brought a gift","Afterwards, I met Ben.",L2,13
不规则动词专项,说话与沟通,"On the phone, I ___.","打电话时，我___。","rang the bell / held the phone / sang a song / bore the cost","On the phone, I rang the bell.",L2,14
不规则动词专项,说话与沟通,"To be honest, he ___.","老实说，他___。","swore it was true / forbade me to go / forgave me / broadcast the news","To be honest, he swore it was true.",L2,15
不规则动词专项,金钱与交易,"At the shop, I ___.","在商店里，我___。","bought a phone / sold my old one / paid the bill / spent too much","At the shop, I bought a phone.",L2,16
不规则动词专项,金钱与交易,"With the money, I ___.","用这笔钱，我___。","took some cash / lent him some money / bet on the game / won a prize","With the money, I took some cash.",L2,17
不规则动词专项,金钱与交易,"Something bad happened: someone ___.","坏事发生了：有人___。","stole my wallet / cost me a lot / lost the receipt / quit the team","Something bad happened: someone stole my wallet.",L2,18
不规则动词专项,金钱与交易,"In the end, I ___.","最后，我___。","chose the best deal / dealt with the problem / made a plan / won the prize","In the end, I chose the best deal.",L2,19
不规则动词专项,运动与比赛,"In the game, he ___.","比赛中，他___。","ran fast / threw the ball / caught it / hit it hard","In the game, he ran fast.",L2,20
不规则动词专项,运动与比赛,"Our team ___.","我们队___。","beat them / fought hard / shot the ball / struck the post","Our team beat them.",L2,21
不规则动词专项,运动与比赛,"After the game, she ___.","比赛后，她___。","swung the bat / spun around / hid the ball / hung the net","After the game, she swung the bat.",L2,22
不规则动词专项,运动与比赛,"In the final, they ___.","决赛中，他们___。","fought till the end / ran the last lap / caught the last pass / beat every team","In the final, they fought till the end.",L2,23
不规则动词专项,身体与意外,"In the kitchen, I ___.","在厨房里，我___。","hurt my hand / burned my finger / cut myself / split the milk","In the kitchen, I hurt my hand.",L2,24
不规则动词专项,身体与意外,"Outside, I ___.","在外面，我___。","broke my arm / bled a lot / got stung by a bee / tore my shirt / burst a balloon","Outside, I broke my arm.",L2,25
不规则动词专项,身体与意外,"In the cold, I ___.","在寒冷中，我___。","froze outside / shrank in the wash / shook with cold / spat on the ground","In the cold, I froze outside.",L2,26
不规则动词专项,身体与意外,"On the floor, I ___.","在地板上，我___。","bent down / knelt down / leaned on the wall / spilled the coffee","On the floor, I bent down.",L2,27
不规则动词专项,拥有与创造,"When I was young, I ___.","小时候，我___。","had a bike / kept a diary / built a model / drew pictures","When I was young, I had a bike.",L2,28
不规则动词专项,拥有与创造,"In the garden, I ___.","在花园里，我___。","grew vegetables / dug a hole / swept the floor / wound the hose","In the garden, I grew vegetables.",L2,29
不规则动词专项,拥有与创造,"That day, the wind ___.","那天，风___。","blew hard / shone brightly / spoiled the picnic / stuck the door shut","That day, the wind blew hard.",L2,30
不规则动词专项,拥有与创造,"At the workshop, she ___.","在工坊里，她___。","let me try / wore a hat / bound the rope / began the project / did her best / was very kind","At the workshop, she let me try.",L2,31
