scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
"留学·宿舍入住",办理入住,"Hi, I'm here to ___.",打招呼说明来意,"check in, pick up a package, report a problem","Hi, I'm here to check in.",L2,0
"留学·宿舍入住",办理入住,My booking is under the name ___.,说明有预订,"Li, Wang, Zhang",My booking is under the name Li.,L2,1
"留学·宿舍入住",办理入住,Here is my ___.,出示证件,"student ID, passport, confirmation letter",Here is my student ID.,L2,2
"留学·宿舍入住",了解设施,Is there ___ in the building?,询问设施是否存在,"Wi-Fi, a laundry room, a shared kitchen",Is there Wi-Fi in the building?,L2,0
"留学·宿舍入住",了解设施,Where is the ___?,询问位置,"laundry room, shared kitchen, nearest bus stop",Where is the laundry room?,L1,1
"留学·宿舍入住",报修问题,I need to report ___.,报修问题,"a maintenance issue, a broken heater, a leaking sink",I need to report a maintenance issue.,L2,0
"留学·宿舍入住",签收快递,I have a ___ to pick up.,说明有东西要领,"package, parcel, delivery",I have a package to pick up.,L1,0
"留学·认识室友",初次见面,"Hi, I'm ___. I just moved in.",打招呼自我介绍,"Ava, Li Ming","Hi, I'm Ava. I just moved in.",L1,0
"留学·认识室友",聊家乡与爱好,I'm into ___.,表达兴趣爱好,"photography, cooking, hiking, gaming",I'm into photography.,L2,0
"留学·认识室友",邀请一起吃饭,Would you like to ___?,发出邀请,"grab dinner, cook together, get a coffee",Would you like to grab dinner sometime?,L1,0
"留学·认识室友",商量宿舍规则,Let's ___.,提议共同行动,"set some ground rules, make a cleaning schedule, split the bill",Let's set some ground rules.,L2,0
"留学·洗衣房",使用洗衣机,How do I use this ___?,询问设备使用方法,"washing machine, dryer, coffee maker",How do I use this washing machine?,L1,0
"留学·图书馆",找书借书,I'm looking for ___.,说明在找什么,"this book, a study room, the printer",I'm looking for this book.,L2,0
"留学·图书馆",预约学习室,Can I book ___ for ___?,预约资源,"a study room, a seat, a locker / this afternoon, two hours",Can I book a study room for this afternoon?,L2,0
"留学·图书馆",打印与设施,How do I ___?,询问操作方法,"print something, top up my credit, connect to the printer",How do I print something?,L1,0
"留学·宿舍入住",签收快递,Do I need to ___?,询问是否需要做什么,"sign for it, show my ID, bring anything",Do I need to sign for it?,L1,0
"留学·洗衣房",洗衣用品,Should I bring my own ___?,询问是否需要自带,"laundry basket, detergent, drying rack",Should I bring my own laundry basket?,L1,0
"留学·洗衣房",洗衣礼仪,Is this your ___?,确认物品归属,"laundry, clothes, basket",Is this your laundry?,L1,0
"留学·认识室友",商量宿舍规则,Whose turn is it to ___?,询问轮值,"take out the rubbish, clean the kitchen, mop the floor",Whose turn is it to take out the rubbish?,L1,0
"留学·认识室友",初次见面,Where are you from? I'm from ___.,反问+自答(双向交流),"China, the US, India, Japan",Where are you from? I'm from China.,L1,0
"留学·认识室友",邀请一起吃饭,Let's ___ tonight.,提议今晚一起行动,"cook together, order pizza, go to the dining hall",Let's cook together tonight.,L1,0
"留学·图书馆",打印与设施,Is there a ___ I can use?,询问设施是否可用,"scanner, stapler, hole punch",Is there a scanner I can use?,L1,0
"留学·宿舍入住",了解设施,How do I connect to the ___?,询问如何连接/使用,"Wi-Fi, printer, laundry app, eduroam",How do I connect to the Wi-Fi?,L1,0
"留学·认识室友",聊家乡与爱好,Have you ever been to ___?,询问对方是否去过某地,"China, Shanghai, Asia, that restaurant",Have you ever been to China?,L1,0
"留学·认识室友",商量宿舍规则,Could we ___ instead?,提议替代方案(协商),"clean on Sundays instead, switch to a different day, take turns",Could we take turns instead?,L2,0
"留学·洗衣房",洗衣用品,Which ___ should I get?,询问该买哪种,"detergent, fabric softener, laundry pods, stain remover",Which detergent should I get?,L1,0
"留学·图书馆",找书借书,Can you show me where ___ is?,请人带路/指引,"the bookshelf, the quiet area, the printer, the help desk",Can you show me where the bookshelf is?,L1,0
