scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"校园·图书馆借书",借书,借书,How do I borrow a book?,怎么借书？,L1,询问借书流程。需要什么证件、如何操作。,"[{""en"":""Excuse me, how do I borrow a book from this library?"",""zh"":""请问，怎么从图书馆借书？""}]"
"校园·图书馆借书",借书,借书,How long can I keep this book?,这本书能借多久？,L1,询问借阅期限。通常 2-4 周。,"[{""en"":""How long can I keep this book before returning it?"",""zh"":""这本书能借多久？""}]"
"校园·图书馆借书",借书,借书,Can I borrow this with my student ID?,用学生证能借吗？,L1,确认借书所需证件。学生证通常就是借书证。,"[{""en"":""Do I just need my student ID to borrow books?"",""zh"":""我用学生证就能借书吗？""}]"
"校园·图书馆借书",续借与归还,续借与归还,I'd like to renew this book.,我想续借这本书。,L1,续借的标准表达。renew = 续借。,"[{""en"":""I'd like to renew this book for another two weeks."",""zh"":""我想续借这本书两周。""}]"
"校园·图书馆借书",续借与归还,续借与归还,What's the late return fee?,逾期费是多少？,L1,问逾期费用。late return / overdue。,"[{""en"":""How much is the late return fee per day?"",""zh"":""逾期费每天多少钱？""}]"
"校园·图书馆借书",续借与归还,续借与归还,I'm returning this book.,我来还这本书。,L1,还书的标准说法。,"[{""en"":""I'm returning these books. They're due today."",""zh"":""我来还这些书，今天到期。""}]"
"校园·图书馆借书",查找资料,查找资料,I'm looking for a book about...,我在找一本关于...的书。,L2,在图书馆查书。可以按主题/作者/书名。,"[{""en"":""I'm looking for a book about environmental science."",""zh"":""我在找一本关于环境科学的书。""}]"
"校园·图书馆借书",查找资料,查找资料,Can you help me find this journal?,能帮我找到这本期刊吗？,L2,找期刊或论文。journal / article / paper。,"[{""en"":""Can you help me find this journal on the shelf?"",""zh"":""能帮我在书架上找到这本期刊吗？""}]"
"校园·图书馆借书",查找资料,查找资料,How do I use the online catalogue?,怎么用网上目录查书？,L2,请求指导使用查询系统。catalogue = 目录。,"[{""en"":""How do I search the online catalogue for books?"",""zh"":""怎么在网上目录查书？""}]"
"校园·社团活动",咨询社团信息,咨询社团信息,What does your club do?,你们社团是做什么的？,L1,了解社团基本信息。,"[{""en"":""What does your club do? I'm interested in joining."",""zh"":""你们社团是做什么的？我有兴趣加入。""}]"
"校园·社团活动",咨询社团信息,咨询社团信息,How often do you meet?,你们多久活动一次？,L1,问活动频率。weekly / bi-weekly / monthly。,"[{""en"":""How often do you meet? Is it every week?"",""zh"":""你们多久活动一次？每周吗？""}]"
"校园·社团活动",报名加入,报名加入,How do I join?,我该怎么加入？,L1,询问加入方式。是否需要报名表或面试。,"[{""en"":""How do I join the club? Is there a registration form?"",""zh"":""我该怎么加入？有报名表吗？""}]"
"校园·社团活动",报名加入,报名加入,Sounds interesting. I'd like to join.,听起来很有意思，我想加入。,L1,表达加入意愿。,"[{""en"":""Sounds interesting. I'd like to join. What do I need to do?"",""zh"":""听起来很有意思，我想加入，需要做什么？""}]"
