scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
基础⑨·比较事物,单音节比较级,high→higher,高的→更高的,phrase,,,L2,,,0
基础⑨·比较事物,单音节比较级,low→lower,低的→更低的,phrase,,,L2,,,1
基础⑨·比较事物,单音节比较级,near→nearer,近的→更近的,phrase,,,L2,,,2
基础⑨·比较事物,单音节比较级,large→larger,大的→更大的,phrase,,,L2,,,3
基础⑨·比较事物,单音节比较级,wide→wider,宽的→更宽的,phrase,,,L2,,,4
基础⑨·比较事物,单音节比较级,deep→deeper,深的→更深的,phrase,,,L2,,,5
基础⑨·比较事物,单音节比较级,cheap→cheaper,便宜的→更便宜的,phrase,,,L2,,,6
基础⑨·比较事物,y→ier 比较级,easy→easier,容易的→更容易的,phrase,,,L2,,,0
基础⑨·比较事物,y→ier 比较级,heavy→heavier,重的→更重的,phrase,,,L2,,,1
基础⑨·比较事物,y→ier 比较级,early→earlier,早的→更早的,phrase,,,L2,,,2
基础⑨·比较事物,y→ier 比较级,healthy→healthier,健康的→更健康的,phrase,,,L2,,,3
基础⑨·比较事物,y→ier 比较级,wealthy→wealthier,富有的→更富有的,phrase,,,L2,,,4
基础⑨·比较事物,y→ier 比较级,thirsty→thirstier,口渴的→更口渴的,phrase,,,L2,,,5
基础⑨·比较事物,多音节比较级,difficult,困难的,word,,,L2,,,0
基础⑨·比较事物,多音节比较级,important,重要的,word,,,L2,,,1
基础⑨·比较事物,多音节比较级,popular,受欢迎的,word,,,L2,,,2
基础⑨·比较事物,多音节比较级,famous,著名的,word,,,L2,,,3
基础⑨·比较事物,多音节比较级,different,不同的,word,,,L2,,,4
基础⑨·比较事物,多音节比较级,useful,有用的,word,,,L2,,,5
基础⑨·比较事物,多音节比较级,convenient,方便的,word,,,L2,,,6
基础⑨·比较事物,不规则比较级,bad→worse,坏的→更差的,phrase,,,L2,,,0
基础⑨·比较事物,不规则比较级,little→less,少的→更少的,phrase,,,L2,,,1
基础⑨·比较事物,不规则比较级,far→farther,远的→更远的,phrase,,,L2,,,2
基础⑨·比较事物,不规则比较级,far→further,远的→更进一步的,phrase,,,L2,,,3
基础⑨·比较事物,不规则比较级,much→more,许多→更多,phrase,,,L2,,,4
基础⑨·比较事物,不规则比较级,many→more,许多→更多,phrase,,,L2,,,5
基础⑨·比较事物,最高级,the highest,最最高的,phrase,,,L2,,,0
基础⑨·比较事物,最高级,the lowest,最最低的,phrase,,,L2,,,1
基础⑨·比较事物,最高级,the easiest,最最容易的,phrase,,,L2,,,2
基础⑨·比较事物,最高级,the heaviest,最最重的,phrase,,,L2,,,3
