episode_chapter,episode_order,chunk_text_match,sort_order
chapter_1,1,How do I borrow a book?,0
chapter_1,1,How long can I keep this book?,1
chapter_1,1,Can I borrow this with my student ID?,2
chapter_1,2,I'd like to renew this book.,0
chapter_1,2,What's the late return fee?,1
chapter_1,2,I'm returning this book.,2
chapter_1,3,I'm looking for a book about...,0
chapter_1,3,Can you help me find this journal?,1
chapter_1,3,How do I use the online catalogue?,2
chapter_2,1,What does your club do?,0
chapter_2,1,How often do you meet?,1
chapter_2,2,How do I join?,0
chapter_2,2,Sounds interesting. I'd like to join.,1
chapter_2,3,When is the next meeting?,0
chapter_2,3,Can I bring a friend?,1
chapter_3,1,I'll have the... please.,0
chapter_3,1,How much is this set meal?,1
chapter_3,2,What's today's special?,0
chapter_3,2,Does this contain...?,1
chapter_3,3,I'd like to top up my meal card.,0
chapter_3,3,What's my current balance?,1
chapter_4,1,Can you tell me about this course?,0
chapter_4,1,How is this course assessed?,1
chapter_4,2,How do I register for this course?,0
chapter_4,2,When does registration open?,1
chapter_4,3,I'd like to drop this course.,0
chapter_4,3,Can I switch to another section?,1
