scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"寓言·经典寓言故事","伊索寓言选读","伊索寓言选读","Let me tell you about 伊索寓言选读.","让我给你讲讲伊索寓言选读。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 伊索寓言选读."",""zh"":""让我给你讲讲伊索寓言选读。""}]"
"寓言·经典寓言故事","伊索寓言选读","伊索寓言选读","I find 伊索寓言选读 really interesting.","我觉得伊索寓言选读非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 伊索寓言选读 really interesting."",""zh"":""我觉得伊索寓言选读非常有趣。""}]"
"寓言·经典寓言故事","伊索寓言选读","伊索寓言选读","One interesting thing about 伊索寓言选读 is that...","关于伊索寓言选读有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 伊索寓言选读 is that..."",""zh"":""关于伊索寓言选读有趣的一点是...""}]"
"寓言·经典寓言故事","中国寓言故事","中国寓言故事","Let me tell you about 中国寓言故事.","让我给你讲讲中国寓言故事。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 中国寓言故事."",""zh"":""让我给你讲讲中国寓言故事。""}]"
"寓言·经典寓言故事","中国寓言故事","中国寓言故事","I find 中国寓言故事 really interesting.","我觉得中国寓言故事非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 中国寓言故事 really interesting."",""zh"":""我觉得中国寓言故事非常有趣。""}]"
"寓言·经典寓言故事","中国寓言故事","中国寓言故事","One interesting thing about 中国寓言故事 is that...","关于中国寓言故事有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 中国寓言故事 is that..."",""zh"":""关于中国寓言故事有趣的一点是...""}]"
"寓言·经典寓言故事","世界寓言精选","世界寓言精选","Let me tell you about 世界寓言精选.","让我给你讲讲世界寓言精选。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 世界寓言精选."",""zh"":""让我给你讲讲世界寓言精选。""}]"
"寓言·经典寓言故事","世界寓言精选","世界寓言精选","I find 世界寓言精选 really interesting.","我觉得世界寓言精选非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 世界寓言精选 really interesting."",""zh"":""我觉得世界寓言精选非常有趣。""}]"
"寓言·经典寓言故事","世界寓言精选","世界寓言精选","One interesting thing about 世界寓言精选 is that...","关于世界寓言精选有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 世界寓言精选 is that..."",""zh"":""关于世界寓言精选有趣的一点是...""}]"
"寓言·现代寓言","现代生活寓言","现代生活寓言","Let me tell you about 现代生活寓言.","让我给你讲讲现代生活寓言。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 现代生活寓言."",""zh"":""让我给你讲讲现代生活寓言。""}]"
"寓言·现代寓言","现代生活寓言","现代生活寓言","I find 现代生活寓言 really interesting.","我觉得现代生活寓言非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 现代生活寓言 really interesting."",""zh"":""我觉得现代生活寓言非常有趣。""}]"
"寓言·现代寓言","现代生活寓言","现代生活寓言","One interesting thing about 现代生活寓言 is that...","关于现代生活寓言有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 现代生活寓言 is that..."",""zh"":""关于现代生活寓言有趣的一点是...""}]"
"寓言·动物寓言","动物寓言故事","动物寓言故事","Let me tell you about 动物寓言故事.","让我给你讲讲动物寓言故事。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 动物寓言故事."",""zh"":""让我给你讲讲动物寓言故事。""}]"
"寓言·动物寓言","动物寓言故事","动物寓言故事","I find 动物寓言故事 really interesting.","我觉得动物寓言故事非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 动物寓言故事 really interesting."",""zh"":""我觉得动物寓言故事非常有趣。""}]"
"寓言·动物寓言","动物寓言故事","动物寓言故事","One interesting thing about 动物寓言故事 is that...","关于动物寓言故事有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 动物寓言故事 is that..."",""zh"":""关于动物寓言故事有趣的一点是...""}]"
