scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
"旅行·机场出发",办理值机,Check in for your flight at the airport counter.,在机场柜台办理值机。,45,L1,出示护照和订票信息，选择座位，托运行李。,值机流程 行李托运用语,
"旅行·机场出发",过安检,Go through airport security and prepare your documents.,通过机场安检，准备好证件和随身物品。,40,L1,拿出护照登机牌、取出电子产品、通过安检门。,安检流程 随身行李规定,
"旅行·机场出发",登机口候机,Listen for boarding announcements and get ready to board.,听登机广播，准备登机。,35,L1,确认登机口、登机时间、广播信息。,登机广播用语 登机牌,
"旅行·机场入境",入境问答,Answer the immigration officer's questions at passport control.,回答入境官员的问题通过护照检查。,50,L2,说明来访目的、停留时间、住宿地址。,入境问答 移民官用语,
"旅行·机场入境",提取行李,Go to baggage claim and pick up your luggage.,去行李提取处取行李。,30,L1,找正确的行李转盘、确认行李、处理行李问题。,行李转盘 行李丢失,
"旅行·机场入境",海关申报,Go through customs and declare if needed.,通过海关，需要时进行申报。,40,L2,回答海关问题、申报物品、走红色/绿色通道。,海关申报 免税额度,
"旅行·出租车",打车去酒店,Call a taxi and tell the driver your hotel address.,打出租车并告诉司机酒店地址。,40,L1,拦车/等网约车、告诉地址、确认路线。,打车用语 确认地址,
"旅行·出租车",和司机聊天,Make small talk with the taxi driver during the ride.,在路上和出租车司机闲聊。,45,L2,聊天气、聊城市、聊旅行计划。,闲聊用语 当地信息,
"旅行·酒店大堂",办理入住,Check in at the hotel front desk.,在酒店前台办理入住。,45,L1,出示预订信息、支付押金、领取房卡。,入住流程 押金 房卡,
"旅行·酒店大堂",客房服务,Call room service or request hotel amenities.,打电话叫客房服务或索要酒店用品。,40,L2,请求额外用品、报修、叫醒服务。,客房服务用语 报修,
"旅行·酒店大堂",退房离店,Check out of the hotel and settle the bill.,办理退房并结清账单。,40,L1,退房、核对账单、支付额外费用、寄存行李。,退房流程 账单核对,
"旅行·街头",问路找地方,Ask a local for directions to a place.,向当地人问路找到目的地。,45,L1,礼貌打招呼、说明想去的地方、确认路线。,问路用语 方向表达,
