scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
基础⑤·此刻正在做,我正在…,Practice present continuous for I am doing actions.,练习现在进行时"I am doing"表达。,35,L1,掌握I'm eating/drinking/reading等现在进行时第一人称表达。,现在进行时 第一人称 I am doing 此刻,"## 现在进行时结构：I am + 动词-ing
- **I'm eating breakfast right now.** 我正在吃早餐。
- **I'm drinking coffee right now.** 我正在喝咖啡。
- **I'm reading a great book.** 我正在读一本好书。

## 对比：习惯 vs 此刻
- I eat breakfast every day.（习惯）
- I'm eating breakfast right now.（此刻）

## 关键规则
- be动词(am)绝对不能少：❌ I eating → ✅ I'm eating
- 动词必须加-ing：❌ I'm eat → ✅ I'm eating",practice_foundation-present-continuous_此刻正在做_我正在
基础⑤·此刻正在做,他/她正在…,Practice present continuous for He/She is doing actions.,练习现在进行时第三人称"他/她正在"表达。,35,L1,掌握He's/She's working/sleeping/teaching等现在进行时第三人称表达。,现在进行时 第三人称 He is She is 正在,"## 第三人称现在进行时：He/She is + 动词-ing
- **He's working from home today.** 他今天在家办公。
- **She's teaching a class right now.** 她正在上课。
- **He's driving to the airport now.** 他正开往机场。

## 对比：长期 vs 此刻
- He works in an office.（长期）
- He's working from home today.（此刻例外）

## 常见错误
- ❌ He working. → ✅ He's working.
- ❌ She is teach. → ✅ She is teaching.",practice_foundation-present-continuous_此刻正在做_他她正在
基础⑤·此刻正在做,此刻场景描述,Practice describing scenes happening right now.,练习描述此刻正在发生的场景。,35,L1,掌握It's raining/People are waiting/太阳闪耀等场景描述表达。,现在进行时 场景描述 天气 此刻,"## 场景描述核心句型
- **It's raining outside right now.** 外面正在下雨。
- **People are waiting in line.** 人们正在排队。
- **The sun is shining today!** 今天阳光明媚！

## 观察描述
Look! / Listen! 开头常暗示进行时。
- Look! It's raining.
- Listen! The baby is crying.

## 替换练习
替换天气/动作词。",practice_foundation-present-continuous_此刻正在做_此刻场景描述
基础⑤·此刻正在做,感官动词对比,Practice look/feel/think vs look at/feel/think about contrast.,练习感官动词两种用法对比：看起来vs正在看、觉得vs正在感受。,40,L1~L2,掌握感官动词状态用法和动作用法的区别。,感官动词 状态 动作 对比 think feel look,"## 感官动词两种用法
- **He looks happy in photos.** 他照片里看起来开心。(状态)
- **He's looking at his phone.** 他正在看手机。(动作)
- **She thinks it's a good idea.** 她觉得是好主意。(状态)
- **She's thinking about the problem.** 她正在思考问题。(动作)

## 关键区分
- look = 看起来(状态) vs look at = 看(动作)
- think = 认为(状态) vs think about = 思考(动作)
- feel = 觉得(状态) vs feel = 感受(动作可进行)",practice_foundation-present-continuous_此刻正在做_感官动词对比
基础⑤·此刻正在做,此刻与习惯对比,Practice switching between habit and right now.,练习在习惯和此刻之间切换时态。,35,L1,掌握I usually...but right now I'm...双时态对比表达。,时态对比 习惯 此刻 usually but now,"## 双时态对比句型
- **I usually watch TV after dinner, but right now I'm watching a movie.** 我通常晚饭后看电视，但此刻在看电影。
- **I study English every day, but I'm studying for a test now.** 我每天学英语，但此刻在备考。

## 对比标志词
- 习惯：usually / every day / every morning / always
- 此刻：right now / at the moment / now / today

## 练习技巧
先快速判断"习惯"还是"此刻"，再选择时态。",practice_foundation-present-continuous_此刻正在做_此刻与习惯对比
基础⑤·临时vs习惯,平时vs今天,Practice simple present vs present continuous for habits vs today.,练习一般现在时和现在进行时对比：平时习惯 vs 今天例外。,35,L1~L2,掌握usually...but today...对比句式。,平时 今天 对比 习惯 临时 usually but today,"## 核心对比：习惯 vs 临时
- **I usually take the bus.** 我通常坐公交。
- **But today I'm taking a taxi.** 但今天我打车。

## 更多对比
- I live in Beijing. But I'm staying in Shanghai this week.
- We usually eat at home. But we're eating out tonight.

## 关键词
习惯词：usually/normally/generally
临时词：today/tonight/this week/this month
",practice_foundation-present-continuous_临时vs习惯_平时vs今天
基础⑤·临时vs习惯,常态vs例外,Practice contrasting normal vs exception with simple present and continuous.,练习常态和例外的时态对比表达。,35,L1~L2,掌握常态vs例外的时态对比句式。,常态 例外 对比 时态 今天 例外,"## 常态 vs 例外核心句型
- **She wears a uniform at work, but today she's wearing a dress.** 她上班穿制服，但今天穿了裙子。
- **He usually gets up at 7, but he's getting up at 5 tomorrow.** 他通常7点起，但明天5点起。
- **They usually meet on Fridays, but this week they're meeting on Thursday.** 他们通常周五见，这周周四见。

## 替换练习
替换动词和名词，保持对比结构。",practice_foundation-present-continuous_临时vs习惯_常态vs例外
基础⑤·临时vs习惯,此刻状态,Practice describing current states with present continuous.,练习用现在进行时描述此刻状态。,35,L1,掌握此刻天气/感受/状态的时态表达。,此刻状态 进行时 天气 感受 正在,"## 此刻状态核心句型
- **It's raining right now.** 现在正在下雨。
- **It's getting dark. Let's go inside.** 天快黑了，进去吧。
- **I'm feeling really tired now.** 我现在好累。
- **The baby is sleeping now.** 宝宝正在睡觉。

## 对比：常态 vs 此刻
- It rains a lot in spring.（季节特征）
- It's raining right now.（此刻天气）
- I feel tired after work.（常态）
- I'm feeling really tired now.（此刻感受）",practice_foundation-present-continuous_临时vs习惯_此刻状态
基础⑤·临时vs习惯,近期变化,Practice describing recent changes with continuous.,练习用进行时描述近期变化。,35,L1~L2,掌握进行时描述近期变化和临时情况的表达。,近期变化 进行时 this month 临时,"## 近期变化核心句型
- **I normally walk to school, but I'm riding a bike this month.** 我平时走路去学校，但这个月骑自行车。
- **I usually work in Beijing, but this week I'm working in Shanghai.** 我通常在北京工作，但这周在上海。

## 关键点
进行时描述的是**临时/近期**的变化，不是永久改变。
- 临时：I'm staying in Shanghai this week.
- 永久：I live in Shanghai.（一般现在时）",practice_foundation-present-continuous_临时vs习惯_近期变化
基础⑤·临时vs习惯,双时态叙事,Practice narrating with mixed tenses.,练习双时态叙事：用两种时态交替描述场景。,40,L1~L2,掌握在叙事中自然切换一般现在和现在进行时。,时态混合 叙事 切换 think is doing,"## 双时态叙事核心句型
- **I think she is a good teacher.** 我觉得她是好老师。(状态)
- **Right now I'm thinking about the lesson.** 我正在想这节课。(动作)
- **I think he is sleeping. He usually takes a nap at this time.** 我觉得他在睡觉，他通常这个时间午休。

## 叙事模式
先描述已知/习惯(一般现在时)，再切换到此刻观察(现在进行时)。",practice_foundation-present-continuous_临时vs习惯_双时态叙事
基础⑤·频率副词,总是/通常/经常,Practice frequency adverbs: always/usually/often.,练习频率副词：总是/通常/经常。,35,L1,掌握always/usually/often与一般现在时搭配。,频率副词 always usually often 一般现在时,"## 频率副词核心句型
- **I always get up at 7.** 我总是7点起床。(100%)
- **I usually drink coffee in the morning.** 我通常早上喝咖啡。(90%)
- **I often read before bed.** 我经常睡前看书。(70%)

## 位置规则
频率副词放在**动词前**：
- ❌ I get up always at 7.
- ✅ I always get up at 7.
- ✅ I usually drink coffee.",practice_foundation-present-continuous_频率副词_总是通常经常
