scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
基础⑧·并列与转折,and 并列连接,I like ___ and ___.,我喜欢咖啡和茶。,coffee and tea / cats and dogs / reading and writing,I like coffee and tea.,L2,0
基础⑧·并列与转折,and 并列连接,He is ___ and ___.,她聪明又善良。,tall and handsome / young and energetic / funny and friendly,She is smart and kind.,L2,1
基础⑧·并列与转折,and 并列连接,I ___ and ___.,我去了商店，买了些牛奶。,went to the store and bought milk / sat down and read a book,I went to the store and bought some milk.,L2,2
基础⑧·并列与转折,or 选择连接,Do you want ___ or ___?,你想喝茶还是咖啡？,tea or coffee / this or that / to stay or to go,Do you want tea or coffee?,L2,3
基础⑧·并列与转折,or 选择连接,Is it ___ or ___?,它是大的还是小的？,big or small / hot or cold / new or old / cheap or expensive,Is it big or small?,L2,4
基础⑧·并列与转折,but 转折连接,"I ___, but ___.",我喜欢他，但他不喜欢我。,"like him, he doesn't like me / want to go, I'm busy / tried my best, I failed","I like him, but he doesn't like me.",L2,5
基础⑧·并列与转折,but 转折连接,"___ is ___, but ___.",食物便宜，但是很好吃。,the food / cheap / delicious / the hotel / small / clean,"The food is cheap, but it's delicious.",L2,6
基础⑧·并列与转折,however 对比,"I ___. However, ___.",我想去。然而，我太忙了。,wanted to go / I was too busy / tried my best / I failed,"I wanted to go. However, I was too busy.",L2,7
基础⑧·并列与转折,递进表达,She not only ___ but also ___.,用于“递进表达”的表达句型。,speaks English / speaks Chinese / sings / dances / likes music / likes art,She not only speaks English but also speaks Chinese.,L2,8
基础⑧·因果与条件,because 原因,I ___ because ___.,我待在家，因为我病了。,stayed home / I was sick / was late / I missed the bus / ate a lot / I was hungry,I stayed home because I was sick.,L2,9
基础⑧·因果与条件,because 原因,___ because ___.,她开心，因为她通过了考试。,He's tired / he worked all night / We're excited / it's our first trip,She is happy because she passed the test.,L2,10
基础⑧·因果与条件,because 原因,"Because ___, ___.",因为下雨了，我们待在了屋里。,it rained / we stayed inside / I was tired / I went to bed early,"Because it rained, we stayed inside.",L2,11
基础⑧·因果与条件,so 结果,"I was ___, so I ___.",我累了，所以我早早上床了。,tired / went to bed early / hungry / ate / busy / couldn't come,"I was tired, so I went to bed early.",L2,12
基础⑧·因果与条件,so 结果,"___, so ___.",开始下雨了，所以我们打了车。,it started to rain / we took a taxi / the store was closed / I went home,"It started to rain, so we took a taxi.",L2,13
基础⑧·时间与顺序,when 时间从句,"When I ___, ___.",我到的时候，她正在做饭。,arrived / she was cooking / called / he was sleeping / got home / they were watching TV,"When I arrived, she was cooking.",L2,14
基础⑧·时间与顺序,when 时间从句,I always ___ when I ___.,用于“when 时间从句”的表达句型。,drink coffee / wake up / read / take the bus / listen to music / run,I always drink coffee when I wake up.,L2,15
基础⑧·时间与顺序,when 时间从句,___ when you ___.,你到家的时候给我打电话。,Call me / get home / Text me / arrive / Tell her / see her,Call me when you get home.,L2,16
基础⑧·时间与顺序,before/after 前后,I ___ before I ___.,我睡觉前刷牙。,brush my teeth / go to bed / eat breakfast / leave / check my email / start work,I brush my teeth before I go to bed.,L2,17
基础⑧·时间与顺序,before/after 前后,"After I ___, I ___.",我下班后去了健身房。,finished work / went to the gym / woke up / took a shower / ate dinner / watched a movie,"After I finished work, I went to the gym.",L2,18
基础⑧·时间与顺序,while 同时,I ___ while ___.,用于“while 同时”的表达句型。,listened to music / I worked / talked on the phone / I walked / played games / we waited,I listened to music while I worked.,L2,19
基础⑧·时间与顺序,until 直到,___ until ___.,请在这里等到我回来。,Stay here / it stops raining / Keep trying / you succeed / Wait / I come back,Please wait here until I come back.,L2,20
基础⑧·因果与条件,if 条件,"If ___, I'll ___.",如果明天下雨，我就待在家。,it rains / stay home / I have time / call you / it's cheap / buy it,"If it rains tomorrow, I'll stay home.",L2,21
基础⑧·因果与条件,if 条件,"If you ___, you will ___.",如果你努力学习，你会通过考试的。,study hard / pass the test / practice every day / get better / save money / be rich,"If you study hard, you will pass the test.",L2,22
基础⑧·因果与条件,unless 除非,I won't ___ unless ___.,除非你跟我一起去，否则我不去。,go / you come / eat / I'm hungry / leave / you ask me / buy it / it's cheap,I won't go unless you come with me.,L2,23
基础⑧·因果与条件,if 条件,"If I were you, I would ___.",如果我是你，我会接受那份工作。,take the job / say sorry / go to the doctor / study abroad / wait longer,"If I were you, I would take the job.",L2,24
基础⑧·因果与条件,as long as 只要,"As long as ___, ___.",只要你尽力了，就没关系。,you try your best / it's okay / you're happy / I'm happy / it doesn't rain / we'll go,"As long as you try your best, it's okay.",L2,25
