scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
"留学·宿舍入住",办理入住,You've just arrived at the student dormitory. The receptionist asks: 'How can I help you?',你刚到学生宿舍，前台工作人员问你需要什么帮助。,60,L2,你刚到国外的学生宿舍，需要办理入住。前台 Sarah 会协助你完成登记流程。,💡 英美宿舍一般叫 residence hall 或 accommodation。前台叫 reception desk。check-in 时间通常是下午 2-3 点后，早到可能要在 lounge（休息室）等。,practice_study-abroad_宿舍入住_办理入住
"留学·宿舍入住",了解设施,"Ask the receptionist about Wi-Fi, laundry, kitchen, and how to get to campus.",询问前台关于 Wi-Fi、洗衣房、厨房位置以及怎么去校园。,45,L2,你需要了解宿舍的公共设施——Wi-Fi 怎么连、洗衣房在哪、有没有共享厨房、怎么去上课的楼。,💡 英美宿舍 Wi-Fi 一般用学生账号登录(eduroam)。洗衣房用 App 支付不是投币。共享厨房叫 shared kitchen，冰箱里的东西记得贴标签(label your food)。,practice_study-abroad_宿舍入住_了解设施
"留学·宿舍入住",报修问题,Your room has a problem (heater/light/sink). Report it to the front desk.,你的房间有问题(暖气/灯/水槽)，向前台报修。,45,L2,房间出了状况——暖气不热、灯坏了、水槽堵了。你需要打电话或去前台提交 maintenance request。,💡 英美报修叫 maintenance request。紧急情况(漏水、没暖气)当天处理，非紧急要等1-2天。维修工叫 maintenance person 或 handyman。很多学校现在用 App 提交报修。,practice_study-abroad_宿舍入住_报修问题
"留学·宿舍入住",签收快递,You received a package notification. Ask the front desk how to pick it up.,你收到了快递通知，去前台问怎么取。,30,L1,你收到了快递或外卖通知，去前台询问如何领取——需要什么证件、前台代收时间、外卖放哪里。,💡 英美快递一般放前台(reception)或包裹柜(parcel locker)。前台会让你 sign for it(签字)领取。Amazon 可能直接放门口。外卖(delivery)通常下楼自取，driver 不会上楼。,practice_study-abroad_宿舍入住_签收快递
"留学·认识室友",初次见面,You meet your new flatmate for the first time. Introduce yourself.,你第一次见到新室友，请自我介绍。,45,L1,你敲开隔壁门或走进共享厨房，第一次见到未来要一起住的人——自我介绍、问对方名字、来自哪里、学什么专业。,💡 国外初次见面一般握手或微笑点头，不用鞠躬。如果对方说 How's it going?，回答 Good, you? 就好。flatmate 比 roommate 更准确——你们各有各的房间，共用公共区域。,practice_study-abroad_认识室友_初次见面
"留学·认识室友",聊家乡与爱好,Your flatmate asks about your hometown and what you like to do. Share and ask back.,室友问起你的家乡和平时喜欢做什么，聊聊并反问对方。,60,L2,室友对你的家乡很好奇，你也想了解对方的兴趣爱好——聊美食、旅行、音乐、运动，找到共同话题。,💡 聊家乡是外国人最爱的话题。准备3-5句关于你家乡的亮点(food/places/weather)。I'm into... 比 I like... 更地道。如果对方说喜欢 cooking，很可能邀请你一起做。老外喜欢 potluck(每人带一道菜)。,practice_study-abroad_认识室友_聊家乡与爱好
"留学·认识室友",邀请一起吃饭,Invite your flatmate to have dinner together or cook together.,邀请室友一起吃饭或一起做饭。,35,L1,你想和室友拉近关系——邀请一起去食堂、叫外卖、或者一起做饭(potluck)。聊聊各自国家的食物。,💡 邀请室友吃饭是拉近关系的好方法。国外一般 AA 制(split the bill)，除非你说 It's on me(我请客)。提议一起做饭时说 Let's cook together，可以顺便展示 Chinese food。如果吃不完要打包，说 Can I get a to-go box?。,practice_study-abroad_认识室友_邀请一起吃饭
"留学·认识室友",商量宿舍规则,Discuss room rules with your flatmate: quiet hours, cleaning schedule, guests.,和室友商量宿舍规则——安静时间、打扫轮值、访客等。,50,L2,你和室友需要一起商量 ground rules——晚上几点后安静(quiet hours)、谁倒垃圾、怎么轮流打扫、可不可以带朋友来。,💡 Roommate agreement 在国外很常见，不用尴尬。用 Let's set some ground rules 开头，语气轻松。Noise 是最常见矛盾，提前说好 quiet hours after 11pm。垃圾分类很重要——recycling bin 和 general waste 要分开。,practice_study-abroad_认识室友_商量宿舍规则
"留学·洗衣房",使用洗衣机,You need to use the laundry room. Ask someone how the machines work.,你需要用宿舍洗衣房的洗衣机，问问别人怎么操作。,40,L1,第一次用宿舍洗衣房——不知道机器怎么开、要不要下载 App、洗一次要多久。,💡 英美大学洗衣房大多用 App(Circuit Laundry/LaundryView)而不是投币。下载 App→充值→扫码启动。洗衣机叫 washing machine，烘干机叫 dryer。一般洗30-40分钟，烘40-60分钟。高峰期(周末下午)要排队。,practice_study-abroad_洗衣房_使用洗衣机
"留学·洗衣房",洗衣用品,You need to buy laundry supplies. Ask where to get detergent and how much.,你需要买洗衣用品，问在哪买洗衣液、要多少钱。,30,L1,你要买洗衣液(detergent)和柔顺剂(fabric softener)，不知道宿舍便利店有没有、多少钱、要不要自己带洗衣篮(laundry basket)。,💡 英美洗衣液分 liquid(液体)和 pods(洗衣球)。宿舍便利店(campus shop)一般有卖但偏贵。Tesco/Walmart 买大瓶更划算。注意有些人对香味敏感，买 fragrance-free 的比较不会冒犯室友。,practice_study-abroad_洗衣房_洗衣用品
"留学·洗衣房",洗衣礼仪,Someone left clothes in the machine. What do you do? Ask a flatmate about laundry etiquette.,有人把衣服留在洗衣机里了，你怎么办？问问室友洗衣规矩。,35,L1,洗衣机里的衣服停了没人取，你不知道能不能拿出来——问问室友或路人洗衣房的潜规则。,💡 洗衣房最大禁忌：洗完不取。一般等5-10分钟没人来就可以拿出来放干净地方(clean surface，不是地上！)。英国有的洗衣房不用 dryer，用 drying rack(晾衣架)在房间晾。洗衣时间贴在 machine 上——set a timer on your phone。,practice_study-abroad_洗衣房_洗衣礼仪
"留学·图书馆",找书借书,You need a book for your course. Go to the library help desk and ask for help.,你需要找一本课程用书，去图书馆服务台求助。,50,L2,你需要找一本课上要读的书——在图书馆目录查不到、不确定在哪个书架。去 help desk 找图书管理员帮忙。,💡 英美大学图书馆用 self-service kiosk 自助借书，扫学生卡+书上的 barcode。找书先在 library catalogue(网上目录)查 call number(索书号)。借书叫 borrow/check out，还书叫 return，续借叫 renew(可以网上操作)。overdue 要罚款(fine)。,practice_study-abroad_图书馆_找书借书
"留学·图书馆",预约学习室,You need a quiet place to study with your group. Ask about booking a study room.,你需要一个安静的地方和小组一起学习，询问怎么预约学习室。,40,L2,期末要和小组成员一起复习，你需要预约一间学习室(study room)——问怎么预约、能约多久、需要几个人。,💡 英美图书馆的学习室(study room/group study room)需要提前在网上预约，期末季至少提前一周。一般一次约1-2小时，有人数要求(2-6人)。quiet area/silent zone 不能说话。讨论去 group study area 或 learning commons。,practice_study-abroad_图书馆_预约学习室
"留学·图书馆",打印与设施,You need to print an assignment. Ask where the printers are and how to use them.,你需要打印作业，问哪里可以打印、怎么用。,35,L1,交作业前发现要打印——你不知道图书馆打印机在哪、怎么连、多少钱一张。,💡 英美大学打印用 printing credit(打印额度)，学校每学期给一定额度(如£10)，用完要充值(top up)。从图书馆电脑或自己的 laptop 发送打印任务到 print queue，然后去任意打印机刷学生卡 release。有的支持 wireless printing(无线打印)和 scan to email(扫描发邮箱)。,practice_study-abroad_图书馆_打印与设施
