scene_title,topic_title,pattern,sort_order
常用英语500句 · 入门篇,寒暄、接话与祝福,Have a [adjective] day.,1
常用英语500句 · 入门篇,寒暄、接话与祝福,You look [adjective].,2
常用英语500句 · 入门篇,寒暄、接话与祝福,What a [noun / clause]!,3
常用英语500句 · 入门篇,感谢、简单道歉与回应,I'm [adjective].,1
常用英语500句 · 入门篇,感谢、简单道歉与回应,That's so [adjective].,2
常用英语500句 · 入门篇,感谢、简单道歉与回应,That's very [adjective].,3
常用英语500句 · 入门篇,约饭、结账与用餐回应,How about a [drink] tonight?,1
常用英语500句 · 入门篇,约饭、结账与用餐回应,Do you accept [payment]?,2
常用英语500句 · 入门篇,约饭、结账与用餐回应,Which would you [verb]?,3
常用英语500句 · 入门篇,约饭、结账与用餐回应,That would be [adjective].,4
常用英语500句 · 入门篇,评价价格、取舍与许可回应,The price is [adjective].,1
常用英语500句 · 入门篇,评价价格、取舍与许可回应,I can't afford [thing].,2
常用英语500句 · 入门篇,评价价格、取舍与许可回应,It's not worth [it / noun].,3
常用英语500句 · 入门篇,评价价格、取舍与许可回应,"Of course, it's all [yours].",4
常用英语500句 · 入门篇,迷路、在路上与接人,Where can I buy a [thing]?,1
常用英语500句 · 入门篇,迷路、在路上与接人,When is the next [transport]?,2
常用英语500句 · 入门篇,迷路、在路上与接人,I'm here to take you [place].,3
常用英语500句 · 入门篇,迷路、在路上与接人,I'd pick [someone] up.,4
常用英语500句 · 入门篇,想要、喜好与婉拒,Is that what you [want]?,1
常用英语500句 · 入门篇,想要、喜好与婉拒,Do you like [noun]?,2
常用英语500句 · 入门篇,想要、喜好与婉拒,It is just what I [need].,3
常用英语500句 · 入门篇,想要、喜好与婉拒,I wish I could.,4
常用英语500句 · 入门篇,想要、喜好与婉拒,Maybe next [time].,5
常用英语500句 · 入门篇,请求重复、说慢一点和确认听懂,What do you mean?,1
常用英语500句 · 入门篇,请求重复、说慢一点和确认听懂,I'm not sure [yet / I can do it].,2
常用英语500句 · 入门篇,请求重复、说慢一点和确认听懂,What's the word for [it]?,3
常用英语500句 · 入门篇,请求重复、说慢一点和确认听懂,May I ask [some questions]?,4
常用英语500句 · 入门篇,提醒、求助与鼓励,Give me a [hand].,1
常用英语500句 · 入门篇,提醒、求助与鼓励,I can't find [thing].,2
常用英语500句 · 入门篇,提醒、求助与鼓励,Do me a [favor].,3
常用英语500句 · 入门篇,提醒、求助与鼓励,Tell me what to [verb].,4
