scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
基础⑥·过去的状态,我以前是/有,I was ___.,我是/曾是,a student / happy / at home / tired / sick / young,I was a student last year.,L1,0
基础⑥·过去的状态,我以前是/有,He/She was ___.,他/她曾是,shy / tall / at work / late / kind / busy,He was very shy before.,L1,1
基础⑥·过去的状态,我以前是/有,They were ___.,他们曾是,at home / happy / busy / tired / students / at school,They were at home yesterday.,L1,2
基础⑥·过去的状态,我以前是/有,It was ___.,它是/那时是,a nice day / cold / fun / great / rainy / hot,It was a nice day yesterday.,L1,3
基础⑥·过去的状态,我以前是/有,I had ___.,我过去有,a dog / a car / a bike / long hair / a dream / a cold,I had a dog when I was a child.,L1,4
基础⑥·过去的状态,我以前是/有,She had ___.,她过去有,short hair / glasses / a meeting / long hair / an idea,She had long hair last year.,L1,5
基础⑥·过去的状态,昨天在哪里,Were you ___? — Yes I was. / No I wasn't.,你过去是...吗？,at home / tired / busy / late / happy / at work,Were you at home last night? Yes I was.,L1,6
基础⑥·过去的状态,昨天在哪里,Was he/she ___? — Yes he was. / No she wasn't.,他/她过去是...吗？,at the party / in class / on time / sick / late,Was she at the party? No she wasn't.,L1,7
基础⑥·过去的状态,昨天的感受,How was ___? — It was ___.,...怎么样？,your weekend / great / the movie / boring / your day / good,How was your weekend? It was great!,L1,8
基础⑥·过去的状态,过去的天气和日子,The ___ was ___.,...是...,movie / boring / food / delicious / party / fun / weather / nice,The movie was really boring.,L1,9
基础⑥·过去的状态,昨天在哪里,Where were you ___? — I was ___.,你过去在哪？,yesterday / last night / at 8 pm / last weekend / at home,Where were you last night? I was at home.,L1,10
基础⑥·过去的动作,昨天做了什么,I ___ at ___.,我(在几点)做了(什么),got up / 8 / went to bed / 11 / left / 7,I got up at 8 yesterday.,L1,11
基础⑥·过去的动作,昨天做了什么,I went to ___.,我去了...,the supermarket / the park / a restaurant / work / school,I went to the supermarket.,L1,12
基础⑥·过去的动作,昨天做了什么,I ate ___ for ___.,我吃了...作为...,noodles / lunch / rice / dinner / bread / breakfast,I ate noodles for lunch.,L1,13
基础⑥·过去的动作,规则动词 -ed,I ___ed ___ last ___.,我上(段时间)做了...,watched / a movie / night / played / basketball / weekend / studied, watched a movie last night.,L1,14
基础⑥·过去的动作,规则动词 -ed,I ___ed ___ with ___.,我和...一起做了...,played / basketball / my friends / cooked / dinner / my family,I played basketball with my friends.,L1,15
基础⑥·过去的动作,不规则动词,I saw ___ at ___.,我在...看到...,a friend / the mall / my teacher / school / him / the party,I saw a friend at the mall.,L1~L2,16
基础⑥·过去的动作,不规则动词,She said ___.,她说了...,hello / goodbye / thank you / sorry / nothing / yes,She said hello to me.,L1~L2,17
基础⑥·过去的动作,不规则动词,He made ___.,他做了...,a cake / dinner / a mistake / a phone call / a plan,He made a big cake for the party.,L1~L2,18
基础⑥·过去的动作,不规则动词,I did ___.,我做了...,my homework / the dishes / exercise / my best / nothing,I did my homework after school.,L1~L2,19
基础⑥·过去的动作,不规则动词,We had ___.,我们度过了...,a great time / a meeting / lunch / fun / a party,We had a great time at the beach.,L1~L2,20
基础⑥·过去的动作,不规则动词,She took ___.,她拿了/拍了...,a lot of photos / a taxi / a break / the bus / a shower,She took a lot of photos.,L1~L2,21
基础⑥·讲述经历,上个周末/去年,Last weekend I ___.,上个周末我...,visited my grandparents / stayed home / went shopping / cleaned my room,Last weekend I visited my grandparents.,L1~L2,22
