scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"留学·宿舍入住",办理入住,dormitory,宿舍,noun,/ˈdɔːrmətɔːri/,/ˈdɔːmɪtri/,L1,学生宿舍(美式常用 dorm)。英式常说 accommodation 或 residence hall。,"[{""en"":""I live in a dormitory near campus."",""zh"":""我住在校园附近的宿舍。""}]",0
"留学·宿舍入住",办理入住,reception,前台,noun,/rɪˈsepʃən/,/rɪˈsepʃən/,L1,宿舍或酒店的前台接待处。去 reception desk 办理入住。,"[{""en"":""Go to the reception desk to check in."",""zh"":""去前台办理入住。""}]",1
"留学·宿舍入住",办理入住,check in,办理入住,phrase,/tʃek ɪn/,/tʃek ɪn/,L1,入住登记。check-in time = 入住时间。反义词: check out (退房)。,"[{""en"":""I need to check in at the dormitory."",""zh"":""我需要去宿舍办理入住。""}]",2
"留学·宿舍入住",办理入住,student ID,学生证,noun,/ˈstjuːdənt aɪˈdiː/,/ˈstjuːdənt aɪˈdiː/,L1,学生身份证明。入住、借书、考试都要用。,"[{""en"":""Please show your student ID to register."",""zh"":""请出示学生证办理登记。""}]",3
"留学·宿舍入住",了解设施,Wi-Fi,无线网络,noun,/ˈwaɪ faɪ/,/ˈwaɪ faɪ/,L1,校园 Wi-Fi 通常叫 eduroam，用学生账号登录。,"[{""en"":""What's the Wi-Fi password for the dorm?"",""zh"":""宿舍的Wi-Fi密码是什么？""}]",0
"留学·宿舍入住",了解设施,laundry room,洗衣房,noun,/ˈlɔːndri ruːm/,/ˈlɔːndri ruːm/,L1,宿舍公共洗衣房。英美大学多用 App 支付而非投币。,"[{""en"":""The laundry room is on the first floor."",""zh"":""洗衣房在一楼。""}]",1
"留学·宿舍入住",了解设施,shared kitchen,共享厨房,noun,/ʃerd ˈkɪtʃɪn/,/ʃeəd ˈkɪtʃɪn/,L2,宿舍公共厨房。冰箱里的食物要贴标签(label your food)。,"[{""en"":""We have a shared kitchen on each floor."",""zh"":""每层楼都有一个共享厨房。""}]",2
"留学·宿舍入住",报修问题,maintenance,维修,noun,/ˈmeɪntənəns/,/ˈmeɪntənəns/,L2,报修叫 maintenance request。维修工叫 maintenance person 或 handyman。,"[{""en"":""Please call maintenance if the light is broken."",""zh"":""如果灯坏了请打电话报修。""}]",0
"留学·宿舍入住",报修问题,heater,暖气,noun,/ˈhiːtər/,/ˈhiːtər/,L1,英美宿舍常见暖气问题。英国多用 radiator(暖气片)。,"[{""en"":""The heater in my room isn't working."",""zh"":""我房间的暖气坏了。""}]",1
"留学·宿舍入住",签收快递,parcel,包裹,noun,/ˈpɑːrsəl/,/ˈpɑːsəl/,L1,快递包裹。美式常说 package。前台代收叫 parcel collection。,"[{""en"":""I have a parcel to collect from reception."",""zh"":""我去前台取包裹。""}]",0
"留学·宿舍入住",签收快递,delivery,快递/外卖,noun,/dɪˈlɪvəri/,/dɪˈlɪvəri/,L1,包括快递(package delivery)和外卖(food delivery)。,"[{""en"":""Where do I pick up food deliveries?"",""zh"":""我在哪取外卖？""}]",1
"留学·认识室友",初次见面,flatmate,室友(英式),noun,/ˈflætmeɪt/,/ˈflætmeɪt/,L1,各有各的房间、共用公共区域的室友。美式叫 roommate 或 housemate。,"[{""en"":""My flatmate is also a first-year student."",""zh"":""我的室友也是一年级新生。""}]",0
"留学·认识室友",初次见面,major,专业,noun,/ˈmeɪdʒər/,/ˈmeɪdʒə/,L1,大学主修专业。英式常说 course。What's your major? = 你学什么专业？,"[{""en"":""My major is Computer Science."",""zh"":""我的专业是计算机科学。""}]",1
"留学·认识室友",聊家乡与爱好,hobby,爱好,noun,/ˈhɑːbi/,/ˈhɒbi/,L1,兴趣爱好。What do you do in your free time? 比 What are your hobbies? 更自然。,"[{""en"":""My hobbies include photography and hiking."",""zh"":""我的爱好包括摄影和徒步。""}]",0
"留学·认识室友",聊家乡与爱好,hometown,家乡,noun,/ˈhoʊmtaʊn/,/ˈhəʊmtaʊn/,L1,家乡。Describe your hometown = 描述你的家乡。老外常用 nearby [大城市] 来参考。,"[{""en"":""My hometown is a small city near Shanghai."",""zh"":""我的家乡是上海附近的一个小城市。""}]",1
"留学·认识室友",邀请一起吃饭,potluck,百乐餐(每人带一道菜),noun,/ˈpɑːtlʌk/,/ˈpɒtlʌk/,L2,每人带一道菜的聚餐形式，在英美大学宿舍非常流行。,"[{""en"":""We're having a potluck on Friday. Want to join?"",""zh"":""我们周五有百乐餐，一起来？""}]",0
"留学·认识室友",邀请一起吃饭,split the bill,AA制,phrase,/splɪt ðə bɪl/,/splɪt ðə bɪl/,L1,平分账单。国外吃饭 AA 制是常态。It's on me = 我请客。,"[{""en"":""Let's split the bill."",""zh"":""我们 AA 吧。""}]",1
"留学·认识室友",商量宿舍规则,ground rules,基本规则,noun,/ɡraʊnd ruːlz/,/ɡraʊnd ruːlz/,L2,共同生活的基本约定。Let's set some ground rules = 我们定些基本规则。,"[{""en"":""Let's set some ground rules for the kitchen."",""zh"":""我们定一些厨房的基本规则吧。""}]",0
"留学·认识室友",商量宿舍规则,quiet hours,安静时间,noun,/ˈkwaɪət aʊərz/,/ˈkwaɪət aʊəz/,L2,宿舍规定的安静时段(通常晚上10-11点后)。,"[{""en"":""Quiet hours start at 11pm."",""zh"":""安静时间从晚上11点开始。""}]",1
