scene_title,topic_title,pattern,sort_order
常用英语500句 · 基础篇,澄清、确认与补充问题,What do you mean by ___?,1
常用英语500句 · 基础篇,澄清、确认与补充问题,May I ask ___?,2
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,How about ___?,1
常用英语500句 · 基础篇,邀请、接受、拒绝和改期,Would ___ work for you?,2
常用英语500句 · 基础篇,酒店、课程与服务预约,I'd like to ___.,1
常用英语500句 · 基础篇,酒店、课程与服务预约,Do you ___?,2
常用英语500句 · 基础篇,酒店、课程与服务预约,Let me check ___.,3
常用英语500句 · 基础篇,说明迟到、延误和计划变化,I can explain.,1
常用英语500句 · 基础篇,说明迟到、延误和计划变化,"From now on, ___.",2
常用英语500句 · 基础篇,描述生活小故障并请求处理,The problem is ___.,1
常用英语500句 · 基础篇,描述生活小故障并请求处理,Could you ___?,2
常用英语500句 · 基础篇,表达感受、安慰和实际支持,I got your back.,1
常用英语500句 · 基础篇,表达感受、安慰和实际支持,Hang in there.,2
常用英语500句 · 基础篇,报告进度、截止时间和下一步,I'll do my best.,1
常用英语500句 · 基础篇,报告进度、截止时间和下一步,"At this point, ___.",2
常用英语500句 · 基础篇,给建议并确认最终方案,"It's settled, then.",1
常用英语500句 · 基础篇,给建议并确认最终方案,"To be honest, ___.",2
