scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
过去的状态,我以前是/有,"I was ___.","我过去是/在___","a student / happy / at home / tired / sick","I was a student last year.",L1,0
过去的状态,我以前是/有,"He/She was ___.","他/她过去___","shy / tall / at work / late / kind / busy","He was very shy before.",L1,1
过去的状态,我以前是/有,"They were ___.","他们过去在/是___","at home / happy / busy / tired / students","They were at home yesterday.",L1,2
过去的状态,我以前是/有,"It was ___.","那时候___","a nice day / cold / fun / great / rainy / hot","It was a nice day yesterday.",L1,3
过去的状态,我以前是/有,"I had ___.","我过去有___","a dog / a car / a bike / long hair / a cold","I had a dog when I was a child.",L1,4
过去的状态,我以前是/有,"She had ___.","她过去有/是___","short hair / glasses / a meeting / a dream","She had long hair last year.",L1,5
过去的状态,我以前是/有,"Were you ___? — Yes, I was. / No, I wasn't.","你那时___吗？","at home / tired / busy / late / happy","Were you at home last night?",L1,6
过去的状态,我以前是/有,"Was he/she ___? — Yes, he/she was.","他/她那时___吗？","at the party / in class / on time / sick","Was she at the party?",L1,7
过去的状态,我以前是/有,"How was ___? — It was ___.","___怎么样？","your weekend / great / the movie / boring / your day / good","How was your weekend? — It was great!",L1,8
过去的状态,我以前是/有,"The ___ was ___.","那个___很___","movie / boring / food / delicious / party / fun","The movie was really boring.",L1,9
过去的状态,我以前是/有,"Where were you ___?","你___在哪？","yesterday / last night / at 8 pm / last weekend","Where were you last night? — I was at home.",L1,10
过去的动作,昨天做了什么,"I ___ at ___.","我___在___","got up / 8 / went to bed / 11 / left / 7","I got up at 8 yesterday.",L1,11
过去的动作,昨天做了什么,"I went to ___.","我去了___","the supermarket / the park / a restaurant / work / school","I went to the supermarket.",L1,12
过去的动作,昨天做了什么,"I ate ___ for ___.","我___吃了___","noodles / lunch / rice / dinner / bread / breakfast","I ate noodles for lunch.",L1,13
过去的动作,昨天做了什么,"I ___ed ___ last ___.","我昨晚___了___","watched / a movie / night / played / basketball / weekend","I watched a movie last night.",L1,14
过去的动作,昨天做了什么,"I ___ed ___ with ___.","我和___一起___了___","played / basketball / my friends / cooked / dinner / my family","I played basketball with my friends.",L1,15
过去的动作,不规则动词专项,"I saw ___ at ___.","我在___看到___","a friend / the mall / my teacher / school / him / the party","I saw a friend at the mall.",L1,16
过去的动作,不规则动词专项,"She said ___.","她说了___","hello / goodbye / thank you / sorry / nothing / yes","She said hello to me.",L1,17
过去的动作,不规则动词专项,"He made ___.","他做了___","a cake / dinner / a mistake / a phone call / a plan","He made a big cake for the party.",L1,18
过去的动作,不规则动词专项,"I did ___.","我做了___","my homework / the dishes / exercise / my best / nothing","I did my homework after school.",L1,19
过去的动作,不规则动词专项,"We had ___.","我们有/度过了___","a great time / a meeting / lunch / fun / a party","We had a great time at the beach.",L1,20
过去的动作,不规则动词专项,"She took ___.","她___了___","a lot of photos / a taxi / a break / the bus / a shower","She took a lot of photos.",L1,21
讲述经历,上个周末/去年,"Last weekend I ___.","上周末我___","visited my grandparents / stayed home / went shopping / cleaned my room","Last weekend I visited my grandparents.",L1,22
讲述经历,上个周末/去年,"Last year I ___.","去年我___","traveled to Japan / started a new job / moved to Beijing / learned to drive","Last year I traveled to Japan.",L1,23
讲述经历,ago 表达,"I ___ ___ ago.","我___前___","lived in Shanghai / two years / started this job / three months","I lived in Shanghai two years ago.",L1,24
讲述经历,某年某事,"We moved to ___ in ___.","我们___年搬到了___","Beijing / 2015 / this apartment / last month / this city / 2020","We moved to this city in 2018.",L1,25
讲述经历,某年某事,"She started ___ when she was ___.","她___岁时开始___","learning English / 10 / playing piano / 6 / working here / 2020","She started learning English when she was 10.",L1,26
讲述经历,某年某事,"I met ___ in/at ___.","我在___认识了___","my best friend / college / my wife / work / him / a party","I met my best friend in college.",L1,27
