scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
日常动词用法：从会认到会用,01 做事：do 与 make,做与制造,do the housework,做家务,L1,do 常用于任务、工作和一般活动。,"[{""en"":""I do the housework on Saturday."",""zh"":""我周六做家务。""}]"
日常动词用法：从会认到会用,01 做事：do 与 make,做与制造,do your best,尽力,L1,表示付出最大努力的固定搭配。,"[{""en"":""Just do your best today."",""zh"":""今天尽力就好。""}]"
日常动词用法：从会认到会用,01 做事：do 与 make,做与制造,make a decision,作决定,L1,make 常用于产生一个结果。,"[{""en"":""We need to make a decision soon."",""zh"":""我们需要尽快作决定。""}]"
日常动词用法：从会认到会用,01 做事：do 与 make,做与制造,make a mistake,犯错误,L1,英语把错误看作产生出来的结果。,"[{""en"":""Everyone makes mistakes."",""zh"":""每个人都会犯错。""}]"
日常动词用法：从会认到会用,02 获得与变化：get,get 的用法,get a message,收到消息,L1,get 可表示收到或获得。,"[{""en"":""I got a message from Leo."",""zh"":""我收到了 Leo 的消息。""}]"
日常动词用法：从会认到会用,02 获得与变化：get,get 的用法,get home,到家,L1,home 前通常不加 to。,"[{""en"":""What time did you get home?"",""zh"":""你几点到家的？""}]"
日常动词用法：从会认到会用,02 获得与变化：get,get 的用法,get ready,准备好,L1,get + 形容词表示进入某种状态。,"[{""en"":""Please get ready to leave."",""zh"":""请准备出发。""}]"
日常动词用法：从会认到会用,02 获得与变化：get,get 的用法,get along with,与……相处融洽,L2,along with 构成表示相处关系的短语动词。,"[{""en"":""I get along with my coworkers."",""zh"":""我和同事相处融洽。""}]"
日常动词用法：从会认到会用,03 拿走与花费：take,take 的用法,take this with you,随身带走这个,L1,take 通常表示从当前地点带走。,"[{""en"":""Take this umbrella with you."",""zh"":""把这把伞带上。""}]"
日常动词用法：从会认到会用,03 拿走与花费：take,take 的用法,take twenty minutes,花二十分钟,L1,take 表示活动所需的时间。,"[{""en"":""The walk takes twenty minutes."",""zh"":""步行需要二十分钟。""}]"
日常动词用法：从会认到会用,03 拿走与花费：take,take 的用法,take some medicine,服药,L1,take 与药物搭配表示服用。,"[{""en"":""Take this medicine after lunch."",""zh"":""午饭后服这种药。""}]"
日常动词用法：从会认到会用,03 拿走与花费：take,take 的用法,take part in,参加,L2,表示参与活动或事件。,"[{""en"":""Would you like to take part in the workshop?"",""zh"":""你想参加工作坊吗？""}]"
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,拥有与保持,have a good time,玩得开心,L1,have 可表示经历一项活动或感受。,"[{""en"":""We had a good time at the party."",""zh"":""我们在聚会上玩得很开心。""}]"
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,拥有与保持,keep the receipt,保留收据,L1,keep 表示继续拥有而不丢弃。,"[{""en"":""Please keep the receipt."",""zh"":""请保留收据。""}]"
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,拥有与保持,keep doing it,继续做这件事,L2,keep + V-ing 表示动作持续或反复。,"[{""en"":""Keep practicing every day."",""zh"":""每天继续练习。""}]"
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,拥有与保持,hold the door,扶住门,L1,hold 表示用手保持物体位置。,"[{""en"":""Could you hold the door for me?"",""zh"":""你能帮我扶一下门吗？""}]"
日常动词用法：从会认到会用,05 给予与传递：give bring send show,给予与传递,give me a call,给我打电话,L1,give + 人 + 名词可表示让对方得到某种行动或体验。,"[{""en"":""Give me a call when you arrive."",""zh"":""到了给我打电话。""}]"
日常动词用法：从会认到会用,05 给予与传递：give bring send show,给予与传递,bring it here,把它带到这里,L1,bring 表示朝说话者或目标参照点带来。,"[{""en"":""Please bring your ID here."",""zh"":""请把证件带到这里。""}]"
日常动词用法：从会认到会用,05 给予与传递：give bring send show,给予与传递,send it to me,把它发给我,L1,send 强调通过某种渠道送出。,"[{""en"":""Can you send the photo to me?"",""zh"":""你能把照片发给我吗？""}]"
日常动词用法：从会认到会用,05 给予与传递：give bring send show,给予与传递,show me how,示范给我看,L1,show 可接人再接内容。,"[{""en"":""Could you show me how this works?"",""zh"":""你能示范一下这个怎么用吗？""}]"
