scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
不规则动词专项,日常起居,核心句块,"I woke up at seven and got out of bed.","我七点醒来并起床。",L2,"wake→woke→woken / get→got→got",[]
不规则动词专项,日常起居,核心句块,"She ate breakfast and drank a cup of tea.","她吃了早餐并喝了一杯茶。",L2,"eat→ate→eaten / drink→drank→drunk",[]
不规则动词专项,日常起居,核心句块,"He sat by the window and stood up to leave.","他坐在窗边，站起来离开。",L2,"sit→sat→sat / stand→stood→stood",[]
不规则动词专项,日常起居,核心句块,"I lay on the sofa, then laid my keys on the table.","我躺在沙发上，然后把钥匙放在桌上。",L2,"lie→lay→lain / lay→laid→laid",[]
不规则动词专项,日常起居,核心句块,"She put the milk in the fridge and shut the door.","她把牛奶放进冰箱并关上门。",L2,"put→put→put / shut→shut→shut",[]
不规则动词专项,日常起居,核心句块,"He set the table and lit a candle.","他摆好桌子并点燃蜡烛。",L2,"set→set→set / light→lit→lit",[]
不规则动词专项,日常起居,核心句块,"I fed the cat, and it bit my hand.","我喂了猫，它咬了我的手。",L2,"feed→fed→fed / bite→bit→bitten",[]
不规则动词专项,日常起居,核心句块,"I awoke early, slept well, and felt great.","我醒得早，睡得好，感觉很好。",L2,"awake→awoke→awoken / sleep→slept→slept / feel→felt→felt",[]
不规则动词专项,来去与移动,核心句块,"I went to work, and Mia came with me.","我去上班，Mia 和我一起。",L2,"go→went→gone / come→came→come",[]
不规则动词专项,来去与移动,核心句块,"She left early and led the team to the airport.","她早早出发，带领团队去机场。",L2,"leave→left→left / lead→led→led",[]
不规则动词专项,来去与移动,核心句块,"He rode a bike, and I drove the car.","他骑自行车，我开汽车。",L2,"ride→rode→ridden / drive→drove→driven",[]
不规则动词专项,来去与移动,核心句块,"We flew to Japan and swam in the sea.","我们飞往日本并在海里游泳。",L2,"fly→flew→flown / swim→swam→swum",[]
不规则动词专项,来去与移动,核心句块,"The sun rose, and the sky became bright.","太阳升起，天空变亮了。",L2,"rise→rose→risen / become→became→become",[]
不规则动词专项,来去与移动,核心句块,"A problem arose, so he leaped into action.","问题出现了，所以他立刻行动。",L2,"arise→arose→arisen / leap→leapt→leapt",[]
不规则动词专项,来去与移动,核心句块,"He sped up, slid on the ice, and fell down.","他加速、在冰上滑行然后摔倒。",L2,"speed→sped→sped / slide→slid→slid / fall→fell→fallen",[]
不规则动词专项,来去与移动,核心句块,"The boat sank, and the news spread fast.","船沉了，消息传得很快。",L2,"sink→sank→sunk / spread→spread→spread",[]
不规则动词专项,感知与思考,核心句块,"I saw the answer and knew it at once.","我看到答案，立刻就明白了。",L2,"see→saw→seen / know→knew→known",[]
不规则动词专项,感知与思考,核心句块,"She heard the news and thought about it.","她听到消息并思考了一下。",L2,"hear→heard→heard / think→thought→thought",[]
不规则动词专项,感知与思考,核心句块,"He understood the question but forgot the answer.","他理解了问题但忘了答案。",L2,"understand→understood→understood / forget→forgot→forgotten",[]
不规则动词专项,感知与思考,核心句块,"I learned a new word and taught it to Ben.","我学了一个新词并教给了 Ben。",L2,"learn→learnt→learnt / teach→taught→taught",[]
不规则动词专项,感知与思考,核心句块,"She read the book and wrote a report.","她读了这本书并写了一篇报告。",L2,"read→read→read / write→wrote→written",[]
不规则动词专项,感知与思考,核心句块,"He spelled the word, and I found the meaning.","他拼出这个词，我找到了含义。",L2,"spell→spelt→spelt / find→found→found",[]
不规则动词专项,感知与思考,核心句块,"The flowers smelled sweet, and I felt happy.","花闻起来很香，我感觉很开心。",L2,"smell→smelt→smelt / feel→felt→felt",[]
不规则动词专项,感知与思考,核心句块,"I dreamed about the test, and it meant a lot.","我梦到考试，这对我意义重大。",L2,"dream→dreamt→dreamt / mean→meant→meant",[]
不规则动词专项,说话与沟通,核心句块,"She said hello and told me the news.","她打了招呼并告诉我这个消息。",L2,"say→said→said / tell→told→told",[]
不规则动词专项,说话与沟通,核心句块,"He spoke slowly and sang a song.","他说得很慢并唱了一首歌。",L2,"speak→spoke→spoken / sing→sang→sung",[]
不规则动词专项,说话与沟通,核心句块,"The phone rang, and I held it to my ear.","电话响了，我把它放到耳边。",L2,"ring→rang→rung / hold→held→held",[]
不规则动词专项,说话与沟通,核心句块,"They broadcast the news, but he swore it was a lie.","他们播报了新闻，但他发誓那是假的。",L2,"broadcast→broadcast→broadcast / swear→swore→sworn",[]
不规则动词专项,说话与沟通,核心句块,"She forbade me to go, but later forgave me.","她禁止我去，但后来原谅了我。",L2,"forbid→forbade→forbidden / forgive→forgave→forgiven",[]
不规则动词专项,说话与沟通,核心句块,"He sent a message and brought a gift.","他发了一条消息并带来一份礼物。",L2,"send→sent→sent / bring→brought→brought",[]
不规则动词专项,说话与沟通,核心句块,"I met Ben, and he showed me around.","我见了 Ben，他带我参观。",L2,"meet→met→met / show→showed→shown",[]
不规则动词专项,说话与沟通,核心句块,"She gave me the file, and I bore the cost.","她给了我文件，我承担了费用。",L2,"give→gave→given / bear→bore→borne",[]
不规则动词专项,金钱与交易,核心句块,"I bought a phone and sold my old one.","我买了一部手机并卖掉了旧的。",L2,"buy→bought→bought / sell→sold→sold",[]
不规则动词专项,金钱与交易,核心句块,"She paid the bill, and it cost a lot.","她付了账单，花了很多钱。",L2,"pay→paid→paid / cost→cost→cost",[]
不规则动词专项,金钱与交易,核心句块,"He spent too much, so he lent me some money.","他花得太多，所以借给我一些钱。",L2,"spend→spent→spent / lend→lent→lent",[]
不规则动词专项,金钱与交易,核心句块,"I took the money and made a small bet.","我拿了钱并打了一个小赌。",L2,"take→took→taken / make→made→made / bet→bet→bet",[]
不规则动词专项,金钱与交易,核心句块,"She dealt with the problem and quit arguing.","她处理了问题并停止争论。",L2,"deal→dealt→dealt / quit→quit→quit",[]
不规则动词专项,金钱与交易,核心句块,"He chose the best deal and won a prize.","他选择了最好的交易并赢了一个奖。",L2,"choose→chose→chosen / win→won→won",[]
不规则动词专项,金钱与交易,核心句块,"Someone stole my bag, and I lost everything.","有人偷了我的包，我失去了一切。",L2,"steal→stole→stolen / lose→lost→lost",[]
不规则动词专项,金钱与交易,核心句块,"We made a deal, and both sides were happy.","我们达成协议，双方都很满意。",L2,"make→made→made / be→was,were→been",[]
不规则动词专项,运动与比赛,核心句块,"He ran fast and threw the ball.","他跑得很快并扔出了球。",L2,"run→ran→run / throw→threw→thrown",[]
不规则动词专项,运动与比赛,核心句块,"She caught the ball and hit it hard.","她接住球并用力击打。",L2,"catch→caught→caught / hit→hit→hit",[]
不规则动词专项,运动与比赛,核心句块,"Our team beat them in the final match.","我们队在决赛中打败了他们。",L2,"beat→beat→beaten",[]
不规则动词专项,运动与比赛,核心句块,"They fought hard and won the game.","他们奋力拼搏并赢得了比赛。",L2,"fight→fought→fought",[]
不规则动词专项,运动与比赛,核心句块,"He shot the ball, but it struck the post.","他射门，但球击中了门柱。",L2,"shoot→shot→shot / strike→struck→struck",[]
不规则动词专项,运动与比赛,核心句块,"She swung the bat and spun around.","她挥动球棒并旋转了一圈。",L2,"swing→swung→swung / spin→spun→spun",[]
不规则动词专项,运动与比赛,核心句块,"They hid the ball and hung the net.","他们把球藏起来并挂好网。",L2,"hide→hid→hidden / hang→hung→hung",[]
不规则动词专项,运动与比赛,核心句块,"They fought, ran, and beat every team.","他们战斗、奔跑，击败了所有队伍。",L2,"fight→fought→fought / run→ran→run / beat→beat→beaten",[]
