scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"留学·宿舍入住",办理入住,办理入住,I'm here to check in.,我是来办理入住的。,L2,入住登记标准用语。,"[{""en"":""Hi, I'm here to check in. My booking is under Li."",""zh"":""你好，我来办理入住，预订姓名是李。"",""level"":""basic""}]"
"留学·宿舍入住",办理入住,办理入住,My booking is under the name...,我的预订名字是...,L2,说明预订人姓名，前台核对预订信息时使用。,
"留学·宿舍入住",办理入住,办理入住,Here is my student ID.,这是我的学生证。,L2,出示学生证作为身份证明。,
"留学·宿舍入住",办理入住,办理入住,Could you tell me where my room is?,能告诉我房间在哪吗？,L2,用 could you 开头更礼貌，前台会告诉你房间号和楼层。,
"留学·宿舍入住",了解设施,了解设施,Is there Wi-Fi in the building?,楼里有Wi-Fi吗？,L2,询问宿舍有无 Wi-Fi。英美宿舍 Wi-Fi 一般用学生账号(eduroam)登录。,
"留学·宿舍入住",了解设施,了解设施,Where is the laundry room?,洗衣房在哪？,L2,询问公共洗衣房位置。英美宿舍洗衣房通常用 App 支付。,
"留学·宿舍入住",了解设施,了解设施,Is there a shared kitchen?,有共享厨房吗？,L2,询问有无公共厨房。记得 label your food(给食物贴标签)。,
"留学·宿舍入住",了解设施,了解设施,How do I get to the campus from here?,从这里怎么去校园？,L1,询问从宿舍到学校的路线。,
"留学·宿舍入住",报修问题,报修问题,I need to report a maintenance issue.,我需要报修一个问题。,L2,报修通用句。紧急情况可以说 it's urgent。,
"留学·宿舍入住",报修问题,报修问题,The heater isn't working.,暖气不热。,L2,报修具体设备——heater(暖气)/light(灯)/sink(水槽)。,
"留学·宿舍入住",报修问题,报修问题,When can someone come to fix it?,什么时候有人来修？,L2,询问维修人员到达时间。,
"留学·宿舍入住",报修问题,报修问题,Is there an app for maintenance requests?,有报修的 App 吗？,L2,很多英美大学用 App 提交报修请求。,
"留学·宿舍入住",签收快递,签收快递,I have a package to pick up.,我有快递要领。,L1,去前台领快递的标准说法。,
"留学·宿舍入住",签收快递,签收快递,Do I need to sign for it?,我需要签字吗？,L1,询问是否需要签字签收。sign for it = 签字领取。,
"留学·宿舍入住",签收快递,签收快递,Where do I pick up deliveries?,我在哪取快递/外卖？,L1,delivery 包括快递和外卖。通常前台代收。,
"留学·认识室友",初次见面,初次见面,It's nice to meet you.,很高兴认识你。,L1,初次见面时的标准礼貌用语。回应: Nice to meet you too。,
"留学·认识室友",初次见面,初次见面,I'm from... / I just moved in.,我来自... / 我刚搬进来。,L1,介绍自己来自哪里、刚搬来。flatmate 比 roommate 更准确。,
"留学·认识室友",初次见面,初次见面,My major is... / I'm studying...,我的专业是... / 我在学...,L1,介绍专业。如果名称复杂，说 I'm studying... 即可。,
"留学·认识室友",聊家乡与爱好,聊家乡与爱好,What do you do in your free time?,你空闲时间做什么？,L1,询问兴趣爱好，比直接问 hobbies 更自然。,
"留学·认识室友",聊家乡与爱好,聊家乡与爱好,I'm into... (photography / cooking / hiking).,我喜欢...(摄影/做饭/徒步)。,L2,I'm into... 比 I like... 更地道。聊爱好是很好的破冰话题。,
"留学·认识室友",聊家乡与爱好,聊家乡与爱好,Have you tried... (Chinese food / hotpot)?,你试过...(中国菜/火锅)吗？,L2,聊食物是万能的社交话题。可以顺势邀请一起做饭。,
