scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
基础②·日常习惯,我每天做什么,I ___ every morning.,我每天早上... ,"eat breakfast, drink coffee, go to school",I eat breakfast every morning.,L1,0
基础②·日常习惯,我每天做什么,I ___ at night.,我晚上... ,"read books, watch TV, study",I read books at night.,L1,1
基础②·日常习惯,我每天做什么,I don't ___.,我不...,"eat meat, drink coffee, smoke",I don't eat meat.,L1,2
基础②·日常习惯,我的日常动作,I ___ on weekends.,我周末...,"play football, stay home, go out",I play football on weekends.,L1,0
基础②·日常习惯,我的日常动作,I ___ every day.,我每天...,"study English, do homework, work",I study English every day.,L1,1
基础②·日常习惯,我的日常动作,I ___ in the ___.,我在...做...,"listen to music, car",I listen to music in the car.,L1,2
基础②·喜好需求,我喜欢/我想要,I like ___.,我喜欢...,"coffee, cats, music, sports",I like coffee.,L1,0
基础②·喜好需求,我喜欢/我想要,I like to ___.,我喜欢做...,"read, swim, travel, cook",I like to read.,L1,1
基础②·喜好需求,我喜欢/我想要,I want ___.,我想要...,"a new phone, a car, a job",I want a new phone.,L1,2
基础②·喜好需求,我喜欢/我想要,I want to ___.,我想做...,"learn Spanish, travel, sleep",I want to learn Spanish.,L1,3
基础②·喜好需求,我喜欢/我想要,I need ___.,我需要...,"help, water, a break",I need help.,L1,4
基础②·喜好需求,我喜欢/我想要,I need to ___.,我需要做...,"go, sleep, study, leave",I need to go.,L1,5
基础②·喜好需求,我有什么,I have ___.,我有...,"a brother, two cats, a car",I have a brother.,L1,0
基础②·喜好需求,我有什么,Do you have ___?,你有...吗？,"a pen, time, any questions",Do you have a pen?,L1,1
基础②·喜好需求,我有什么,I don't have ___.,我没有...,"a car, a phone, siblings",I don't have a car.,L1,2
基础②·日程安排,我几点做...,I ___ at ___.,我...点...,"get up, 7",I get up at 7.,L1,0
基础②·日程安排,我几点做...,I ___ in the ___.,我在...做...,"take a shower, morning",I take a shower in the morning.,L1,1
基础②·日程安排,去...做...,I go to ___ by ___.,我乘...去...,"work, bus","I go to work by bus.",L1,0
基础②·日程安排,去...做...,I help ___ with ___.,我帮...做...,"my mom, housework","I help my mom with housework.",L1,1
"基础·起床与洗漱",起床与洗漱,"Time to ___.",该...了,wake up, get up, go,Time to wake up!,L1,0
"基础·起床与洗漱",起床与洗漱,"I need to ___.",我需要...,brush my teeth, wash my face, comb my hair,I need to brush my teeth.,L1,1
"基础·起床与洗漱",起床与洗漱,"I ___ at 7 every morning.",我每天早上7点...,get up, wake up, have breakfast,I get up at 7 every morning.,L1,2
"基础·起床与洗漱",早餐与出门,"What's for ___?",...吃什么？,breakfast, lunch, dinner,What's for breakfast?,L1,3
"基础·起床与洗漱",早餐与出门,"I'll have ___ and ___.",我吃...和...,toast / eggs, cereal / milk, bread / butter,I'll have toast and eggs.,L1,4
"基础·起床与洗漱",早餐与出门,"Have a nice ___!",祝...愉快！,day, weekend, trip,Have a nice day!,L1,5
"基础·家务与居家",家务劳动,"I need to ___ the ___.",我需要...,clean / room, wash / dishes, sweep / floor,I need to clean the room.,L1,6
"基础·家务与居家",家务劳动,"Please ___ the ___.",请...,take out / trash, fold / clothes, water / plants,Please take out the trash.,L1,7
"基础·家务与居家",居家休息,"Let's ___ a ___.",我们...吧,watch / movie, listen to / song, play / game,Let's watch a movie.,L1,8
"基础·家务与居家",居家休息,"I'm going to ___.",我去...,take a nap, cook dinner, read a book,I'm going to take a nap.,L1,9
基础②·购物与出行,购物消费,I want to buy ___.,我想买...,a new shirt, shoes, a gift, some food, a book,I want to buy a new shirt.,L1,10
基础②·购物与出行,购物消费,How much is ___? — It's ___.,...多少钱？,this / 50 yuan, that / 100 yuan, the red one / 200 yuan,How much is this? — It's 50 yuan.,L1,11
基础②·购物与出行,购物消费,Can I try ___ on? — Sure.,我可以试穿...吗？,this jacket, these shoes, that dress, those pants,Can I try this on? — Sure.,L1,12
基础②·购物与出行,购物消费,This is too ___.,这个太...,expensive, big, small, tight, long, short,This is too expensive.,L1,13
基础②·购物与出行,天气与出行,It's ___ today. Let's ___!,今天...我们...吧！,"sunny, go out; rainy, stay in; windy, fly a kite",It's sunny today. Let's go out!,L1,14
基础②·购物与出行,天气与出行,What's the weather like? — It's ___.,天气怎么样？——...,"warm, sunny; hot, humid; cold, cloudy",What's the weather like? — It's warm and sunny.,L1,15
基础②·购物与出行,天气与出行,I take the ___ to ___.,我坐...去...,"bus, work; subway, school; train, the airport; taxi, downtown",I take the bus to work.,L1,16
基础②·餐饮与社交,在外就餐,Can I have ___ please? — Sure.,请给我...好吗？,"the menu; a glass of water; the bill",Can I have the menu please?,L1,17
基础②·餐饮与社交,在外就餐,I want to order ___.,我想点...,"a pizza and a salad; a burger and fries; noodles and soup",I want to order a pizza and a salad.,L1,18
基础②·餐饮与社交,在外就餐,The ___ is ___! — I love it.,...真是...！,"food, delicious; soup, hot; cake, sweet; coffee, strong",The food is delicious! I love it.,L1,19
基础②·餐饮与社交,通讯与联络,I call ___ every ___.,我每...给...打电话。,"my mom, day; my friend, weekend; my parents, evening",I call my mom every day.,L1,20
基础②·餐饮与社交,通讯与联络,Let's meet at ___ at ___.,我们...在...见面。,"the coffee shop, 3 pm; the station, 5 pm; the park, noon",Let's meet at the coffee shop at 3 pm.,L1,21
