scene_title,category,text,meaning,difficulty,description,examples_json,applicable_scenes_json
预约看病,预约看病,I'd like to make an appointment.,我想预约。,L2,,,
预约看病,预约看病,I'm not feeling well.,我感觉不舒服。,L1,,,
预约看病,预约看病,I have a sore throat / fever / cough.,我喉咙痛/发烧/咳嗽。,L2,,,
预约看病,预约看病,What time should I come in?,我什么时间过来？,L1,,,
预约看病,预约看病,Can I see Dr. Smith?,我能看史密斯医生吗？,L2,,,
预约看病,预约看病,I need to reschedule my appointment.,我需要改预约时间。,L2,,,
预约看病,预约看病,Is this covered by my insurance?,这个保险能报销吗？,L3,,,
药房买药,药房买药,Do you have anything for a cold?,有感冒药吗？,L1,,,
药房买药,药房买药,How many times a day should I take this?,这个一天吃几次？,L1,,,
药房买药,药房买药,Do I need a prescription for this?,这个需要处方吗？,L2,,,
药房买药,药房买药,Could you recommend something for a headache?,能推荐治头痛的药吗？,L1,,,
药房买药,药房买药,What are the side effects?,有什么副作用？,L2,,,
药房买药,药房买药,Is there a generic version?,有仿制药吗？,L3,,,
