scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown_file,ink_script_key
基础句子类型与连接,先把一句话说清楚,Describe a simple situation in clear English.,用最基本的英语词序说明谁做了什么、发生了什么。,600,L1,先搭出完整句子，再补时间地点和原因。,"basic word order; subject; verb; object; adverbials",先把一句话说清楚.md,
基础句子类型与连接,把想知道的问出来,Ask for a person place time reason and choice.,用一般疑问句和疑问词问出你真正缺少的信息。,600,L1,助动词提前；wh- 问句；主语问句。,"questions; do be have; wh-words; word order",把想知道的问出来.md,
基础句子类型与连接,自然地说不,Correct a misunderstanding and say what is not true.,否定事实、习惯和正在发生的事，而不把否定词放错位置。,600,L1,not; do not; be not; have not。,"negatives; auxiliary verbs; correction",自然地说不.md,
基础句子类型与连接,难道不是吗？,React to an expectation and check what you believe is true.,用否定疑问句表达惊讶、期待或确认；理解 think/hope/seem 的否定位置。,720,L2,negative questions; transferred negation; expectation。,"negative questions; think; hope; seem",难道不是吗.md,
基础句子类型与连接,避免双重否定和误会,Explain what you mean without creating an unclear negative.,识别多重否定和否定范围，改写成听者不容易误解的句子。,720,L2,multiple negatives; negative scope; ambiguity。,"multiple negatives; scope; clarity",避免双重否定和误会.md,
基础句子类型与连接,在否定句里选对词,Ask and answer naturally with any ever yet and either.,在否定、疑问和条件语境中使用 any、ever、yet、either 等非肯定词。,720,L2,non-affirmative words; any; ever; yet; either。,"any; ever; yet; either; negatives",在否定句里选对词.md,
基础句子类型与连接,感叹、提醒和指令,React with feeling and give clear everyday instructions.,用感叹句表达反应，用祈使句给出直接但自然的提醒或指令。,600,L1,what/how exclamations; imperatives; please; do not。,"exclamations; imperatives; tone",感叹、提醒和指令.md,
基础句子类型与连接,让我们和让他做,Make suggestions and give permission with let.,用 let’s、let me、let him/her 完成建议、请求许可和允许他人行动。,600,L1,let; let's; let me; let + object。,"let; suggestions; permission",让我们和让他做.md,
基础句子类型与连接,用 and but or 接住下一句,Combine plans reasons and alternatives without losing the logic.,用 and、but、or 把两个平等的意思连接起来。,600,L1,coordination; and; but; or。,"coordinating conjunctions; contrast; choice",用 and but or 接住下一句.md,
基础句子类型与连接,两个选择都说清楚,Compare options with both either neither and not only.,用成对连词说明包含、选择和排除，而不是让句子失去平衡。,720,L2,both and; either or; neither nor; not only but also。,"paired conjunctions; parallel structure",两个选择都说清楚.md,
基础句子类型与连接,让一句话说明原因和条件,Explain time reason condition and contrast in one connected message.,用 because、if、when、although 等让从句服务于主句的交流目的。,720,L2,subordinate clauses; because; if; when; although。,"subordinate clauses; cause; condition; time; contrast",让一句话说明原因和条件.md,
基础句子类型与连接,介词后面和从句里的选择,Ask about a person or thing after a preposition and keep the clause natural.,处理 who/which/what 在介词后的位置，并避免从句里重复倒装。,720,L3,preposition plus wh-word; clause word order。,"prepositions; wh-words; embedded clauses",介词后面和从句里的选择.md,
基础句子类型与连接,建议、假设与简化时间,Make a formal suggestion and talk about an unreal possibility.,理解建议后的 that 从句、if I were 和时间从句中的时态选择。,720,L3,subjunctive; if I were; time clauses; tense simplification。,"subjunctive; unreal conditionals; time clauses",建议、假设与简化时间.md,
