scene_title,topic_title,text,sort_order
常用英语500句 · 进阶篇,评价、保留与不完全同意,"Oh,you are kidding me.",1
常用英语500句 · 进阶篇,评价、保留与不完全同意,That's always the case.,2
常用英语500句 · 进阶篇,评价、保留与不完全同意,It's the best of both worlds.,3
常用英语500句 · 进阶篇,评价、保留与不完全同意,He has a sense of humor.,4
常用英语500句 · 进阶篇,评价、保留与不完全同意,You suck.,5
常用英语500句 · 进阶篇,评价、保留与不完全同意,Don't cry over spilled milk.,6
常用英语500句 · 进阶篇,评价、保留与不完全同意,give him the benefit of the doubt.,7
常用英语500句 · 进阶篇,评价、保留与不完全同意,You should have seen yourself.,8
常用英语500句 · 进阶篇,附和、补充与换角度看,I bet you do.,1
常用英语500句 · 进阶篇,附和、补充与换角度看,I bet it felt good.,2
常用英语500句 · 进阶篇,附和、补充与换角度看,You're really killing me!,3
常用英语500句 · 进阶篇,附和、补充与换角度看,It rather surprised me.,4
常用英语500句 · 进阶篇,附和、补充与换角度看,They seem like nice people.,5
常用英语500句 · 进阶篇,附和、补充与换角度看,Mark my words.,6
常用英语500句 · 进阶篇,附和、补充与换角度看,"East,west,home is best.",7
常用英语500句 · 进阶篇,附和、补充与换角度看,"All for one,one for all.",8
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Don't talk to me like that.,1
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Don't lie to me.,2
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,None of your business.,3
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Out of my way.,4
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Get out of here.,5
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Get away from me.,6
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Watch who you go accusing.,7
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Leave me alone.,8
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,Cut it out.,9
常用英语500句 · 进阶篇,边界、缓和与轻度拒绝,What's your problem?,10
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,For crying out loud!,1
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,For god's sake.,2
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,What kind of a person does that.,3
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,Pardon my French.,4
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,You are a chicken.,5
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,Set me up.,6
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,He was caught red-handed.,7
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,I'm an open book.,8
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,In a what?,9
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,Close your eyes.,10
常用英语500句 · 进阶篇,惊喜、吐槽与情绪接话,"Please stop staring, dear.",11
常用英语500句 · 进阶篇,关系感受与疲惫表达,He doesn't care about me.,1
常用英语500句 · 进阶篇,关系感受与疲惫表达,I would do anything for you.,2
常用英语500句 · 进阶篇,关系感受与疲惫表达,I felt no regret for it.,3
常用英语500句 · 进阶篇,关系感受与疲惫表达,The child sobbed sadly.,4
常用英语500句 · 进阶篇,关系感受与疲惫表达,Such a wonderful age.,5
常用英语500句 · 进阶篇,关系感受与疲惫表达,We all desire happiness,6
常用英语500句 · 进阶篇,关系感受与疲惫表达,Let's bury the hatchet.,7
常用英语500句 · 进阶篇,决定、行动与惯用提醒,What's your goal in life?,1
常用英语500句 · 进阶篇,决定、行动与惯用提醒,He is looking for a job.,2
常用英语500句 · 进阶篇,决定、行动与惯用提醒,I meet the boss himself.,3
常用英语500句 · 进阶篇,决定、行动与惯用提醒,You mustn't aim too high,4
常用英语500句 · 进阶篇,决定、行动与惯用提醒,And you know nothing.,5
常用英语500句 · 进阶篇,态度、立场与口语惯用语,How dare you.,1
常用英语500句 · 进阶篇,态度、立场与口语惯用语,Shame on you.,2
常用英语500句 · 进阶篇,态度、立场与口语惯用语,Don't touch me.,3
常用英语500句 · 进阶篇,态度、立场与口语惯用语,Shut up.,4
常用英语500句 · 进阶篇,态度、立场与口语惯用语,Cut the crap.,5
常用英语500句 · 进阶篇,态度、立场与口语惯用语,Get over yourself.,6
常用英语500句 · 进阶篇,态度、立场与口语惯用语,Get a life.,7
常用英语500句 · 进阶篇,态度、立场与口语惯用语,Do as I say.,8
常用英语500句 · 进阶篇,说明情况、补救与确认,Is the cut still painful?,1
常用英语500句 · 进阶篇,说明情况、补救与确认,Remember what the doctor said.,2
常用英语500句 · 进阶篇,说明情况、补救与确认,He owned himself defeated.,3
常用英语500句 · 进阶篇,说明情况、补救与确认,I have the right to know,4
常用英语500句 · 进阶篇,说明情况、补救与确认,As he likes to remind me.,5
常用英语500句 · 进阶篇,说明情况、补救与确认,show it to me.,6
常用英语500句 · 进阶篇,说明情况、补救与确认,He grasped both my hands,7
常用英语500句 · 进阶篇,说明情况、补救与确认,I will never forget it.,8
