chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
1,过去的状态,1,我以前是/有,过去的状态,L1,beginner,25,50,7,14,"[""掌握was/were肯定和否定""]",1,5,4,Emma,老师,false,past_state_be,"{""xp"":50}"
1,过去的状态,2,昨天在哪里/怎么样,过去的状态,L1,beginner,25,50,7,14,"[""用was/were完成疑问和描述""]",1,5,4,Mia,朋友,false,past_state_where,"{""xp"":50}"
2,过去的动作,1,昨天做了什么,过去的动作,L1,beginner,25,50,7,14,"[""用不规则动词描述过去动作""]",1,5,4,Lin,学员,false,past_action_yday,"{""xp"":50}"
2,过去的动作,2,不规则动词与规则-ed,过去的动作,L1,beginner,25,50,7,14,"[""区分不规则动词和规则-ed""]",1,5,4,Ben,同事,false,past_action_irreg,"{""xp"":50}"
3,讲述经历,1,上个周末/去年,讲述经历,L1,beginner,25,50,7,14,"[""用Last/ago/in年份讲述经历""]",1,5,4,Mia,朋友,false,past_exp_weekend,"{""xp"":50}"
3,讲述经历,2,否定和疑问,讲述经历,L1,beginner,25,50,7,14,"[""掌握否定和Did问答""]",1,5,4,Ben,同事,false,past_exp_did,"{""xp"":50}"
4,完成时入门,1,去过/做过,完成时入门,L1,beginner,25,50,7,14,"[""用have been to表达经历""]",1,5,4,Emma,老师,false,past_perf_been,"{""xp"":50}"
4,完成时入门,2,刚刚/还没/多久了,完成时入门,L1,beginner,25,50,7,14,"[""用just/yet/for/since完成完成时""]",1,5,4,Lin,学员,false,past_perf_yet,"{""xp"":50}"
5,过去与现在对比,1,回忆过去/used to,过去与现在对比,L1,beginner,25,50,7,14,"[""用used to和remember对比过去""]",1,5,4,Mia,朋友,false,past_comp_memory,"{""xp"":50}"
5,过去与现在对比,2,今昔对比,过去与现在对比,L1,beginner,25,50,7,14,"[""完成今昔对比综合表达""]",1,5,4,Emma,老师,false,past_comp_lookback,"{""xp"":80}"
