scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
基础⑥·过去的状态,我以前是/有,Practice using was/were/had to describe past states and possessions.,练习用was/were/had描述过去的状态和拥有。,35,L1,掌握was/were的肯定否定疑问和have→had过去式。,过去时 was were had 状态 过去,"## was / were 过去状态
- I was a student last year. (我去年是学生)
- He was very shy before. (他以前很害羞)
- They were at home yesterday. (他们昨天在家)

## had 过去拥有
- I had a dog when I was a child. (我小时候有只狗)
- She had long hair last year. (她去年是长发)

## 过去描述
- It was a nice day yesterday. (昨天天气很好)
- I was happy with the result. (我对结果很满意)",practice_foundation-social-express_过去的状态_我以前是有
基础⑥·过去的状态,昨天在哪里,Practice asking and answering about past locations and feelings.,练习询问和回答过去的位置和感受。,35,L1,掌握Where were you? / Were you...? 过去疑问句。,过去 位置 感受 疑问 回答,"## Where were you? 问过去的所在
- Where were you last night? — I was at home.
- Were you at home last night? — Yes, I was.

## 位置表达
- I was at the office all day. (我一整天都在办公室)
- Was she at the party? — No, she wasn't.

## 过去评价
- How was your weekend? — It was great!
- The movie was really boring.
- Was it cold yesterday?",practice_foundation-social-express_过去的状态_昨天在哪里
基础⑥·过去的状态,过去的感受,Practice describing past feelings and emotions.,练习描述过去的感受和情绪。,35,L1,掌握用was/were+形容词表达过去感受。,过去 感受 情绪 形容词,"## 过去感受描述
- I was happy with the result. (我对结果很满意)
- I was tired after work. (下班后我很累)
- She was excited about the trip. (她对旅行很兴奋)

## 询问感受
- How was your weekend? — It was great!
- Was it fun? — Yes, it was fun.
- Were you nervous? — A little bit.",practice_foundation-social-express_过去的状态_过去的感受
基础⑥·过去的状态,过去的外表,Practice describing past appearance and physical traits.,练习描述过去的外表和特征。,35,L1,掌握用was/were/had描述过去的外表。,过去 外表 特征 描述,"## 过去外表描述
- He was very shy before. (他以前很害羞)
- She had long hair last year. (她去年是长发)
- I had glasses when I was a child. (我小时候戴眼镜)

## 过去vs现在
- He used to be short, but now he is tall.
- She had short hair, but now she has long hair.",practice_foundation-social-express_过去的状态_过去的外表
基础⑥·过去的状态,过去的天气和日子,Practice describing past weather and days.,练习描述过去的天气和日子。,35,L1,掌握用It was...描述过去天气。,过去 天气 日子 描述,"## 过去天气
- It was a nice day yesterday. (昨天天气很好)
- Was it cold yesterday? (昨天冷吗？)
- It was rainy all day. (下了一整天雨)

## 过去评价
- The movie was really boring. (那部电影真的很无聊)
- The party was fun! (派对很好玩！)
- The food was delicious. (食物很美味)",practice_foundation-social-express_过去的状态_过去的天气和日子
基础⑥·过去的动作,昨天做了什么,Practice describing past actions with regular -ed verbs.,练习用规则动词过去式描述过去的动作。,35,L1,掌握规则动词加ed的读音和拼写。,过去时 ed 发音 规则动词,"## 规则动词过去式 (-ed)
- I watched a movie last night. (我昨晚看了一部电影)
- I played basketball with my friends. (我和朋友打了篮球)
- I studied for two hours. (我学习了两个小时)
- I cooked dinner for my family. (我给家人做了晚饭)

## 日常生活动作
- I got up at 8 yesterday. (我昨天8点起床)
- I went to the supermarket. (我去了超市)
- I ate noodles for lunch. (我午饭吃了面条)",practice_foundation-social-express_过去的动作_昨天做了什么
基础⑥·过去的动作,不规则动词,Practice 30 common irregular past tense verbs.,练习30个核心不规则动词过去式。,40,L1~L2,掌握went/ate/had/did/saw/said/got等不规则变化。,不规则动词 过去式 核心动词,"## 高频不规则动词
- I saw a friend at the mall. (我在商场看到一个朋友)
- She said hello to me. (她跟我打了招呼)
- I got a new phone last week. (我上周买了新手机)
- He made a big cake for the party. (他为派对做了大蛋糕)
- I did my homework after school. (我放学后做了作业)
- We had a great time at the beach. (我们在海滩玩得很开心)
- She took a lot of photos. (她拍了很多照片)
- He came home very late. (他很晚才回家)",practice_foundation-social-express_过去的动作_不规则动词
基础⑥·过去的动作,规则动词 -ed,Practice regular past tense verb endings and pronunciation.,练习规则动词过去式的三种发音。,35,L1,掌握-ed的三种发音：/t/ /d/ /ɪd/。,规则动词 ed 发音 t d id,"## 三种发音
- /t/: watched, cooked, helped, talked, finished
- /d/: played, studied, called, lived, cleaned
- /ɪd/: wanted, needed, started, visited, decided

## 拼写规则
- work→worked (直接+ed)
- study→studied (y→ied)
- stop→stopped (双写+ed)
- like→liked (直接+d)",practice_foundation-social-express_过去的动作_规则动词ed
基础⑥·过去的动作,过去的时间表达,Practice past time expressions: yesterday/last/ago.,练习过去时间表达：yesterday/last/ago。,35,L1~L2,掌握常见过去时间标志词。,过去 时间 表达 昨天 去年,"## 时间词
- yesterday (昨天)
- last night / last week / last month / last year
- two days ago / three months ago / a year ago
- in 2018 / in 2020 / when I was a child

## 例句
- I went to the park yesterday.
- I moved here in 2018.
- I started this job three months ago.",practice_foundation-social-express_过去的动作_过去的时间表达
基础⑥·过去的动作,过去频率,Practice expressing frequency in the past.,练习表达过去的频率。,35,L1,掌握always/usually/often等表示过去频率的副词。,过去 频率 副词 always usually,"## 过去频率
- I always watched TV after school. (我放学总看电视)
- I usually ate breakfast at 7. (我通常7点吃早餐)
- I often played with friends. (我经常和朋友玩)
- I sometimes went to the library. (我有时去图书馆)

## 句型
- I always ___ when I was a ___.",practice_foundation-social-express_过去的动作_过去频率
