scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
日常动词用法：从会认到会用,01 做事：do 与 make,task,任务,noun,/tæsk/,/tɑːsk/,L1,需要完成的一项工作。,"[{""en"":""This is an easy task to do."",""zh"":""这是一项容易完成的任务。""}]",0
日常动词用法：从会认到会用,01 做事：do 与 make,result,结果,noun,/rɪˈzʌlt/,/rɪˈzʌlt/,L1,行动产生的结果。,"[{""en"":""Making a plan produces a result."",""zh"":""制定计划会产生结果。""}]",1
日常动词用法：从会认到会用,02 获得与变化：get,receive,收到,verb,/rɪˈsiːv/,/rɪˈsiːv/,L1,得到别人送来或发来的东西。,"[{""en"":""Did you receive my message?"",""zh"":""你收到我的消息了吗？""}]",0
日常动词用法：从会认到会用,02 获得与变化：get,become,变成,verb,/bɪˈkʌm/,/bɪˈkʌm/,L1,进入新的状态。,"[{""en"":""It is becoming colder."",""zh"":""天气正在变冷。""}]",1
日常动词用法：从会认到会用,03 拿走与花费：take,carry,携带,verb,/ˈkæri/,/ˈkæri/,L1,拿着或带着物品移动。,"[{""en"":""Can you carry this box?"",""zh"":""你能搬这个箱子吗？""}]",0
日常动词用法：从会认到会用,03 拿走与花费：take,consume,消耗,verb,/kənˈsuːm/,/kənˈsjuːm/,L2,用掉时间、能量或资源。,"[{""en"":""The task consumes time."",""zh"":""这项任务耗费时间。""}]",1
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,possession,拥有物,noun,/pəˈzeʃən/,/pəˈzeʃən/,L2,某人拥有或控制的东西。,"[{""en"":""The key is in my possession."",""zh"":""钥匙在我这里。""}]",0
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,continue,继续,verb,/kənˈtɪnjuː/,/kənˈtɪnjuː/,L1,使动作保持下去。,"[{""en"":""Continue reading the page."",""zh"":""继续阅读这一页。""}]",1
日常动词用法：从会认到会用,05 给予与传递：give bring send show,transfer,传递,verb,/trænsˈfɜːr/,/trænsˈfɜː/,L2,让东西从一人或一处转到另一人或另一处。,"[{""en"":""Transfer the file to Mia."",""zh"":""把文件传给 Mia。""}]",0
日常动词用法：从会认到会用,05 给予与传递：give bring send show,recipient,接收者,noun,/rɪˈsɪpiənt/,/rɪˈsɪpiənt/,L2,收到物品或信息的人。,"[{""en"":""Check the recipient before sending it."",""zh"":""发送前检查接收者。""}]",1
