id,en,zh,topic,difficulty
1,"What's up?","你好/怎么啦？（打招呼）","问候与寒暄",L1
2,"I see.","我明白","观点、同意与评价",L1
3,"Shut up.","闭嘴","请求、指令与许可",L1
4,"Not bad.","还不错","观点、同意与评价",L1
5,"I'll do my best.","我会尽全力","日常陈述与事务",L2
6,"Take it easy.","放轻松","情绪与安慰",L1
7,"On my way.","我在路上了","日常陈述与事务",L1
8,"Are you serious?","你是认真的吗？","疑问、澄清与确认",L1
9,"See you later.","待会见","问候与寒暄",L1
10,"Good job.","做的好","感谢、道歉与祝福",L1
11,"What's going on?","怎么回事？","疑问、澄清与确认",L1
12,"I promise.","我保证","日常陈述与事务",L1
13,"I can't breathe.","我无法呼吸","日常陈述与事务",L1
14,"Absolutely.","肯定的","观点、同意与评价",L1
15,"None of your business.","这不关你事","观点、同意与评价",L2
16,"My turn.","轮到我了","日常陈述与事务",L1
17,"Who's turn?","该谁了？","疑问、澄清与确认",L1
18,"Watch out.","当心","请求、指令与许可",L1
19,"Be careful.","小心","请求、指令与许可",L1
20,"Not yet.","还没","观点、同意与评价",L1
21,"Congratulations.","恭喜","感谢、道歉与祝福",L1
22,"Trust me.","相信我","请求、指令与许可",L1
23,"Proud of you.","为你骄傲","感谢、道歉与祝福",L1
24,"Do me a favor.","帮我个忙","请求、指令与许可",L2
25,"My fault.","我的错","感谢、道歉与祝福",L1
26,"It's a big deal.","这是个大事","观点、同意与评价",L2
27,"How's it going!","最近怎么样","问候与寒暄",L1
28,"Are you kidding?","你在开玩笑吧？","疑问、澄清与确认",L1
29,"Unbelievable.","难以置信","情绪与安慰",L1
30,"I hope so.","我希望如此","观点、同意与评价",L1
31,"I miss you.","我想你","情绪与安慰",L1
32,"What did I miss?","我错过什么啦？","疑问、澄清与确认",L2
33,"Take care.","保重","问候与寒暄",L1
34,"What's your problem?","你有毛病吧？","疑问、澄清与确认",L1
35,"I screwed up.","我搞砸了","情绪与安慰",L1
36,"I'll make it up to you.","我会补偿你的","情绪与安慰",L2
37,"Leave me alone.","离我远点","请求、指令与许可",L1
38,"Awesome.","太好了","情绪与安慰",L1
