scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
基础⑧·并列与转折,and 并列连接,"Practice and, both...and, not only...but also in a short spoken response.",练习使用and / both...and / not only...but also完成简短口语表达。,35,L2,掌握and 并列连接的核心用法。,and / both...and / not only...but also,"## and 并列连接

核心表达：and / both...and / not only...but also",
基础⑧·并列与转折,or 选择连接,"Practice or, either...or, neither...nor in a short spoken response.",练习使用or / either...or / neither...nor完成简短口语表达。,35,L2,掌握or 选择连接的核心用法。,or / either...or / neither...nor,"## or 选择连接

核心表达：or / either...or / neither...nor",
基础⑧·并列与转折,but 转折连接,"Practice but, yet, nevertheless in a short spoken response.",练习使用but / yet / nevertheless完成简短口语表达。,35,L2,掌握but 转折连接的核心用法。,but / yet / nevertheless,"## but 转折连接

核心表达：but / yet / nevertheless",
基础⑧·并列与转折,however 对比,"Practice however, in contrast, on the other hand in a short spoken response.",练习使用however / in contrast / on the other hand完成简短口语表达。,35,L2,掌握however 对比的核心用法。,however / in contrast / on the other hand,"## however 对比

核心表达：however / in contrast / on the other hand",
基础⑧·并列与转折,递进表达,"Practice not only...but also, what's more in a short spoken response.",练习使用not only...but also / what's more完成简短口语表达。,35,L2,掌握递进表达的核心用法。,not only...but also / what's more,"## 递进表达

核心表达：not only...but also / what's more",
基础⑧·因果与条件,because 原因,"Practice because, since, as, due to in a short spoken response.",练习使用because / since / as / due to完成简短口语表达。,35,L2,掌握because 原因的核心用法。,because / since / as / due to,"## because 原因

核心表达：because / since / as / due to",
基础⑧·因果与条件,so 结果,"Practice so, therefore, thus, as a result in a short spoken response.",练习使用so / therefore / thus / as a result完成简短口语表达。,35,L2,掌握so 结果的核心用法。,so / therefore / thus / as a result,"## so 结果

核心表达：so / therefore / thus / as a result",
基础⑧·因果与条件,if 条件,"Practice if, provided that, in case in a short spoken response.",练习使用if / provided that / in case完成简短口语表达。,35,L2,掌握if 条件的核心用法。,if / provided that / in case,"## if 条件

核心表达：if / provided that / in case",
基础⑧·因果与条件,unless 除非,"Practice unless, otherwise, or else in a short spoken response.",练习使用unless / otherwise / or else完成简短口语表达。,35,L2,掌握unless 除非的核心用法。,unless / otherwise / or else,"## unless 除非

核心表达：unless / otherwise / or else",
基础⑧·因果与条件,as long as 只要,"Practice as long as, so long as, only if in a short spoken response.",练习使用as long as / so long as / only if完成简短口语表达。,35,L2,掌握as long as 只要的核心用法。,as long as / so long as / only if,"## as long as 只要

核心表达：as long as / so long as / only if",
基础⑧·时间与顺序,when 时间从句,"Practice when, whenever, as soon as in a short spoken response.",练习使用when / whenever / as soon as完成简短口语表达。,35,L2,掌握when 时间从句的核心用法。,when / whenever / as soon as,"## when 时间从句

核心表达：when / whenever / as soon as",
基础⑧·时间与顺序,before/after 前后,"Practice before, after, right after in a short spoken response.",练习使用before / after / right after完成简短口语表达。,35,L2,掌握before/after 前后的核心用法。,before / after / right after,"## before/after 前后

核心表达：before / after / right after",
基础⑧·时间与顺序,while 同时,"Practice while, meanwhile, as in a short spoken response.",练习使用while / meanwhile / as完成简短口语表达。,35,L2,掌握while 同时的核心用法。,while / meanwhile / as,"## while 同时

核心表达：while / meanwhile / as",
基础⑧·时间与顺序,until 直到,"Practice until, till, not...until in a short spoken response.",练习使用until / till / not...until完成简短口语表达。,35,L2,掌握until 直到的核心用法。,until / till / not...until,"## until 直到

核心表达：until / till / not...until",
基础⑧·时间与顺序,时间顺序链,"Practice first, then, after that, finally in a short spoken response.",练习使用first / then / after that / finally完成简短口语表达。,35,L2,掌握时间顺序链的核心用法。,first / then / after that / finally,"## 时间顺序链

核心表达：first / then / after that / finally",
基础⑧·举例与补充,for example 举例,"Practice for example, for instance, such as in a short spoken response.",练习使用for example / for instance / such as完成简短口语表达。,35,L2,掌握for example 举例的核心用法。,for example / for instance / such as,"## for example 举例

核心表达：for example / for instance / such as",
基础⑧·举例与补充,also/too 补充,"Practice also, too, as well, either in a short spoken response.",练习使用also / too / as well / either完成简短口语表达。,35,L2,掌握also/too 补充的核心用法。,also / too / as well / either,"## also/too 补充

核心表达：also / too / as well / either",
基础⑧·举例与补充,besides 递进,"Practice besides, furthermore, moreover, what's more in a short spoken response.",练习使用besides / furthermore / moreover / what's more完成简短口语表达。,35,L2,掌握besides 递进的核心用法。,besides / furthermore / moreover / what's more,"## besides 递进

核心表达：besides / furthermore / moreover / what's more",
基础⑧·举例与补充,对话衔接词,"Practice well, actually, by the way, anyway in a short spoken response.",练习使用well / actually / by the way / anyway完成简短口语表达。,35,L2,掌握对话衔接词的核心用法。,well / actually / by the way / anyway,"## 对话衔接词

核心表达：well / actually / by the way / anyway",
基础⑧·举例与补充,总结表达,"Practice in short, in conclusion, to sum up in a short spoken response.",练习使用in short / in conclusion / to sum up完成简短口语表达。,35,L2,掌握总结表达的核心用法。,in short / in conclusion / to sum up,"## 总结表达

核心表达：in short / in conclusion / to sum up",
基础⑧·综合叙事,多步骤叙事,Practice First...Then...After that...Finally in a short spoken response.,练习使用First...Then...After that...Finally完成简短口语表达。,40,L2,掌握多步骤叙事的核心用法。,First...Then...After that...Finally,"## 多步骤叙事

核心表达：First...Then...After that...Finally",
基础⑧·综合叙事,因果链叙事,"Practice because..., so..., The reason why... in a short spoken response.",练习使用because... / so... / The reason why...完成简短口语表达。,40,L2,掌握因果链叙事的核心用法。,because... / so... / The reason why...,"## 因果链叙事

核心表达：because... / so... / The reason why...",
基础⑧·综合叙事,条件链叙事,"Practice If...then..., Unless...otherwise... in a short spoken response.",练习使用If...then... / Unless...otherwise...完成简短口语表达。,40,L2,掌握条件链叙事的核心用法。,If...then... / Unless...otherwise...,"## 条件链叙事

核心表达：If...then... / Unless...otherwise...",
基础⑧·综合叙事,时间链叙事,"Practice When...after...before..., Initially...Eventually... in a short spoken response.",练习使用When...after...before... / Initially...Eventually...完成简短口语表达。,40,L2,掌握时间链叙事的核心用法。,When...after...before... / Initially...Eventually...,"## 时间链叙事

核心表达：When...after...before... / Initially...Eventually...",
基础⑧·综合叙事,混合观点表达,"Practice I think...because...but..., In my opinion... in a short spoken response.",练习使用I think...because...but... / In my opinion...完成简短口语表达。,40,L2,掌握混合观点表达的核心用法。,I think...because...but... / In my opinion...,"## 混合观点表达

核心表达：I think...because...but... / In my opinion...",
