scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
时间介词,时间点与时间段,时间点与时间段,The meeting starts at 3 PM.,会议下午3点开始。,L1,用at表示具体时间点。,"[{""en"":""I wake up at 6 AM."",""zh"":""我早上6点起床。""}]"
时间介词,时间点与时间段,时间点与时间段,I was born in March.,我出生在三月。,L1,用in表示月份。,"[{""en"":""She was born in 2000."",""zh"":""她出生于2000年。""}]"
时间介词,时间点与时间段,时间点与时间段,We'll meet on Monday.,我们周一见。,L1,用on表示星期。,"[{""en"":""The party is on June 5th."",""zh"":""派对在6月5日。""}]"
时间介词,持续与起止,持续与起止,He fell asleep during the movie.,他看电影时睡着了。,L2,用during表示某事件期间。,"[{""en"":""She called during the meeting."",""zh"":""她在会议期间打来电话。""}]"
时间介词,持续与起止,持续与起止,I've been here since 9 AM.,我从9点就在这里。,L2,用since表示从某时间点开始。,"[{""en"":""He has worked here since 2018."",""zh"":""他从2018年就在这里工作。""}]"
时间介词,持续与起止,持续与起止,I studied for three hours.,我学习了三小时。,L1,用for表示持续时长。,"[{""en"":""We waited for 20 minutes."",""zh"":""我们等了20分钟。""}]"
时间介词,持续与起止,持续与起止,The store is open until 9 PM.,商店营业到晚上9点。,L1,用until表示截止时间。,"[{""en"":""I'll stay until Friday."",""zh"":""我会待到周五。""}]"
时间介词,持续与起止,持续与起止,Please finish by Friday.,请在周五前完成。,L2,用by表示截止期限。,"[{""en"":""The report is due by Monday."",""zh"":""报告周一前截止。""}]"
时间连词与顺序,先后顺序,先后顺序,Wash your hands before you eat.,吃饭前洗手。,L1,用before表示在...之前。,"[{""en"":""Turn off the lights before leaving."",""zh"":""离开前关灯。""}]"
时间连词与顺序,先后顺序,先后顺序,We went out after dinner.,晚饭后我们出去了。,L1,用after表示在...之后。,"[{""en"":""Call me after you arrive."",""zh"":""你到了之后给我打电话。""}]"
时间连词与顺序,先后顺序,先后顺序,First mix the flour and eggs.,首先混合面粉和鸡蛋。,L1,用first表示第一步。,"[{""en"":""First check the weather."",""zh"":""先查一下天气。""}]"
时间连词与顺序,先后顺序,先后顺序,First shower then get dressed.,先洗澡然后穿衣服。,L1,用then表示下一步。,"[{""en"":""First we ate then we left."",""zh"":""我们先吃了然后离开。""}]"
时间连词与顺序,同时与截止,同时与截止,When she arrived we had dinner.,她到的时候我们正在吃晚饭。,L1,用when表达时间点事件。,"[{""en"":""When I was young I played soccer."",""zh"":""我小时候踢足球。""}]"
时间连词与顺序,同时与截止,同时与截止,She listened to music while studying.,她学习时听音乐。,L2,用while表达同时持续动作。,"[{""en"":""He fell asleep while watching TV."",""zh"":""他看电视时睡着了。""}]"
时间连词与顺序,同时与截止,同时与截止,As I got older I changed.,随着年龄增长我变了。,L2,用as表达同步变化。,"[{""en"":""As time passed she felt better."",""zh"":""随着时间的推移她感觉好多了。""}]"
