chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
ch_q_04,出行与交通,1,问路与位置,基础④·出行与交通,L1,1,4,10,4,7,"[""学会Where is the nearest问路"",""学会How do I get to问路"",""学会Is there a存在问句"",""学会How far距离问句""]",2,4,2,路人,指路者,true,practice_foundation-essential-phrases_出行与交通_问路与位置,"{""xp"":10}"
ch_q_04,出行与交通,2,时间与交通,基础④·出行与交通,L1,1,4,10,4,7,"[""学会What time/Which问时间交通"",""学会How long/Where do I/Does this stop/How much cost""]",2,4,2,售票员,售票员,false,practice_foundation-essential-phrases_出行与交通_问时间与交通,"{""xp"":10}"
ch_q_04_2,消费与服务,1,购物问询,基础④·消费与服务,L1,1,4,10,4,7,"[""学会How much问价格"",""学会Do you have/I want to try问尺寸"",""学会Do you take/I need支付表达""]",2,4,2,店员,店员,false,practice_foundation-essential-phrases_消费与服务_购物问询,"{""xp"":10}"
ch_q_04_2,消费与服务,2,餐厅与服务,基础④·消费与服务,L1,1,4,10,4,7,"[""学会I want to see/What do you recommend点餐"",""学会Does this contain/Is included/Do you have options/Is there a table""]",2,4,2,服务员,餐厅服务员,false,practice_foundation-essential-phrases_消费与服务_餐厅服务与评价,"{""xp"":10}"
ch_q_04_3,社交与寒暄,1,认识新朋友,基础④·社交与寒暄,L1,1,4,10,4,7,"[""学会What do you do/Where are you from"",""学会How's it going问候"",""学会What kind of/Do you like 喜好问句""]",2,4,2,新朋友,新朋友,false,practice_foundation-essential-phrases_社交与寒暄_认识新朋友,"{""xp"":10}"
ch_q_04_3,社交与寒暄,2,约见面与关心,基础④·社交与寒暄,L1,1,4,10,4,7,"[""学会Are you free/Do you want to邀请"",""学会What time/Where确认"",""学会How is/Is everything问候关心""]",2,4,2,朋友,朋友,false,practice_foundation-essential-phrases_社交与寒暄_约见面与关心,"{""xp"":10}"
ch_q_04_4,电话与联络,1,打电话找人,基础④·电话与联络,L1,1,4,10,4,7,"[""学会Is there/Who's calling电话找人"",""学会Is available/When is back/When is good time问询""]",2,4,2,接电话者,接电话者,false,practice_foundation-essential-phrases_电话与联络_打电话找人,"{""xp"":10}"
ch_q_04_4,电话与联络,2,留言与跟进,基础④·电话与联络,L1,1,4,10,4,7,"[""学会I want to leave a message留言"",""学会Please ask him to/Please tell him传话"",""学会Does he know/Do I or确认""]",2,4,2,同事,同事,false,practice_foundation-essential-phrases_电话与联络_留言与回电,"{""xp"":10}"
ch_q_04_5,应急与求助,1,紧急呼救,基础④·应急与求助,L1,1,4,10,4,7,"[""学会Help/Where is the nearest呼救"",""学会How do I/Is there a doctor/Is everyone okay帮助问句""]",2,4,2,路人,帮助者,false,practice_foundation-essential-phrases_应急与求助_紧急呼救,"{""xp"":10}"
ch_q_04_5,应急与求助,2,看病与求助,基础④·应急与求助,L1,1,4,10,4,7,"[""学会I don't feel well/What do I do看病"",""学会Do I need to/Is there a pharmacy/Do you speak/How much cost""]",2,4,2,医生,医生,false,practice_foundation-essential-phrases_应急与求助_看病问诊,"{""xp"":10}"
