scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
IELTS Band 6 基础,家乡与住所,Answer simple questions about your hometown and home.,回答关于家乡和住所的简单问题。,45,L2,6分基础题：用简单句描述家乡和住所，掌握基本词汇。,P1 家乡 住所 基础词汇,
IELTS Band 6 基础,学习与工作,Answer basic questions about your study or job.,回答关于学习或工作的基本问题。,45,L2,6分基础题：能说专业/职业、日常工作内容，使用简单连接词。,P1 学习 工作 日常,
IELTS Band 6.5 发展,兴趣爱好,Describe a hobby or activity you enjoy.,描述你喜欢的爱好或活动。,60,L2,6.5分：能较详细描述爱好，使用一些复杂句和连接词，展现词汇多样性。,P2 爱好 描述 原因,
IELTS Band 6.5 发展,交通出行,Answer questions about transportation in your city.,回答关于城市交通的问题。,50,L2,6.5分：能讨论交通方式、优缺点，表达个人偏好。,P1 交通 城市 偏好,
IELTS Band 7 良好,推荐旅游地,Describe a place you would recommend to visitors.,描述一个你想推荐给游客的地方。,90,L3,7分：能按cue card要点组织描述，使用丰富词汇和复杂句型。,P2 地点 旅游 描述,
IELTS Band 7 良好,城市发展,Discuss how cities can attract more tourists.,讨论城市如何吸引更多游客。,60,L3,7分：能就抽象话题展开讨论，表达观点并有支撑。,P3 城市 旅游 发展,
IELTS Band 7.5 优良,印象深刻的人,Describe a person you met recently who left a deep impression.,描述一个你最近遇到的印象深刻的人。,90,L3,7.5分：能生动描述人物，使用习语和较高级词汇刻画性格和外貌。,P2 人物 描述 印象,
IELTS Band 7.5 优良,科技与社交,Discuss how technology has changed the way people interact.,讨论科技如何改变了人们相互交流的方式。,70,L4,7.5分：能就科技话题展开深入讨论，使用对比、让步等论证手法。,P3 科技 社交 影响,
IELTS Band 8 优秀,难忘的经历,Describe a memorable experience that taught you something.,描述一次让你学到东西的难忘经历。,90,L4,8分：能流畅叙述经历，使用精准词汇和多种句型，情感表达到位。,P2 经历 叙述 感悟,
IELTS Band 8 优秀,教育与社会,Discuss the role of education in society and how it has evolved.,讨论教育在社会中的作用以及它如何演变。,75,L4,8分：能深度分析教育话题，使用高级词汇和复杂论证结构。,P3 教育 社会 变革,
IELTS Band 8.5 卓越,理想的改变,Describe a positive change you would like to see in the world.,描述一个你希望看到的世界的积极改变。,90,L4,8.5分：能表达抽象观点，使用地道词汇和习语，论述有层次有深度。,P2 改变 理想 展望,
IELTS Band 8.5 卓越,全球化与文化,Discuss the impact of globalization on local cultures and traditions.,讨论全球化对地方文化和传统的影响。,80,L4,8.5分：能就全球化话题进行深入批判性讨论，使用高级论证技巧。,P3 全球化 文化 影响,
