scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
认识同事与团队,同事与岗位,"Look at the team. Who is this person?","看看这个团队。这个人是谁？",900,L1,"学习用 he/she 介绍同事及其岗位","he/she is, job titles (designer, manager, assistant, receptionist, engineer)","## 同事与岗位

学习用第三人称 he/she 介绍同事及其岗位身份。

### 核心句块
- Mia is our colleague and designer.
- Emma is our manager.
- Ben is a front desk assistant.
- Sofia is the receptionist, and Alex is the engineer.

### 教学重点
- He/She is our...
- 名字 + is a/an...
- 区分 he 和 she 的使用",practice_foundation-daily-work_基础_认识团队_同事与岗位
认识同事与团队,部门与地点,"Where does each person work?","每个人在哪里工作？",900,L1,"学习用肯定句说明同事所属部门和工作位置","works in/at/for, department names (sales, support, design)","## 部门与地点

学习说明同事的工作部门、位置和公司。

### 核心句块
- Sofia works in the sales department.
- Ben works in customer support.
- Mia works in design.
- He works at the front desk for a small company.

### 教学重点
- works in + 部门
- works at + 具体位置
- works for + 公司",practice_foundation-daily-work_基础_认识团队_部门与地点
认识同事与团队,介绍一位同事,"Introduce a colleague: their role and background.","介绍一位同事：角色和背景。",900,L1,"学习用 his/her/our 说明同事的角色和背景","his/her/our, role, background","## 介绍一位同事

学习用 his/her/our 说明同事的角色和特点。

### 核心句块
- His role is customer support.
- Her background is in visual design.
- She is our friendly colleague.
- Our manager knows his role and her background.

### 教学重点
- His/Her role is...
- His/Her background is...
- Our colleague is...",practice_foundation-daily-work_基础_认识团队_介绍同事
认识同事与团队,联系信息,"How can you reach this colleague?","你怎么联系这位同事？",900,L1,"学习说明同事的分机、工位和联系方式","reach at, extension, desk, directory, contact details","## 联系信息

学习说明如何联系某位同事。

### 核心句块
- These are Ben's contact details.
- His extension is 204.
- His desk is beside the entrance.
- You can reach him through the staff directory.

### 教学重点
- You can reach him/her at...
- His/Her extension is...
- check the directory",practice_foundation-daily-work_基础_认识团队_联系信息
工作职责与安排,开始一天,"How does this person start the day?","这个人怎么开始一天的工作？",900,L1,"学习用肯定句描述同事开始工作时的基础动作","starts, checks, opens, logs in, 第三人称 -s","## 开始一天

学习描述同事开始工作的流程。

### 核心句块
- She starts work at nine.
- He checks the schedule first.
- She opens the calendar.
- He logs in before the first task.

### 教学重点
- 规则动词 +s
- 动作顺序描述",practice_foundation-daily-work_基础_工作职责_开始一天
工作职责与安排,电话与邮件,"What communication duties does each person have?","每个人有什么通讯职责？",900,L1,"学习用第三人称肯定句描述接听、书写、转发等通讯职责","answers, writes, forwards, attaches, prints, 第三人称 -s/-es","## 电话与邮件

学习描述接听、书写、转发等通讯职责。

### 核心句块
- He answers the main line.
- She writes the daily report.
- She forwards the report and attaches the document.
- He prints one copy for the front desk.

### 教学重点
- answers / writes / forwards / attaches / prints
- 第三人称 -s/-es",practice_foundation-daily-work_基础_工作职责_电话与邮件
工作职责与安排,帮助客户,"How does this person help customers?","这个人怎么帮助客户？",900,L1,"学习描述服务人员如何接待、解释、提供方案并引导客户","guides, explains, solves, offers, 第三人称 -s/-es","## 帮助客户

学习描述接待客户、解释问题、提供方案。

### 核心句块
- He guides each customer to the right place.
- She explains the question clearly.
- He offers a simple solution.
- She solves basic customer problems.

### 教学重点
- guides / explains / solves
- 服务场景动词",practice_foundation-daily-work_基础_工作职责_帮助客户
工作职责与安排,完成与跟进,"How does this person finish and follow up?","这个人怎么完成和跟进工作？",900,L1,"学习描述完成任务、赶截止时间和跟进","finishes, tries, carries, follows up, 第三人称 -es/-ies","## 完成与跟进

学习描述完成和跟进工作。

### 核心句块
- She finishes the task before the deadline.
- He tries to complete it by four.
- She follows up after she completes the report.
- He carries the copies downstairs.

### 教学重点
- finishes / tries / carries / follows up
- -es / -ies 变化",practice_foundation-daily-work_基础_工作职责_完成与跟进
询问、否定与确认,Does 问答,"Ask and answer about this person's duties using Does.","用 Does 询问和回答这个人的职责。",900,L1,"学习用 Does...? 询问第三人称工作信息并作简短回答","Does, Yes he/she does, No he/she doesn't, confirms","## Does 问答

学习用 Does 询问第三人称信息。

### 核心句块
- Does Ben start at eight? — No, he doesn't.
- Does Mia write the report? — Yes, she does.
- Please confirm the correct shift.
- This confirms each person's duty.

### 教学重点
- Does 后动词还原原形
- 简短回答",practice_foundation-daily-work_基础_询问确认_Does问答
询问、否定与确认,询问具体信息,"Ask about specific work details using question words.","用疑问词询问具体工作信息。",900,L1,"学习使用 What/Where/When/Who does...? 获取具体信息","What does, Where does, When does, Who does","## 询问具体信息

学习用疑问词获取工作信息。

### 核心句块
- What task does she complete first?
- Where is her work location?
- When does he finish?
- Who is the right person for this detail?

### 教学重点
- 疑问词 + does + 动词原形
- 回答恢复第三人称",practice_foundation-daily-work_基础_询问确认_具体信息
询问、否定与确认,否定与纠正,"Correct the wrong information about this person.","纠正关于这个人的错误信息。",900,L1,"学习用 doesn't + 动词原形否定错误信息并补充准确事实","doesn't + base form, actually, instead, correction","## 否定与纠正

学习否定错误信息和纠正。

### 核心句块
- That information is a mistake.
- She doesn't answer the line; she writes instead.
- He actually works at the front desk.
- This correction makes the fact accurate.

### 教学重点
- doesn't + 动词原形（不能 doesn't + 三单）
- actually / instead 自然纠正",practice_foundation-daily-work_基础_询问确认_否定与纠正
询问、否定与确认,have 与 has,"Ask and answer about what this person has.","询问和回答这个人拥有什么。",900,L1,"学习用 has 表达某人持有物品，在 Does 问句中还原为 have","has, Does ... have, I have / She has / Does she have","## have 与 has

学习 has 和 Does ... have 的转换。

### 核心句块
- She has a meeting at ten.
- He has the presentation equipment.
- Does she have the main file? — Yes, she does.
- The document is on her device.

### 教学重点
- have → has（第三人称）
- Does ... have?（have 还原）",practice_foundation-daily-work_基础_询问确认_have与has
个人与团队协作,一个人与一组人,"Compare one person and a group.","对比一个人和一组人。",900,L1,"学习对比单个人和一组人作主语的动词形式","She works / They work, He has / They have","## 一个人与一组人

学习单复数主语动词对比。

### 核心句块
- One individual writes; the group reviews.
- She is a staff member; they are staff members.
- Several members have different duties.
- The group works as one team.

### 教学重点
- She works / They work
- He has / They have",practice_foundation-daily-work_基础_团队协作_单人与团队
