scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"寓言·经典寓言故事","伊索寓言选读","fable","寓言","noun","/ˈfeɪbəl/","/ˈfeɪbəl/","L2","用故事讲道理的小故事。","[{""en"":""Aesop's fables teach important life lessons."",""zh"":""伊索寓言教给我们重要的人生道理。""}]",0
"寓言·经典寓言故事","伊索寓言选读","moral","寓意/教训","noun","/ˈmɔːrəl/","/ˈmɔːrəl/","L2","故事要传达的道理。","[{""en"":""The moral of the story is to be honest."",""zh"":""这个故事的寓意是做人要诚实。""}]",1
"寓言·经典寓言故事","伊索寓言选读","tortoise","乌龟","noun","/ˈtɔːrtəs/","/ˈtɔːrtəs/","L2","寓言《龟兔赛跑》的主角。","[{""en"":""The tortoise won the race through persistence."",""zh"":""乌龟通过坚持赢得了比赛。""}]",2
"寓言·经典寓言故事","伊索寓言选读","hare","野兔","noun","/her/","/her/","L2","《龟兔赛跑》中骄傲的兔子。","[{""en"":""The hare was overconfident and lost the race."",""zh"":""野兔过于自信输掉了比赛。""}]",3
"寓言·经典寓言故事","伊索寓言选读","greedy","贪婪的","adj","/ˈɡriːdi/","/ˈɡriːdi/","L2","想要太多，不愿分享。","[{""en"":""The greedy dog lost everything."",""zh"":""贪婪的狗失去了一切。""}]",4
"寓言·经典寓言故事","伊索寓言选读","patience","耐心","noun","/ˈpeɪʃəns/","/ˈpeɪʃəns/","L2","不急躁，能等待的品质。","[{""en"":""Patience is a virtue."",""zh"":""耐心是一种美德。""}]",5
"寓言·经典寓言故事","伊索寓言选读","wisdom","智慧","noun","/ˈwɪzdəm/","/ˈwɪzdəm/","L2","从经验中学到的深刻理解。","[{""en"":""The old man shared his wisdom with the children."",""zh"":""老人与孩子们分享他的智慧。""}]",6
"寓言·经典寓言故事","伊索寓言选读","deceive","欺骗","verb","/dɪˈsiːv/","/dɪˈsiːv/","L2","让人相信不真实的事。","[{""en"":""Don't try to deceive others."",""zh"":""不要试图欺骗别人。""}]",7
"寓言·经典寓言故事","中国寓言故事","seedling","秧苗","noun","/ˈsiːdlɪŋ/","/ˈsiːdlɪŋ/","L2","刚发芽的幼苗。","[{""en"":""He pulled the seedlings to make them grow faster."",""zh"":""他拔秧苗想让它们长快点。""}]",0
"寓言·经典寓言故事","中国寓言故事","perseverance","毅力","noun","/ˌpɜːrsəˈvɪrəns/","/ˌpɜːrsəˈvɪrəns/","L3","坚持不懈的品质。","[{""en"":""Perseverance leads to success."",""zh"":""毅力通向成功。""}]",1
