scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"雅思·IELTS Band 6 基础","家乡与住所","hometown","家乡","noun","/hometown/","/hometown/","L1","成长的地方。","[{""en"":""My hometown is a small city in the south."",""zh"":""我的家乡是南方的一个小城市。""}]",0
"雅思·IELTS Band 6 基础","家乡与住所","suburb","郊区","noun","/suburb/","/suburb/","L2","城市外围住宅区。","[{""en"":""I grew up in the suburbs of London."",""zh"":""我在伦敦郊区长大。""}]",1
"雅思·IELTS Band 6 基础","家乡与住所","downtown","市中心","noun","/downtown/","/downtown/","L1","城市商业中心区。","[{""en"":""There are many shops downtown."",""zh"":""市中心有很多商店。""}]",2
"雅思·IELTS Band 6 基础","家乡与住所","accommodation","住所","noun","/accommodation/","/accommodation/","L2","住处/住宿。","[{""en"":""I live in a flat near the city center."",""zh"":""我住在市中心附近的公寓里。""}]",3
"雅思·IELTS Band 6 基础","家乡与住所","neighborhood","社区","noun","/neighborhood/","/neighborhood/","L2","居住的周边区域。","[{""en"":""The neighborhood is quiet and safe."",""zh"":""这个社区安静又安全。""}]",4
"雅思·IELTS Band 6 基础","家乡与住所","cozy","舒适的","adj","/cozy/","/cozy/","L2","小而温暖舒适的。","[{""en"":""My apartment is small but cozy."",""zh"":""我的公寓很小但很舒适。""}]",5
"雅思·IELTS Band 6 基础","家乡与住所","facility","设施","noun","/facility/","/facility/","L2","提供便利的设备或场所。","[{""en"":""Our community has great facilities."",""zh"":""我们社区有很好的设施。""}]",6
"雅思·IELTS Band 6 基础","家乡与住所","landmark","地标","noun","/landmark/","/landmark/","L2","容易辨认的标志性建筑。","[{""en"":""The tower is a famous landmark of my hometown."",""zh"":""那座塔是我家乡的著名地标。""}]",7
"雅思·IELTS Band 6 基础","学习与工作","major","专业","noun","/major/","/major/","L1","大学主修专业。","[{""en"":""My major is Business Administration."",""zh"":""我的专业是工商管理。""}]",0
"雅思·IELTS Band 6 基础","学习与工作","schedule","日程","noun","/schedule/","/schedule/","L2","安排好的时间计划。","[{""en"":""My schedule is quite busy this week."",""zh"":""我这周的日程很忙。""}]",1
"雅思·IELTS Band 6 基础","学习与工作","deadline","截止日期","noun","/deadline/","/deadline/","L2","任务的最后期限。","[{""en"":""The deadline for the project is Friday."",""zh"":""项目的截止日期是周五。""}]",2
"雅思·IELTS Band 6 基础","学习与工作","colleague","同事","noun","/colleague/","/colleague/","L2","一起工作的人。","[{""en"":""I get along well with my colleagues."",""zh"":""我和同事相处融洽。""}]",3
"雅思·IELTS Band 6 基础","学习与工作","qualification","资格","noun","/qualification/","/qualification/","L2","证明能力的凭证。","[{""en"":""What qualifications do you have?"",""zh"":""你有什么资质？""}]",4
"雅思·IELTS Band 6 基础","学习与工作","internship","实习","noun","/internship/","/internship/","L2","学生在公司短期工作。","[{""en"":""I did an internship at a tech company."",""zh"":""我在一家科技公司实习。""}]",5
"雅思·IELTS Band 6 基础","学习与工作","promotion","升职","noun","/promotion/","/promotion/","L2","职位提升。","[{""en"":""She got a promotion after one year."",""zh"":""她一年后获得了升职。""}]",6
"雅思·IELTS Band 6 基础","学习与工作","work-life balance","工作生活平衡","noun","/work-lifebalance/","/work-lifebalance/","L3","工作与个人生活的平衡。","[{""en"":""Work-life balance is important for health."",""zh"":""工作生活平衡对健康很重要。""}]",7
"雅思·IELTS Band 6.5 发展","兴趣爱好","passion","热情","noun","/passion/","/passion/","L2","对某事强烈的热爱。","[{""en"":""Music is my greatest passion."",""zh"":""音乐是我最大的热情。""}]",0
"雅思·IELTS Band 6.5 发展","兴趣爱好","recreation","消遣","noun","/recreation/","/recreation/","L2","休闲活动。","[{""en"":""Reading is my favorite recreation."",""zh"":""阅读是我最喜欢的消遣。""}]",1
"雅思·IELTS Band 6.5 发展","兴趣爱好","pursue","追求","verb","/pursue/","/pursue/","L2","努力实现。","[{""en"":""I want to pursue my dream of becoming an artist."",""zh"":""我想追求成为艺术家的梦想。""}]",2
"雅思·IELTS Band 6.5 发展","兴趣爱好","leisure","闲暇","noun","/leisure/","/leisure/","L2","不工作的自由时间。","[{""en"":""I spend my leisure time reading novels."",""zh"":""我闲暇时间读小说。""}]",3
"雅思·IELTS Band 6.5 发展","兴趣爱好","creative","有创造力的","adj","/creative/","/creative/","L2","能产生新想法和作品。","[{""en"":""Painting is a very creative hobby."",""zh"":""画画是非常有创造力的爱好。""}]",4
"雅思·IELTS Band 6.5 发展","兴趣爱好","relaxing","放松的","adj","/relaxing/","/relaxing/","L1","让人平静减压的。","[{""en"":""I find gardening very relaxing."",""zh"":""我觉得园艺非常放松。""}]",5
"雅思·IELTS Band 6.5 发展","兴趣爱好","challenging","有挑战性的","adj","/challenging/","/challenging/","L2","需要努力和技巧的。","[{""en"":""Rock climbing is challenging but fun."",""zh"":""攀岩有挑战性但很有趣。""}]",6
"雅思·IELTS Band 6.5 发展","兴趣爱好","social","社交的","adj","/social/","/social/","L2","与他人互动的。","[{""en"":""Team sports are very social activities."",""zh"":""团队运动是非常社交的活动。""}]",7
"雅思·IELTS Band 6.5 发展","交通出行","public transport","公共交通","noun","/publictransport/","/publictransport/","L2","公交地铁等公共服务。","[{""en"":""Public transport is efficient in big cities."",""zh"":""大城市的公共交通很高效。""}]",0
"雅思·IELTS Band 6.5 发展","交通出行","commute","通勤","noun","/commute/","/commute/","L2","上下班的路程。","[{""en"":""My daily commute takes about 40 minutes."",""zh"":""我每天通勤大约40分钟。""}]",1
"雅思·IELTS Band 6.5 发展","交通出行","traffic jam","交通堵塞","noun","/trafficjam/","/trafficjam/","L2","车辆拥堵。","[{""en"":""I got stuck in a traffic jam this morning."",""zh"":""我今天早上被堵在路上了。""}]",2
"雅思·IELTS Band 6.5 发展","交通出行","convenient","方便的","adj","/convenient/","/convenient/","L2","省时省力的。","[{""en"":""The subway is the most convenient way to travel."",""zh"":""地铁是最方便的出行方式。""}]",3
"雅思·IELTS Band 6.5 发展","交通出行","rush hour","高峰时段","noun","/rushhour/","/rushhour/","L2","交通最拥堵的时间。","[{""en"":""Avoid traveling during rush hour."",""zh"":""避免在高峰时段出行。""}]",4
"雅思·IELTS Band 6.5 发展","交通出行","environmentally friendly","环保的","adj","/environmentallyfriendly/","/environmentallyfriendly/","L3","对环境友好的。","[{""en"":""Biking is environmentally friendly."",""zh"":""骑自行车是环保的。""}]",5
"雅思·IELTS Band 6.5 发展","交通出行","fare","票价","noun","/fare/","/fare/","L2","乘车费用。","[{""en"":""Bus fares have increased recently."",""zh"":""公交车票价最近涨了。""}]",6
"雅思·IELTS Band 6.5 发展","交通出行","navigation","导航","noun","/navigation/","/navigation/","L2","确定方向和路线。","[{""en"":""I use a navigation app to find the best route."",""zh"":""我用导航App找最佳路线。""}]",7
