scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
计划与预测,我打算…,"Practice","练习",900,L1~L2,"be going to + 计划动词","be going to + 计划动词","",fx_plan_01
计划与预测,将会怎样,"Practice","练习",900,L1~L2,"will + 预测/状态","will + 预测/状态","",fx_plan_02
计划与预测,将来时间表达,"Practice","练习",900,L1~L2,"将来时间词","将来时间词","",fx_plan_03
计划与预测,计划疑问句,"Practice","练习",900,L1~L2,"What/Are you going to...?","What/Are you going to...?","",fx_plan_04
计划与预测,预测与迹象,"Practice","练习",900,L1~L2,"It is going to... Look at...","It is going to... Look at...","",fx_plan_05
能力与请求,我能/会,"Practice","练习",900,L1~L2,"can/cant 能力表达","can/cant 能力表达","",fx_ability_06
能力与请求,请求帮助,"Practice","练习",900,L1~L2,"Can you...?","Can you...?","",fx_ability_07
能力与请求,请求许可,"Practice","练习",900,L1~L2,"Can I...? / May I...?","Can I...? / May I...?","",fx_ability_08
能力与请求,Can/Could礼貌程度,"Practice","练习",900,L1~L2,"Could you...? 礼貌梯度","Could you...? 礼貌梯度","",fx_ability_09
能力与请求,能力程度表达,"Practice","练习",900,L1~L2,"can...very well","can...very well","",fx_ability_10
建议与义务,你应该/必须,"Practice","练习",900,L1~L2,"should/must 建议与义务","should/must 建议与义务","",fx_duty_11
建议与义务,客观义务,"Practice","练习",900,L1~L2,"have to / has to","have to / has to","",fx_duty_12
建议与义务,禁止与不必,"Practice","练习",900,L1~L2,"mustnt / dont have to","mustnt / dont have to","",fx_duty_13
建议与义务,建议疑问句,"Practice","练习",900,L1~L2,"Should I...? / What should I...?","Should I...? / What should I...?","",fx_duty_14
建议与义务,推荐表达,"Practice","练习",900,L1~L2,"You should try...","You should try...","",fx_duty_15
情态综合与礼貌表达,可能 may/might,"Practice","练习",900,L1~L2,"It may... / She might...","It may... / She might...","",fx_modal_16
情态综合与礼貌表达,邀请与提议,"Practice","练习",900,L1~L2,"Would you like...?","Would you like...?","",fx_modal_17
情态综合与礼貌表达,主动提供,"Practice","练习",900,L1~L2,"Shall I...? / Let me...","Shall I...? / Let me...","",fx_modal_18
情态综合与礼貌表达,委婉提议,"Practice","练习",900,L1~L2,"How about...? / Why dont we...?","How about...? / Why dont we...?","",fx_modal_19
情态综合与礼貌表达,礼貌接受与拒绝,"Practice","练习",900,L1~L2,"Id love to / Thanks, but...","Id love to / Thanks, but...","",fx_modal_20
祝愿与承诺,祝福用语,"Practice","练习",900,L1~L2,"Good luck! / Have a great...!","Good luck! / Have a great...!","",fx_wish_21
祝愿与承诺,承诺与保证,"Practice","练习",900,L1~L2,"I promise / swear / guarantee","I promise / swear / guarantee","",fx_wish_22
祝愿与承诺,提供帮助,"Practice","练习",900,L1~L2,"Id be happy to / Let me know","Id be happy to / Let me know","",fx_wish_23
祝愿与承诺,鼓励与支持,"Practice","练习",900,L1~L2,"I believe in you / Keep going!","I believe in you / Keep going!","",fx_wish_24
祝愿与承诺,意愿表达与社交祝愿,"Practice","练习",900,L1~L2,"Im willing to / Congratulations!","Im willing to / Congratulations!","",fx_wish_25
